Date,BVR_WaterLevel_m
2009-09-01T05:00:00Z,13
2009-10-08T05:00:00Z,13
2009-11-23T05:00:00Z,13
2009-12-29T05:00:00Z,13
2010-01-28T05:00:00Z,13
2010-02-27T05:00:00Z,13
2010-03-17T05:00:00Z,13
2010-04-22T05:00:00Z,13
2010-05-14T05:00:00Z,13
2010-06-12T05:00:00Z,13
2010-07-20T05:00:00Z,12.6
2010-08-10T05:00:00Z,12.3
2010-09-28T05:00:00Z,10.5
2010-10-29T05:00:00Z,10.2
2010-11-22T05:00:00Z,10
2010-12-16T05:00:00Z,10
2011-01-22T05:00:00Z,10.3
2011-02-16T05:00:00Z,10.6
2011-03-25T05:00:00Z,11.5
2011-04-22T05:00:00Z,12.8
2011-05-20T05:00:00Z,13
2011-05-26T05:00:00Z,13
2011-06-07T05:00:00Z,13
2011-06-16T05:00:00Z,12.9
2011-06-24T05:00:00Z,12.9
2011-07-01T05:00:00Z,12.8
2011-07-14T05:00:00Z,12.8
2011-07-25T05:00:00Z,12.7
2011-08-01T05:00:00Z,12.6
2011-08-10T05:00:00Z,12.4
2011-08-23T05:00:00Z,12.2
2011-08-31T05:00:00Z,12.1
2011-09-08T05:00:00Z,12.4
2011-09-26T05:00:00Z,12.1
2011-10-04T05:00:00Z,11.7
2011-10-13T05:00:00Z,11.7
2011-10-20T05:00:00Z,11.4
2011-10-27T05:00:00Z,11.1
2011-11-28T05:00:00Z,11.5
2011-12-08T05:00:00Z,11.7
2011-12-15T05:00:00Z,12.2
2011-12-29T05:00:00Z,12.4
2012-01-12T05:00:00Z,12.6
2012-01-30T05:00:00Z,12.8
2012-02-24T05:00:00Z,13.1
2012-03-02T05:00:00Z,13.1
2012-03-09T05:00:00Z,13.1
2012-03-16T05:00:00Z,13.1
2012-03-23T05:00:00Z,13.1
2012-03-30T05:00:00Z,13.1
2012-04-17T05:00:00Z,13.1
2012-05-04T05:00:00Z,13.1
2012-05-11T05:00:00Z,13.1
2012-05-19T05:00:00Z,13.1
2012-05-24T05:00:00Z,13.1
2012-06-01T05:00:00Z,13
2012-06-08T05:00:00Z,12.9
2012-06-19T05:00:00Z,12.9
2012-06-28T05:00:00Z,12.8
2012-07-12T05:00:00Z,12.6
2012-07-24T05:00:00Z,12.5
2012-08-01T05:00:00Z,12.5
2012-08-14T05:00:00Z,12.2
2012-08-28T05:00:00Z,12.1
2012-09-10T05:00:00Z,11.8
2012-09-20T05:00:00Z,11.8
2012-09-27T05:00:00Z,11.7
2012-10-04T05:00:00Z,11.5
2012-10-12T05:00:00Z,11.5
