DateTime,Weir_TN_ugL,Weir_TP_ugL,Weir_NH4_ugL,Weir_NO3NO2_ugL,Weir_SRP_ugL,Weir_DOC_mgL,Weir_DIC_mgL,Weir_DC_mgL,Weir_DN_mgL,Wtlnds_TN_ugL,Wtlnds_TP_ugL,Wtlnds_NH4_ugL,Wtlnds_NO3NO2_ugL,Wtlnds_SRP_ugL,Wtlnds_DOC_mgL,Wtlnds_DIC_mgL,Wtlnds_DC_mgL,Wtlnds_DN_mgL
2019-02-08T05:00:00Z,370,2.9,9,45,5,2.1,2.8,4.9,0.2,363,13.5,5,43,2,1.8,3.8,5.6,0.1
2019-03-18T04:00:00Z,789,119.5,9,20,10,2.9,2.3,5.2,0.2,189,16.2,10,74,5,1.6,3.4,5,0.1
2019-04-01T04:00:00Z,373,6.5,5,3,3,2.5,1.9,4.3,0.15,367,12.6,19,67,9,3.1,2.7,5.8,0.2
2019-04-15T04:00:00Z,421,14.6,6,26,5,2.3,2.3,4.6,0.1,486,83.4,13,3,14,3.4,2.8,6.2,0.3
2019-04-22T04:00:00Z,371,8.1,7,33,9,2.3,2.3,4.5,0.1,549,110.1,16,93,4,2.2,3.6,5.7,0.2
2019-04-29T04:00:00Z,213,22,7,3,1,3,1.8,4.8,0.1,318,64.7,22,58,3,1.4,3.4,4.7,0.1
2019-05-06T04:00:00Z,184.5,15.9,11,45,8,2.7,1.6,4.2,0.15,420,38,20,82,10,5.6,1.9,7.5,0.2
2019-05-13T04:00:00Z,402,12.8,8,28,10,3.3,1.7,5,0.1,286.5,57.5,31,38,3,2.1,4.6,6.7,0.1
2019-05-20T04:00:00Z,330,21.9,8,68,7,1.8,2.5,4.2,0.15,351,80,32,42,5,2.3,4.8,7,0.2
2019-05-27T04:00:00Z,433.5,33.8,13,44,9,2.9,2,4.9,0.1,553.5,150.6,32,3,4,2.6,4.7,7.4,0.2
2019-05-30T04:00:00Z,148.5,13.3,3,64,7,3.7,1.4,5.1,0.1,235.5,42.1,27,25,6,1.6,4,5.6,0.2
2019-06-03T04:00:00Z,535.5,52.6,5,72,10,1.1,2.9,4.1,0.2,354,57.3,28,42,7,NA,NA,NA,NA
2019-06-10T04:00:00Z,427,16.5,10,35,6,3.9,1.5,5.4,0.1,419,53.7,32,44,9,1.9,4.2,6.1,0.2
2019-06-17T04:00:00Z,412,14.3,10,65,7,0.1,3.7,3.8,0.1,412,48.5,31,52,8,2.4,4,6.5,0.15
2019-06-24T04:00:00Z,364.5,21.4,NA,NA,NA,NA,NA,NA,NA,471,76,28,52,8,1.8,4.2,6,0.2
2019-06-27T04:00:00Z,217.5,16.2,10,100,9,2.9,2.9,5.8,0.3,181.5,34,27,48,6,1.9,4.2,6.2,0.2
2019-07-01T04:00:00Z,288,12.8,6,3,18,1.8,2.5,4.3,0.2,237,42,NA,NA,NA,0.9,2,2.8,0.1
2019-07-08T04:00:00Z,273,12.2,10,3,15,0.9,3.1,3.9,0.2,196.5,35.4,19,46,4,1.9,5.3,7.2,0.1
2019-07-15T04:00:00Z,426,24,11,3,13,3.3,2.5,5.8,0.3,243,43.2,27,50,10,1.9,4.4,6.3,0.2
2019-07-18T04:00:00Z,229.5,16.4,6,3,13,4.2,2.1,6.3,0.2,NA,NA,21,46,13,1.6,4.6,6.1,0.1
2019-07-22T04:00:00Z,456,14.7,14,3,14,3.7,2.2,6,0.2,240,43.6,38,51,4,3.1,5.2,8.3,0.2
2019-07-29T04:00:00Z,297,16.2,NA,NA,NA,1.2,3.5,4.7,0.2,385,22.1,28,61,9,2.5,5.2,7.8,0.1
2019-08-05T04:00:00Z,368,10.7,5,62,11,2.4,3.1,5.5,0.1,283.5,33.8,32,23,14,3.1,5.4,8.6,0.2
2019-08-12T04:00:00Z,78,26.1,5,77,16,0.9,2.9,3.8,0.1,147,38.9,30,67,9,1.7,4.2,5.9,0.1
2019-08-19T04:00:00Z,273,25.4,5,3,17,1.3,3.7,5.1,0.3,107,35.6,31,37,6,2.1,4.9,7,0.2
2019-08-22T04:00:00Z,431.5,40,6,3,19,1.2,3.5,4.7,0.2,223.5,55,24,32,4,1.2,3.9,5,0.1
2019-09-02T04:00:00Z,126,21.6,3,3,19,1.2,3.7,4.9,0.3,228,35.5,22,35,11,1.5,5.3,6.8,0.1
2019-10-04T04:00:00Z,79,23.9,4,64,18,3.2,2.6,4.9,0,94.5,47.8,27,26,7,1.6,5.3,6.9,0.2
2019-10-30T04:00:00Z,158,30.8,12,7,19,2.2,4,6.2,0.1,137,41.9,24,3,4,2.9,4.1,7,0.1
