,time,Q_BVR_cms,Q_B100_cms,Q_B175_cms,Q_B200_cms,Q_B215_cms
1,1/1/2014,0,0,0,0,0
2,1/2/2014,0,0,0,0,0
3,1/3/2014,0,0,0,0,0
4,1/4/2014,0,0,0,0,0
5,1/5/2014,0,0,0,0,0
6,1/6/2014,0,0,0,0,0
7,1/7/2014,0,0,0,0,0
8,1/8/2014,0,0,0,0,0
9,1/9/2014,0,0,0,0,0
10,1/10/2014,0,0,0,0,0
11,1/11/2014,945.3224997,187.2123256,112.2926366,162.9732607,162.1856672
12,1/12/2014,10718.68238,2124.907187,1274.955116,1842.168817,1841.606808
13,1/13/2014,7503.077669,1487.435031,892.4685809,1289.518172,1289.124766
14,1/14/2014,5780.070012,1145.857402,687.5197351,993.3618836,993.0864995
15,1/15/2014,4556.799008,903.3501816,542.0138146,783.1033185,782.9105496
16,1/16/2014,3189.759306,632.3451271,379.4096702,548.172323,548.0373847
17,1/17/2014,2232.831514,442.641589,265.5867691,383.7206261,383.6261693
18,1/18/2014,1562.98206,309.8491123,185.9107384,268.6044383,268.5383185
19,1/19/2014,1094.087442,216.8943786,130.1375169,188.0231068,187.976823
20,1/20/2014,765.8612093,151.826065,91.09626182,131.6161747,131.5837761
21,1/21/2014,536.1028465,106.2782455,63.76738327,92.13132232,92.10864325
22,1/22/2014,375.2719926,74.39477186,44.63716829,64.49192562,64.47605028
23,1/23/2014,262.6903948,52.0763403,31.2460178,45.14434794,45.13323519
24,1/24/2014,183.8832764,36.45343821,21.87221246,31.60104356,31.59326464
25,1/25/2014,128.7182934,25.51740675,15.31054872,22.12073049,22.11528525
26,1/26/2014,90.10280541,17.86218472,10.71738411,15.48451134,15.48069967
27,1/27/2014,63.07196379,12.50352931,7.502168874,10.83915794,10.83648977
28,1/28/2014,44.15037465,8.752470514,5.251518212,7.587410558,7.585542839
29,1/29/2014,30.90526226,6.12672936,3.676062748,5.31118739,5.309879987
30,1/30/2014,21.63368358,4.288710552,2.573243924,3.717831173,3.716915991
31,1/31/2014,15.14357851,3.002097386,1.801270747,2.602481821,2.601841194
32,2/1/2014,10.60050495,2.101468171,1.260889523,1.821737275,1.821288836
33,2/2/2014,7.420353468,1.471027719,0.882622666,1.275216092,1.274902185
34,2/3/2014,19602.03494,3888.144007,2332.886409,3369.725034,3369.724814
35,2/4/2014,19782.32446,3923.200805,2353.920486,3400.107524,3400.10737
36,2/5/2014,16094.92712,3191.740564,1915.04434,2766.175267,2766.175159
37,2/6/2014,11266.44898,2234.218395,1340.531038,1936.322687,1936.322611
38,2/7/2014,7886.514289,1563.952876,938.3717267,1355.425881,1355.425828
39,2/8/2014,5520.560002,1094.767013,656.8602087,948.7981165,948.7980796
40,2/9/2014,3864.392002,766.3369093,459.8021461,664.1586815,664.1586557
41,2/10/2014,2705.074401,536.4358365,321.8615023,464.9110771,464.911059
42,2/11/2014,1893.552081,375.5050856,225.3030516,325.437754,325.4377413
43,2/12/2014,1325.486457,262.8535599,157.7121361,227.8064278,227.8064189
44,2/13/2014,927.8405196,183.9974919,110.3984953,159.4644994,159.4644932
45,2/14/2014,649.4883637,128.7982443,77.27894669,111.6251496,111.6251453
46,2/15/2014,454.6418546,90.15877104,54.09526268,78.13760472,78.13760168
47,2/16/2014,318.2492982,63.11113973,37.86668388,54.69632331,54.69632118
48,2/17/2014,222.7745087,44.17779781,26.50667872,38.28742631,38.28742482
49,2/18/2014,155.9421561,30.92445847,18.5546751,26.80119842,26.80119738
50,2/19/2014,109.1595093,21.64712093,12.98827257,18.76083889,18.76083816
51,2/20/2014,2253.653316,448.3619919,268.8756534,388.3445956,388.4443144
52,2/21/2014,11116.34048,2204.477566,1322.514553,1910.241751,1910.381762
53,2/22/2014,24684.63557,4894.899937,2937.035184,4242.41061,4242.338191
54,2/23/2014,17279.2449,3426.429956,2055.924629,2969.687427,2969.636734
55,2/24/2014,12095.47143,2398.500969,1439.14724,2078.781199,2078.745714
56,2/25/2014,8466.830001,1678.950679,1007.403068,1455.146839,1455.122
57,2/26/2014,5926.781,1175.265475,705.1821477,1018.602788,1018.5854
58,2/27/2014,4148.7467,822.6858325,493.6275034,713.0219513,713.0097798
59,2/28/2014,2904.12269,575.8800827,345.5392524,499.1153659,499.1068458
60,3/1/2014,2032.885883,403.1160579,241.8774767,349.3807561,349.3747921
61,3/2/2014,1423.020118,282.1812405,169.3142337,244.5665293,244.5623545
62,3/3/2014,6370.148575,1273.763771,764.2621051,1103.935219,1103.932297
63,3/4/2014,4459.104003,891.6346397,534.9834736,772.7546536,772.7526079
64,3/5/2014,3121.372802,624.1442478,374.4884315,540.9282575,540.9268255
65,3/6/2014,2184.960961,436.9009734,262.1419021,378.6497803,378.6487779
66,3/7/2014,1529.472673,305.8306814,183.4993314,265.0548462,265.0541445
67,3/8/2014,1070.630871,214.081477,128.449532,185.5383923,185.5379012
68,3/9/2014,774.3533954,166.7845924,100.0725627,144.5477097,144.5490546
69,3/10/2014,542.0473768,116.7492147,70.05079389,101.1833968,101.1843382
70,3/11/2014,379.4331638,81.72445027,49.03555572,70.82837774,70.82903675
71,3/12/2014,265.6032146,57.20711519,34.324889,49.57986442,49.58032573
72,3/13/2014,185.9222502,40.04498063,24.0274223,34.70590509,34.70622801
73,3/14/2014,130.1455752,28.03148644,16.81919561,24.29413357,24.29435961
74,3/15/2014,91.10190262,19.62204051,11.77343693,17.0058935,17.00605172
75,3/16/2014,63.77133183,13.73542836,8.24140585,11.90412545,11.90423621
76,3/17/2014,44.63993228,9.61479985,5.768984095,8.332887813,8.332965345
77,3/18/2014,31.2479526,6.730359895,4.038288866,5.833021469,5.833075741
78,3/19/2014,21.87356682,4.711251927,2.826802207,4.083115028,4.083153019
79,3/20/2014,15.31149677,3.297876349,1.978761545,2.85818052,2.858207113
80,3/21/2014,10.71804774,2.308513444,1.385133081,2.000726364,2.000744979
81,3/22/2014,7.502633419,1.615959411,0.969593157,1.400508455,1.400521485
82,3/23/2014,5.251843393,1.131171588,0.67871521,0.980355918,0.98036504
83,3/24/2014,3.676290375,0.791820111,0.475100647,0.686249143,0.686255528
84,3/25/2014,2.573403263,0.554274078,0.332570453,0.4803744,0.48037887
85,3/26/2014,1.801382284,0.387991855,0.232799317,0.33626208,0.336265209
86,3/27/2014,1.260967599,0.271594298,0.162959522,0.235383456,0.235385646
87,3/28/2014,0.882677319,0.190116009,0.114071665,0.164768419,0.164769952
88,3/29/2014,0.617874123,0.133081206,0.079850166,0.115337893,0.115338967
89,3/30/2014,0.432511886,0.093156844,0.055895116,0.080736525,0.080737277
90,3/31/2014,0.30275832,0.065209791,0.039126581,0.056515568,0.056516094
91,4/1/2014,0.211930824,0.045646854,0.027388607,0.039560897,0.039561266
92,4/2/2014,0.148351577,0.031952798,0.019172025,0.027692628,0.027692886
93,4/3/2014,0.103846104,0.022366958,0.013420417,0.01938484,0.01938502
94,4/4/2014,0.072692273,0.015656871,0.009394292,0.013569388,0.013569514
95,4/5/2014,0.050884591,0.01095981,0.006576005,0.009498571,0.00949866
96,4/6/2014,0.035619214,0.007671867,0.004603203,0.006649,0.006649062
97,4/7/2014,0.02493345,0.005370307,0.003222242,0.0046543,0.004654343
98,4/8/2014,0.017453415,0.003759215,0.00225557,0.00325801,0.00325804
99,4/9/2014,0.01221739,0.00263145,0.001578899,0.002280607,0.002280628
100,4/10/2014,0.008552173,0.001842015,0.001105229,0.001596425,0.00159644
101,4/11/2014,0.005986521,0.001289411,0.00077366,0.001117497,0.001117508
102,4/12/2014,0.004190565,0.000902587,0.000541562,0.000782248,0.000782255
103,4/13/2014,0.002933395,0.000631811,0.000379094,0.000547574,0.000547579
104,4/14/2014,0.002053377,0.000442268,0.000265366,0.000383302,0.000383305
105,4/15/2014,0.001437364,0.000309587,0.000185756,0.000268311,0.000268314
106,4/16/2014,0.001006155,0.000216711,0.000130029,0.000187818,0.00018782
107,4/17/2014,0.000704308,0.000151698,9.10E-05,0.000131472,0.000131474
108,4/18/2014,0.000493016,0.000106189,6.37E-05,9.20E-05,9.20E-05
109,4/19/2014,0.000345111,7.43E-05,4.46E-05,6.44E-05,6.44E-05
110,4/20/2014,0.000241578,5.20E-05,3.12E-05,4.51E-05,4.51E-05
111,4/21/2014,0.000169104,3.64E-05,2.19E-05,3.16E-05,3.16E-05
112,4/22/2014,0.000118373,2.55E-05,1.53E-05,2.21E-05,2.21E-05
113,4/23/2014,8.29E-05,1.78E-05,1.07E-05,1.55E-05,1.55E-05
114,4/24/2014,5.80E-05,1.25E-05,7.50E-06,1.08E-05,1.08E-05
115,4/25/2014,4.06E-05,8.75E-06,5.25E-06,7.58E-06,7.58E-06
116,4/26/2014,2.84E-05,6.12E-06,3.67E-06,5.31E-06,5.31E-06
117,4/27/2014,1.99E-05,4.29E-06,2.57E-06,3.71E-06,3.71E-06
118,4/28/2014,1.39E-05,3.00E-06,1.80E-06,2.60E-06,2.60E-06
119,4/29/2014,9.75E-06,2.10E-06,1.26E-06,1.82E-06,1.82E-06
120,4/30/2014,1160.197936,229.9962305,137.9979223,199.3306883,199.3305538
121,5/1/2014,812.1385553,160.9973613,96.59854564,139.5314818,139.5313877
122,5/2/2014,568.4969887,112.6981529,67.61898195,97.67203726,97.67197138
123,5/3/2014,397.9478921,78.88870706,47.33328736,68.37042608,68.37037996
124,5/4/2014,278.5635245,55.22209494,33.13330116,47.85929826,47.85926597
125,5/5/2014,194.9944671,38.65546646,23.19331081,33.50150878,33.50148618
126,5/6/2014,136.496127,27.05882652,16.23531757,23.45105615,23.45104033
127,5/7/2014,95.5472889,18.94117857,11.3647223,16.4157393,16.41572823
128,5/8/2014,66.88310223,13.258825,7.955305607,11.49101751,11.49100976
129,5/9/2014,46.81817156,9.281177497,5.568713925,8.043712258,8.043706832
130,5/10/2014,32.77272009,6.496824248,3.898099748,5.630598581,5.630594783
131,5/11/2014,22.94090406,4.547776974,2.728669823,3.941419006,3.941416348
132,5/12/2014,16.05863284,3.183443881,1.910068876,2.758993305,2.758991443
133,5/13/2014,11.24104299,2.228410717,1.337048213,1.931295313,1.93129401
134,5/14/2014,7.868730094,1.559887502,0.935933749,1.351906719,1.351905807
135,5/15/2014,5.508111066,1.091921251,0.655153625,0.946334703,0.946334065
136,5/16/2014,3.855677746,0.764344876,0.458607537,0.662434292,0.662433846
137,5/17/2014,2.698974422,0.535041413,0.321025276,0.463704005,0.463703692
138,5/18/2014,1.889282096,0.374528989,0.224717693,0.324592803,0.324592584
139,5/19/2014,1.322497467,0.262170292,0.157302385,0.227214962,0.227214809
140,5/20/2014,0.925748227,0.183519205,0.11011167,0.159050474,0.159050366
141,5/21/2014,0.648023759,0.128463443,0.077078169,0.111335332,0.111335256
142,5/22/2014,0.453616631,0.08992441,0.053954718,0.077934732,0.077934679
143,5/23/2014,0.317531642,0.062947087,0.037768303,0.054554312,0.054554276
144,5/24/2014,0.222272149,0.044062961,0.026437812,0.038188019,0.038187993
145,5/25/2014,0.155590504,0.030844073,0.018506468,0.026731613,0.026731595
146,5/26/2014,0.108913353,0.021590851,0.012954528,0.018712129,0.018712117
147,5/27/2014,0.076239347,0.015113596,0.009068169,0.01309849,0.013098482
148,5/28/2014,0.053367543,0.010579517,0.006347719,0.009168943,0.009168937
149,5/29/2014,0.03735728,0.007405662,0.004443403,0.00641826,0.006418256
150,5/30/2014,0.026150096,0.005183963,0.003110382,0.004492782,0.004492779
151,5/31/2014,0.018305067,0.003628774,0.002177267,0.003144948,0.003144945
152,6/1/2014,0.012813547,0.002540142,0.001524087,0.002201463,0.002201462
153,6/2/2014,0.008969483,0.001778099,0.001066861,0.001541024,0.001541023
154,6/3/2014,0.006278638,0.00124467,0.000746803,0.001078717,0.001078716
155,6/4/2014,0.004395047,0.000871269,0.000522762,0.000755102,0.000755101
156,6/5/2014,0.003076533,0.000609888,0.000365933,0.000528571,0.000528571
157,6/6/2014,0.002153573,0.000426922,0.000256153,0.00037,0.00037
158,6/7/2014,0.001507501,0.000298845,0.000179307,0.000259,0.000259
159,6/8/2014,0.001055251,0.000209192,0.000125515,0.0001813,0.0001813
160,6/9/2014,0.000738675,0.000146434,8.79E-05,0.00012691,0.00012691
161,6/10/2014,0.000517073,0.000102504,6.15E-05,8.88E-05,8.88E-05
162,6/11/2014,0.000361951,7.18E-05,4.31E-05,6.22E-05,6.22E-05
163,6/12/2014,0.000253366,5.02E-05,3.01E-05,4.35E-05,4.35E-05
164,6/13/2014,0.000177356,3.52E-05,2.11E-05,3.05E-05,3.05E-05
165,6/14/2014,0.000124149,2.46E-05,1.48E-05,2.13E-05,2.13E-05
166,6/15/2014,8.69E-05,1.72E-05,1.03E-05,1.49E-05,1.49E-05
167,6/16/2014,6.08E-05,1.21E-05,7.24E-06,1.05E-05,1.05E-05
168,6/17/2014,4.26E-05,8.44E-06,5.06E-06,7.32E-06,7.32E-06
169,6/18/2014,2.98E-05,5.91E-06,3.55E-06,5.12E-06,5.12E-06
170,6/19/2014,2.09E-05,4.14E-06,2.48E-06,3.58E-06,3.58E-06
171,6/20/2014,1.46E-05,2.90E-06,1.74E-06,2.51E-06,2.51E-06
172,6/21/2014,1.02E-05,2.03E-06,1.22E-06,1.76E-06,1.76E-06
173,6/22/2014,7.16E-06,1.42E-06,8.51E-07,1.23E-06,1.23E-06
174,6/23/2014,5.01E-06,9.93E-07,5.96E-07,8.61E-07,8.61E-07
175,6/24/2014,3.51E-06,6.95E-07,4.17E-07,6.03E-07,6.03E-07
176,6/25/2014,2.45E-06,4.87E-07,2.92E-07,4.22E-07,4.22E-07
177,6/26/2014,1.72E-06,3.41E-07,2.04E-07,2.95E-07,2.95E-07
178,6/27/2014,1.20E-06,2.38E-07,1.43E-07,2.07E-07,2.07E-07
179,6/28/2014,8.42E-07,1.67E-07,1.00E-07,1.45E-07,1.45E-07
180,6/29/2014,5.89E-07,1.17E-07,7.01E-08,1.01E-07,1.01E-07
181,6/30/2014,4.13E-07,8.18E-08,4.91E-08,7.09E-08,7.09E-08
182,7/1/2014,2.89E-07,5.73E-08,3.44E-08,4.96E-08,4.96E-08
183,7/2/2014,2.02E-07,4.01E-08,2.40E-08,3.47E-08,3.47E-08
184,7/3/2014,1.42E-07,2.81E-08,1.68E-08,2.43E-08,2.43E-08
185,7/4/2014,9.91E-08,1.96E-08,1.18E-08,1.70E-08,1.70E-08
186,7/5/2014,6.93E-08,1.37E-08,8.25E-09,1.19E-08,1.19E-08
187,7/6/2014,4.85E-08,9.62E-09,5.77E-09,8.34E-09,8.34E-09
188,7/7/2014,3.40E-08,6.74E-09,4.04E-09,5.84E-09,5.84E-09
189,7/8/2014,2.38E-08,4.72E-09,2.83E-09,4.09E-09,4.09E-09
190,7/9/2014,1.66E-08,3.30E-09,1.98E-09,2.86E-09,2.86E-09
191,7/10/2014,1.17E-08,2.31E-09,1.39E-09,2.00E-09,2.00E-09
192,7/11/2014,8.16E-09,1.62E-09,9.70E-10,1.40E-09,1.40E-09
193,7/12/2014,5.71E-09,1.13E-09,6.79E-10,9.81E-10,9.81E-10
194,7/13/2014,4.00E-09,7.92E-10,4.75E-10,6.87E-10,6.87E-10
195,7/14/2014,2.80E-09,5.55E-10,3.33E-10,4.81E-10,4.81E-10
196,7/15/2014,1.96E-09,3.88E-10,2.33E-10,3.37E-10,3.37E-10
197,7/16/2014,1.37E-09,2.72E-10,1.63E-10,2.36E-10,2.36E-10
198,7/17/2014,9.60E-10,1.90E-10,1.14E-10,1.65E-10,1.65E-10
199,7/18/2014,6.72E-10,1.33E-10,7.99E-11,1.15E-10,1.15E-10
200,7/19/2014,4.70E-10,9.32E-11,5.59E-11,8.08E-11,8.08E-11
201,7/20/2014,3.29E-10,6.53E-11,3.92E-11,5.66E-11,5.66E-11
202,7/21/2014,2.30E-10,4.57E-11,2.74E-11,3.96E-11,3.96E-11
203,7/22/2014,1.61E-10,3.20E-11,1.92E-11,2.77E-11,2.77E-11
204,7/23/2014,1.13E-10,2.24E-11,1.34E-11,1.94E-11,1.94E-11
205,7/24/2014,7.90E-11,1.57E-11,9.40E-12,1.36E-11,1.36E-11
206,7/25/2014,5.53E-11,1.10E-11,6.58E-12,9.51E-12,9.51E-12
207,7/26/2014,3.87E-11,7.68E-12,4.61E-12,6.65E-12,6.65E-12
208,7/27/2014,2.71E-11,5.37E-12,3.22E-12,4.66E-12,4.66E-12
209,7/28/2014,1.90E-11,3.76E-12,2.26E-12,3.26E-12,3.26E-12
210,7/29/2014,1.33E-11,2.63E-12,1.58E-12,2.28E-12,2.28E-12
211,7/30/2014,9.30E-12,1.84E-12,1.11E-12,1.60E-12,1.60E-12
212,7/31/2014,6.51E-12,1.29E-12,7.74E-13,1.12E-12,1.12E-12
213,8/1/2014,4.56E-12,9.03E-13,5.42E-13,7.83E-13,7.83E-13
214,8/2/2014,3.19E-12,6.32E-13,3.79E-13,5.48E-13,5.48E-13
215,8/3/2014,2.23E-12,4.43E-13,2.66E-13,3.84E-13,3.84E-13
216,8/4/2014,1.56E-12,3.10E-13,1.86E-13,2.69E-13,2.69E-13
217,8/5/2014,1.09E-12,2.17E-13,1.30E-13,1.88E-13,1.88E-13
218,8/6/2014,7.66E-13,1.52E-13,9.11E-14,1.32E-13,1.32E-13
219,8/7/2014,5.36E-13,1.06E-13,6.38E-14,9.21E-14,9.21E-14
220,8/8/2014,3.75E-13,7.44E-14,4.46E-14,6.45E-14,6.45E-14
221,8/9/2014,2.63E-13,5.21E-14,3.12E-14,4.51E-14,4.51E-14
222,8/10/2014,1486.124721,294.6062222,176.7637333,255.3253926,255.3253926
223,8/11/2014,5650.657305,1120.174356,672.1046133,970.8177748,970.8177748
224,8/12/2014,15328.16011,3038.622049,1823.173229,2633.472442,2633.472442
225,8/13/2014,12364.11208,2451.035434,1470.621261,2124.23071,2124.23071
226,8/14/2014,8654.878455,1715.724804,1029.434882,1486.961497,1486.961497
227,8/15/2014,6058.414919,1201.007363,720.6044177,1040.873048,1040.873048
228,8/16/2014,4240.890443,840.7051539,504.4230924,728.6111334,728.6111334
229,8/17/2014,2968.62331,588.4936078,353.0961647,510.0277934,510.0277934
230,8/18/2014,2078.036317,411.9455254,247.1673153,357.0194554,357.0194554
231,8/19/2014,1454.625422,288.3618678,173.0171207,249.9136188,249.9136188
232,8/20/2014,1018.237795,201.8533075,121.1119845,174.9395331,174.9395331
233,8/21/2014,712.7664568,141.2973152,84.77838913,122.4576732,122.4576732
234,8/22/2014,498.9365198,98.90812066,59.34487239,85.72037123,85.72037123
235,8/23/2014,349.2555638,69.23568446,41.54141068,60.00425986,60.00425986
236,8/24/2014,13521.07614,2680.389544,1608.233726,2323.004272,2323.004272
237,8/25/2014,9464.753301,1876.272681,1125.763609,1626.10299,1626.10299
238,8/26/2014,6625.327311,1313.390877,788.034526,1138.272093,1138.272093
239,8/27/2014,4637.729118,919.3736136,551.6241682,796.7904651,796.7904651
240,8/28/2014,3246.410382,643.5615295,386.1369177,557.7533256,557.7533256
241,8/29/2014,2272.487268,450.4930707,270.2958424,390.4273279,390.4273279
242,8/30/2014,1590.741087,315.3451495,189.2070897,273.2991295,273.2991295
243,8/31/2014,1113.518761,220.7416046,132.4449628,191.3093907,191.3093907
244,9/1/2014,779.4631328,154.5191232,92.71147395,133.9165735,133.9165735
245,9/2/2014,545.624193,108.1633863,64.89803176,93.74160143,93.74160143
246,9/3/2014,381.9369351,75.71437039,45.42862223,65.619121,65.619121
247,9/4/2014,267.3558546,53.00005927,31.80003556,45.9333847,45.9333847
248,9/5/2014,187.1490982,37.10004149,22.26002489,32.15336929,32.15336929
249,9/6/2014,131.0043687,25.97002904,15.58201743,22.5073585,22.5073585
250,9/7/2014,91.70305811,18.17902033,10.9074122,15.75515095,15.75515095
251,9/8/2014,64.19214068,12.72531423,7.635188539,11.02860567,11.02860567
252,9/9/2014,44.93449847,8.907719962,5.344631977,7.720023967,7.720023967
253,9/10/2014,31.45414893,6.235403973,3.741242384,5.404016777,5.404016777
254,9/11/2014,22.01790425,4.364782781,2.618869669,3.782811744,3.782811744
255,9/12/2014,15.41253298,3.055347947,1.833208768,2.647968221,2.647968221
256,9/13/2014,10.78877308,2.138743563,1.283246138,1.853577754,1.853577754
257,9/14/2014,7.552141159,1.497120494,0.898272296,1.297504428,1.297504428
258,9/15/2014,5.286498811,1.047984346,0.628790607,0.9082531,0.9082531
259,9/16/2014,3.700549168,0.733589042,0.440153425,0.63577717,0.63577717
260,9/17/2014,2.590384417,0.513512329,0.308107398,0.445044019,0.445044019
261,9/18/2014,1.813269092,0.359458631,0.215675178,0.311530813,0.311530813
262,9/19/2014,1.269288365,0.251621041,0.150972625,0.218071569,0.218071569
263,9/20/2014,0.888501855,0.176134729,0.105680837,0.152650098,0.152650098
264,9/21/2014,0.621951299,0.12329431,0.073976586,0.106855069,0.106855069
265,9/22/2014,0.435365909,0.086306017,0.05178361,0.074798548,0.074798548
266,9/23/2014,0.304756136,0.060414212,0.036248527,0.052358984,0.052358984
267,9/24/2014,0.213329295,0.042289948,0.025373969,0.036651289,0.036651289
268,9/25/2014,0.149330507,0.029602964,0.017761778,0.025655902,0.025655902
269,9/26/2014,0.104531355,0.020722075,0.012433245,0.017959131,0.017959131
270,9/27/2014,0.073171948,0.014505452,0.008703271,0.012571392,0.012571392
