Reservoir,Site,Date,Flow_cms,Method,Flag_Flow
BVR,100,4/29/2019,0.01761,F,0
BVR,200,4/29/2019,0.00957,F,0
BVR,100,5/30/2019,0.002615699,S,0
BVR,200,5/30/2019,0.0060461,S,0
BVR,100,6/20/2019,0.007360629,S,0
BVR,200,6/20/2019,0.0045931,S,0
BVR,200,6/27/2019,0.00451909,S,0
BVR,100,7/18/2019,0.004735426,S,0
BVR,200,7/18/2019,0.003221387,S,0
BVR,100,7/24/2019,0.009384452,S,0
BVR,200,7/24/2019,0.010486362,S,0
BVR,100,8/22/2019,0.00402539,S,0
BVR,200,8/22/2019,0.002061457,S,0
BVR,100,10/4/2019,0.002258016,S,0
BVR,200,10/4/2019,0.000993843,S,0
FCR,200,2/8/2019,0.03084576,F,0
FCR,200,3/18/2019,0.03343656,F,0
FCR,200,4/1/2019,0.02426208,F,0
FCR,200,4/15/2019,0.15718536,F,0
FCR,200,4/22/2019,0.076788264,F,0
FCR,1,4/29/2019,0.1918335,F,0
FCR,99,4/29/2019,0.12060936,F,0
FCR,100,4/29/2019,0.23158704,F,0
FCR,101,4/29/2019,0.14133576,F,0
FCR,102,4/29/2019,0.1008126,F,0
FCR,200,4/29/2019,0.03681984,F,0
FCR,200,5/6/2019,0.0292608,F,0
FCR,100,5/13/2019,0.09195816,F,0
FCR,200,5/13/2019,0.00042672,F,3
FCR,200,5/20/2019,0.006545,F,0
FCR,200,5/27/2019,0.00577,F,0
FCR,1,5/30/2019,0.05113,S,0
FCR,99,5/30/2019,0.0275854,S,0
FCR,100,5/30/2019,0.037759348,S,0
FCR,101,5/30/2019,0.034115104,S,0
FCR,102,5/30/2019,0.01090952,S,0
FCR,200,6/6/2019,0.01405,V,0
FCR,100,6/10/2019,0.0712125,F,0
FCR,200,6/10/2019,0.02725,F,0
FCR,200,6/17/2019,0.01805,F,0
FCR,200,6/24/2019,0.01835,F,0
FCR,1,6/27/2019,0.00368925,S,0
FCR,99,6/27/2019,0.0148243,S,0
FCR,100,6/27/2019,0.016705778,S,0
FCR,101,6/27/2019,0.012802242,S,0
FCR,102,6/27/2019,0.0000128,S,0
FCR,200,6/27/2019,0.01105,F,0
FCR,200,7/1/2019,0.0089,F,0
FCR,200,7/8/2019,0.009225,F,0
FCR,200,7/15/2019,0.01135,F,0
FCR,1,7/18/2019,0.013062446,S,0
FCR,99,7/18/2019,0.005135225,S,0
FCR,100,7/18/2019,0.005134307,S,0
FCR,101,7/18/2019,0.004274691,S,0
FCR,102,7/18/2019,0.001146158,S,0
FCR,200,7/18/2019,0.00595,F,0
FCR,200,7/22/2019,0.00635,F,0
FCR,200,7/29/2019,0.0089,F,0
FCR,200,8/5/2019,0.0054,F,0
FCR,200,8/12/2019,0.0027,F,0
FCR,200,8/19/2019,0.0068,F,0
FCR,1,8/22/2019,0.009762845,S,0
FCR,99,8/22/2019,0.004152117,S,0
FCR,100,8/22/2019,0.004032924,S,0
FCR,101,8/22/2019,0.003163671,S,0
FCR,102,8/22/2019,0.000909201,S,0
FCR,200,8/22/2019,0.01161,V,5
FCR,200,9/2/2019,0.00594,V,5
FCR,1,10/4/2019,0.003118284,S,0
FCR,99,10/4/2019,0.002155302,S,0
FCR,101,10/4/2019,0.001733591,S,0
FCR,102,10/4/2019,0.001011647,S,0
FCR,200,10/4/2019,0,V,5
FCR,200,10/30/2019,0,F,3
