"","mdate","P_mm","MaxTemp_C","MinTemp_C"
"1",2013-01-01,0,11.1,-2.1
"2",2013-01-02,0.5,11.1,2.2
"3",2013-01-03,0,7.2,1.1
"4",2013-01-04,0,7.2,-1.7
"5",2013-01-05,0,10,-1.1
"6",2013-01-06,0,10,-1
"7",2013-01-07,0,10,-0.6
"8",2013-01-08,0,12.2,-5
"9",2013-01-09,0,16.1,-4.3
"10",2013-01-10,0,16.1,-1
"11",2013-01-11,0,15,3.9
"12",2013-01-12,1.3,22.8,5
"13",2013-01-13,0,22.8,5
"14",2013-01-14,0.5,21.7,11.1
"15",2013-01-15,28.4,11.1,4
"16",2013-01-16,39.1,7.8,3
"17",2013-01-17,7.1,9.4,0.6
"18",2013-01-18,33.5,8.9,-1.1
"19",2013-01-19,0,10,-4.4
"20",2013-01-20,0,13.3,-4.3
"21",2013-01-21,0,13.3,-0.6
"22",2013-01-22,0,10.6,-7.2
"23",2013-01-23,0,1.1,-8.3
"24",2013-01-24,0,2.8,-7.8
"25",2013-01-25,0,2.8,-7.8
"26",2013-01-26,2.8,5,-7.8
"27",2013-01-27,0,5,-6.7
"28",2013-01-28,2.5,13.9,-6.6
"29",2013-01-29,0.8,23.3,0
"30",2013-01-30,23.9,23.3,12.2
"31",2013-01-31,67.3,20.6,1.1
"32",2013-02-01,0,3.9,-6
"33",2013-02-02,0,4.4,-8.9
"34",2013-02-03,0.8,5,-8.3
"35",2013-02-04,0,5,-3.9
"36",2013-02-05,0,11.7,-3.9
"37",2013-02-06,0,12.8,0
"38",2013-02-07,0,12.8,-0.6
"39",2013-02-08,11.9,10.6,-0.5
"40",2013-02-09,5.1,10.6,-0.6
"41",2013-02-10,0,10,-5
"42",2013-02-11,1.3,17.2,-4.9
"43",2013-02-12,0.5,17.2,3.3
"44",2013-02-13,0,11.7,6
"45",2013-02-14,3.8,12.2,-0.6
"46",2013-02-15,0,15.6,-1.1
"47",2013-02-16,0.5,6.1,-0.6
"48",2013-02-17,0,3.3,-7.2
"49",2013-02-18,0,12.2,-6.7
"50",2013-02-19,0,12.2,3
"51",2013-02-20,1,8.3,-1.1
"52",2013-02-21,0,11.7,-3.9
"53",2013-02-22,1.3,11.7,-3.8
"54",2013-02-23,0,12.2,-0.5
"55",2013-02-24,0,13.3,1.1
"56",2013-02-25,0,13.3,-1.1
"57",2013-02-26,0,5.6,-1
"58",2013-02-27,32.3,10.6,0
"59",2013-02-28,0,10.6,2.2
"60",2013-03-01,0,6.1,2.8
"61",2013-03-02,0,5,0
"62",2013-03-03,0,2.8,-2.2
"63",2013-03-04,0,10,-3.3
"64",2013-03-05,0,10,-3.2
"65",2013-03-06,23.6,9.4,0.6
"66",2013-03-07,4.6,6.7,0.6
"67",2013-03-08,0,11.1,2.2
"68",2013-03-09,0,16.1,-2.8
"69",2013-03-10,0,18.3,-2.7
"70",2013-03-11,0,18.3,-0.5
"71",2013-03-12,12.7,14.4,6.7
"72",2013-03-13,11.9,13.3,1.7
"73",2013-03-14,0,8.9,-1.7
"74",2013-03-15,0,18.3,-1.6
"75",2013-03-16,1,25,0.6
"76",2013-03-17,1.5,17.8,3
"77",2013-03-18,16.5,3.3,0.6
"78",2013-03-19,3.3,15.6,0.6
"79",2013-03-20,0,15.6,0.6
"80",2013-03-21,0,12.8,-2.2
"81",2013-03-22,0,10,-5.6
"82",2013-03-23,0,14.4,-5.5
"83",2013-03-24,0,14.4,-1
"84",2013-03-25,22.1,5,-1
"85",2013-03-26,1,7.2,-0.5
"86",2013-03-27,0,7.2,1.1
"87",2013-03-28,0,11.1,1.1
"88",2013-03-29,0,15.6,-0.6
"89",2013-03-30,0,18.3,-0.5
"90",2013-03-31,3.8,18.3,0.6
"91",2013-04-01,2.8,16.1,6.7
"92",2013-04-02,0,16.1,1.7
"93",2013-04-03,0,13.3,0
"94",2013-04-04,0,13.3,0
"95",2013-04-05,17.8,18.3,0.6
"96",2013-04-06,1.8,18.3,1.1
"97",2013-04-07,0,22.8,1.1
"98",2013-04-08,0,26.7,5
"99",2013-04-09,0,30.6,9.4
"100",2013-04-10,0,32.2,13.9
"101",2013-04-11,0,32.2,18.3
"102",2013-04-12,29.7,29.4,15.6
"103",2013-04-13,1,24.4,11.7
"104",2013-04-14,0,26.1,8.9
"105",2013-04-15,5.8,26.1,8.9
"106",2013-04-16,0.8,24.4,11.7
"107",2013-04-17,0,26.7,13.3
"108",2013-04-18,0,26.7,15.6
"109",2013-04-19,0,25,15.6
"110",2013-04-20,10.9,21.7,5.6
"111",2013-04-21,0,16.1,1.1
"112",2013-04-22,0,16.1,1.1
"113",2013-04-23,0,20.6,1.7
"114",2013-04-24,0,25.6,8.3
"115",2013-04-25,0.8,25.6,3.9
"116",2013-04-26,0,20,3.3
"117",2013-04-27,0,20,3.3
"118",2013-04-28,2.5,19.4,9.4
"119",2013-04-29,5.3,20,10.6
"120",2013-04-30,0.5,20.6,10.6
"121",2013-05-01,0.3,20.6,13
"122",2013-05-02,0.3,22.2,12.8
"123",2013-05-03,0,21.1,10
"124",2013-05-04,0,19.4,8.3
"125",2013-05-05,0,17.8,7.2
"126",2013-05-06,3.8,15,7.2
