'p_name','cyano','green','diatom'
'p_initial', 1, 1, 1
'p0', 0.03, 0.03, 0.03
'Xcc', 50, 10, 30
'R_growth', 0.5, 1.1, 1
'fT_Method', 1, 1, 1
'theta_growth', 1.05, 1.08, 1.02
'T_std', 10, 10, 10
'T_opt', 28, 28, 12
'T_max', 35, 35, 30
'lightModel', 1, 1, 1
'I_K', 10, 10, 5
'I_S', 250, 250, 250
'KePHY', 0.005, 0.005, 0.005
'f_pr', 0.005, 0.005, 0.001
'R_resp', 0.08 0.08, 0.012
'theta_resp', 1.05, 1.05, 1.05
'k_fres', 0.6, 0.6, 0.6
'k_fdom', 0.05, 0.05, 0.05
'salTol', 0, 0, 0
'S_bep', 2, 2, 2
'S_maxsp', 35, 35, 35
'S_opt', 1, 1, 1
'simDINUptake', 1, 1, 1
'simDONUptake', 0, 0, 0
'simNFixation', 1, 0, 0
'simINDynamics', 2, 2, 2
'N_o', 0.25, 0.25, 0.25
'K_N', 4, 4, 4
'X_ncon', 0.035, 0.035, 0.035
'X_nmin', 0.02, 0.02, 0.02
'X_nmax', 0.07, 0.07, 0.07
'R_nuptake', 0.02, 0.02, 0.02
'k_nfix', 0.7, 0.7, 0.7
'R_nfix', 0.035, 0.035, 0.035
'simDIPUptake', 1, 1, 1
'simIPDynamics', 2, 2, 2
'P_0', 0.03, 0.03, 0.03
'K_P', 0.15, 0.03, 0.03
'X_pcon', 0.0015, 0.0015, 0.0015
'X_pmin', 0.0005, 0.0005, 0.0005
'X_pmax', 0.005, 0.005, 0.005
'R_puptake', 0.001, 0.001, 0.001
'simSiUptake', 0, 0, 0
'Si_0', 0.3, 0.3, 0.3
'K_Si', 2.5, 2.5, 2.5
'X_sicon', 0.4, 0.4, 0.4
'w_p', -0.03, -0.03, -0.05
