 'p_name', 'cyano', 'green', 'diatom'
 'p_initial',1,1,1
 'p0',0.03,0.03,0.03
 'Xcc',200,88,120
 'R_growth',1.4,2,1.8
 'fT_Method',1,1,1
 'theta_growth',1.08,1.08,1.08
 'T_std',20,18,8
 'T_opt',28,25,18
 'T_max',35,30,25
 'lightModel',1,1,1
 'I_K',10,10,5
 'I_S',250,250,250
 'KePHY',0.005,0.005,0.001
 'f_pr',0.01,0.001,0.01
 'R_resp',0.09,0.09,0.09
 'theta_resp',1.06,1.06,1.06
 'k_fres',1,1,1
 'k_fdom',0.05,0.05,0.05
 'salTol',0,0,0
 'S_bep',2,2,2
 'S_maxsp',35,35,35
 'S_opt',0,0,0
 'simDINUptake',1,1,1
 'simDONUptake',0,0,0
 'simNFixation',1,0,0
 'simINDynamics',0,0,0
 'N_o',0,0,0
 'K_N',1,1,2
 'X_ncon',0.12,0.02,0.12
 'X_nmin',0.02,0.02,0.02
 'X_nmax',0.12,0.12,0.12
 'R_nuptake',0.02,0.02,0.02
 'k_nfix',0.7,0.7,0.7
 'R_nfix',0.035,0.035,0.035
 'simDIPUptake',1,1,1
 'simIPDynamics',0,0,0
 'P_0',0,0,0
 'K_P',0.05,0.05,0.05
 'X_pcon',0.0005,0.0005,0.0005
 'X_pmin',0.0005,0.0005,0.0005
 'X_pmax',0.005,0.005,0.005
 'R_puptake',0.0002,0.0002,0.0002
 'simSiUptake',0,0,1
 'Si_0',0.3,0.3,0.3
 'K_Si',2.5,2.5,2.5
 'X_sicon',0.4,0.4,0.4
 'w_p',0.008,-0.1,0.001
