p_name,cyano,diatom,green
p_initial,10,10,0.04
p0,0.03,0.03,0.03
w_p,0,0,-0.01
Xcc,50,50,40
R_growth,1.1,1.1,0.7
fT_Method,1,1,0
theta_growth,1.06,1.06,1.08
T_std,20,20,20
T_opt,28,28,27
T_max,35,35,33
lightModel,0,0,0
I_K,25,25,25
I_S,100,100,100
KePHY,0.005,0.005,0.005
f_pr,0.005,0.005,0.005
R_resp,0.08,0.08,0.012
theta_resp,1.05,1.05,1.06
k_fres,0.6,0.6,0.6
k_fdom,0.05,0.05,0.05
salTol,0,0,0
S_bep,2,2,2
S_maxsp,35,35,35
S_opt,1,1,1
simDINUptake,1,1,1
simDONUptake,0,0,0
simNFixation,0,0,0
simINDynamics,2,2,2
N_o,0.25,0.25,0.25
K_N,4,4,3.21
X_ncon,0.035,0.035,0.035
X_nmin,0.02,0.02,0.02
X_nmax,0.07,0.07,0.07
R_nuptake,0.02,0.02,0.02
k_nfix,0.7,0.7,0.7
R_nfix,0.035,0.035,0.035
simDIPUptake,1,1,1
simIPDynamics,2,2,2
P_0,0.03,0.03,0.03
K_P,0.15,0.15,0.16
X_pcon,0.0015,0.0015,0.0015
X_pmin,0.0005,0.0005,0.0005
X_pmax,0.005,0.005,0.005
R_puptake,0.001,0.001,0.001
simSiUptake,0,0,0
Si_0,0.3,0.3,0.3
K_Si,2.5,2.5,2.5
X_sicon,0.4,0.4,0.4
c1,0.002,0.002,0.002
c3,0.0004,0.0004,0.0004
f1,0.675,0.675,0.675
f2,0.75,0.75,0.75
d_phy,1.00E-05,1.00E-05,1.00E-05
