           zoop_name ZOO_rotifer   ZOO_cladoceran    ZOO_copepod
1       zoop_initial           1                1              1
2            min_zoo         0.1              0.1            0.1
3           Rgrz_zoo         0.3              0.3            0.6
4         fassim_zoo           1                1              1
5           Kgrz_zoo           1                1              1
6      theta_grz_zoo        1.03             1.02           1.08
7          Rresp_zoo        0.07             0.06           0.09
8          Rmort_zoo        0.09             0.05            0.1
9         ffecal_zoo         0.2              0.2            0.2
10         fexcr_zoo         0.7              0.7            0.7
11        ffecal_sed        0.15             0.15           0.15
12    theta_resp_zoo        1.08             1.06           1.09
13          Tstd_zoo          10               20             10
14          Topt_zoo          30               25             25
15          Tmax_zoo          35 30.4705882352941             35
16      saltfunc_zoo           1                1              1
17          Smin_zoo           0                0              0
18          Smax_zoo          35               35             35
19          Sint_zoo          10               10             10
20           INC_zoo         0.2              0.2            0.2
21           IPC_zoo        0.01             0.01           0.01
22         DOmin_zoo           3                3              3
23      Cmin_grz_zoo           2                3              3
24          num_prey           3                3              3
25 prey(1)%zoop_prey   PHY_green        PHY_green    ZOO_rotifer
26 prey(1)%Pzoo_prey         0.1              0.5            0.5
27 prey(2)%zoop_prey     OGM_poc       PHY_diatom ZOO_cladoceran
28 prey(2)%Pzoo_prey         0.8              0.3            0.4
29 prey(3)%zoop_prey  PHY_diatom          OGM_poc        OGM_poc
30 prey(3)%Pzoo_prey         0.1              0.2            0.1
