#  Roanoke, Virginia January-December Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
194812,57
194912,58.7
195012,57
195112,57
195212,57.9
195312,59.2
195412,57.7
195512,57.3
195612,57.7
195712,57.8
195812,55.7
195912,58.5
196012,56.1
196112,56.9
196212,56.1
196312,55.6
196412,57.1
196512,57.3
196612,56.1
196712,56.5
196812,56.8
196912,56.1
197012,57.5
197112,57.6
197212,56.6
197312,57.9
197412,57.6
197512,57.8
197612,55.8
197712,57.5
197812,56.2
197912,55.8
198012,57.1
198112,56.3
198212,57.4
198312,56.7
198412,57.8
198512,58.6
198612,57.9
198712,57.8
198812,56.3
198912,56.7
199012,60.1
199112,59.6
199212,56.8
199312,57.2
199412,57.9
199512,57.6
199612,56.3
199712,56.9
199812,60.1
199912,59.1
200012,57.5
200112,58.8
200212,59.1
200312,57.1
200412,58.9
200512,58.7
200612,59.2
200712,60.1
200812,58.4
200912,58.1
201012,58.3
201112,59.6
201212,60.3
201312,58
201412,57
201512,59.3
201612,60
201712,59.7
201812,58.9
201912,59.9
202012,59.8
202112,59.5
202212,58.6
202312,60.2
202412,60.4
