DateTime,Depth,PHY_tchla
2015-07-09,0.1,1.2616
2015-07-09,1,1.6584
2015-07-09,2,1.8925
2015-07-09,3,2.1702
2015-07-09,4,3.7293
2015-07-09,5,1.2577
2015-07-09,6,4.1142
2015-07-09,7,19.6265
2015-07-09,8,3.7373
2015-07-09,9,2.3447
2015-07-09,10,1.8845
2015-07-09,11,2.1305
2015-07-16,0.1,2.2376
2015-07-16,1,2.9914
2015-07-16,2,4.0467
2015-07-16,3,5.3679
2015-07-16,4,8.5259
2015-07-16,5,3.3802
2015-07-16,6,4.7331
2015-07-16,7,6.8516
2015-07-16,8,2.5629
2015-07-16,9,2.2495
2015-07-16,10,2.0988
2015-07-16,11,2.5828
2015-07-23,0.1,1.9202
2015-07-23,1,2.2971
2015-07-23,2,3.5072
2015-07-23,3,6.1058
2015-07-23,4,3.0668
2015-07-23,5,2.3765
2015-07-23,6,7.5301
2015-07-23,7,4.5942
2015-07-23,8,2.186
2015-07-23,9,2.317
2015-07-23,10,2.0869
2015-07-23,11,2.6105
2015-07-30,0.1,1.7695
2015-07-30,1,2.1226
2015-07-30,2,3.4
2015-07-30,3,2.7256
2015-07-30,4,2.4598
2015-07-30,5,6.2645
2015-07-30,6,6.4509
2015-07-30,7,3.162
2015-07-30,8,2.3923
2015-07-30,9,2.1345
2015-07-30,10,2.2654
2015-07-30,11,2.7692
2015-09-04,0.1,1.3605
2015-09-04,1,1.1835
2015-09-04,2,1.5285
2015-09-04,3,2.2975
2015-09-04,4,6.6675
2015-09-04,5,3.9288
2015-09-04,6,2.2517
2015-09-04,7,16.7341
2015-09-04,8,5.5031
2015-09-04,9,3.1917
2015-09-04,10,2.0523
2015-09-04,11,2.6486
2015-09-18,0.1,0.68
2015-09-18,1,0.6014
2015-09-18,2,1.4111
2015-09-18,3,2.2042
2015-09-18,4,2.3046
2015-09-18,5,2.3284
2015-09-18,6,5.3493
2015-09-18,7,11.0312
2015-09-18,8,3.414
2015-09-18,9,2.3425
2015-09-18,10,1.7676
2015-09-18,11,1.7383
2015-10-02,0.1,3.7138
2015-10-02,1,3.6845
2015-10-02,2,3.8343
2015-10-02,3,3.9688
2015-10-02,4,4.1257
2015-10-02,5,3.3988
2015-10-02,6,2.1567
2015-10-02,7,9.6884
2015-10-02,8,1.6173
2015-10-02,9,1.4075
2015-10-02,10,1.2949
2015-10-02,11,1.405
2015-10-23,0.1,1.477
2015-10-23,1,1.2161
2015-10-23,2,2.2141
2015-10-23,3,3.4889
2015-10-23,4,4.3803
2015-10-23,5,4.2147
2015-10-23,6,4.7239
2015-10-23,7,2.1679
2015-10-23,8,1.8901
2015-10-23,9,2.0881
2015-10-23,10,1.5731
2015-10-23,11,1.506
2016-05-12,0.1,2.0968
2016-05-12,1,1.8037
2016-05-12,2,1.7181
2016-05-12,3,1.1894
2016-05-12,4,0.9774
2016-05-12,5,1.8837
2016-05-12,6,6.3359
2016-05-12,7,9.4124
2016-05-12,8,5.4801
2016-05-12,9,2.0957
2016-05-12,10,1.7506
2016-05-12,11,2.2729
2016-05-19,0.1,2.1148
2016-05-19,1,2.2907
2016-05-19,2,2.4572
2016-05-19,3,2.5183
2016-05-19,4,2.5873
2016-05-19,5,4.1614
2016-05-19,6,10.6006
2016-05-19,7,11.4456
2016-05-19,8,6.7556
2016-05-19,9,3.4048
2016-05-19,10,2.3203
2016-05-19,11,1.9943
2016-05-26,0.1,2.6801
2016-05-26,1,2.5953
