"DateTime","Depth","temp"
2015-07-09," 0.1","25.04770"
2015-07-09," 1.0","24.95020"
2015-07-09," 2.0","24.84620"
2015-07-09," 3.0","24.53980"
2015-07-09," 4.0","19.99560"
2015-07-09," 5.0","14.88970"
2015-07-09," 6.0","11.25980"
2015-07-09," 7.0","10.00885"
2015-07-09," 8.0"," 9.11640"
2015-07-09," 9.0"," 8.36400"
2015-07-09,"10.0"," 7.94500"
2015-07-09,"11.0"," 7.62090"
2015-07-16," 0.1","25.8760"
2015-07-16," 1.0","25.7619"
2015-07-16," 2.0","25.4279"
2015-07-16," 3.0","24.3636"
2015-07-16," 4.0","19.8190"
2015-07-16," 5.0","14.8906"
2015-07-16," 6.0","11.7988"
2015-07-16," 7.0"," 9.8835"
2015-07-16," 8.0"," 8.6187"
2015-07-16," 9.0"," 8.2662"
2015-07-16,"10.0"," 8.1466"
2015-07-16,"11.0"," 7.7896"
2015-07-23," 0.1","27.0723"
2015-07-23," 1.0","27.0395"
2015-07-23," 2.0","26.8009"
2015-07-23," 3.0","24.4115"
2015-07-23," 4.0","19.7716"
2015-07-23," 5.0","14.7845"
2015-07-23," 6.0","11.3515"
2015-07-23," 7.0","10.0758"
2015-07-23," 8.0"," 8.8653"
2015-07-23," 9.0"," 8.2769"
2015-07-23,"10.0"," 7.9783"
2015-07-23,"11.0"," 7.7248"
2015-07-30," 0.1","27.6016"
2015-07-30," 1.0","27.6768"
2015-07-30," 2.0","27.5753"
2015-07-30," 3.0","25.0513"
2015-07-30," 4.0","19.8394"
2015-07-30," 5.0","14.7764"
2015-07-30," 6.0","11.8277"
2015-07-30," 7.0","10.2709"
2015-07-30," 8.0"," 9.1168"
2015-07-30," 9.0"," 8.3750"
2015-07-30,"10.0"," 8.0009"
2015-07-30,"11.0"," 7.7458"
2015-07-30," 0.1","27.7"
2015-07-30," 1.0","27.7"
2015-07-30," 2.0","27.7"
2015-07-30," 3.0","27.6"
2015-07-30," 4.0","27.6"
2015-07-30," 5.0","20.8"
2015-07-30," 6.0","17.0"
2015-07-30," 7.0","13.3"
2015-07-30," 8.0","11.2"
2015-07-30," 9.0","10.1"
2015-07-30,"10.0"," 8.8"
2015-07-30,"11.0"," 8.3"
2015-08-13," 0.1","25.7"
2015-08-13," 1.0","25.6"
2015-08-13," 2.0","25.5"
2015-08-13," 3.0","25.4"
2015-08-13," 4.0","25.0"
2015-08-13," 5.0","22.6"
2015-08-13," 6.0","18.0"
2015-08-13," 7.0","13.6"
2015-08-13," 8.0","11.4"
2015-08-13," 9.0"," 9.5"
2015-08-13,"10.0"," 8.6"
2015-08-13,"11.0"," 8.3"
2015-09-04," 0.1","27.2332"
2015-09-04," 1.0","26.5940"
2015-09-04," 2.0","26.2279"
2015-09-04," 3.0","25.5928"
2015-09-04," 4.0","23.7018"
2015-09-04," 5.0","21.0099"
2015-09-04," 6.0","15.6245"
2015-09-04," 7.0","12.0317"
2015-09-04," 8.0","10.3029"
2015-09-04," 9.0"," 8.8782"
2015-09-04,"10.0"," 8.4435"
2015-09-04,"11.0"," 8.1316"
2015-09-18," 0.1","23.1102"
2015-09-18," 1.0","23.0259"
2015-09-18," 2.0","22.5540"
2015-09-18," 3.0","22.3653"
2015-09-18," 4.0","21.8946"
2015-09-18," 5.0","20.9536"
2015-09-18," 6.0","15.5084"
2015-09-18," 7.0","11.9778"
2015-09-18," 8.0"," 9.8356"
2015-09-18," 9.0"," 8.9741"
2015-09-18,"10.0"," 8.5505"
2015-09-18,"11.0"," 8.1761"
2015-10-02," 0.1","18.8554"
2015-10-02," 1.0","18.8855"
2015-10-02," 2.0","18.8891"
2015-10-02," 3.0","18.8865"
2015-10-02," 4.0","18.8858"
2015-10-02," 5.0","18.7953"
