DateTime,Depth,Tot_V
1/2/2014,NA,1460000
1/3/2014,NA,1460000
1/4/2014,NA,1460000
1/5/2014,NA,1460000
1/6/2014,NA,1500000
1/7/2014,NA,1500000
1/8/2014,NA,1500000
1/9/2014,NA,1500000
1/10/2014,NA,1500000
1/11/2014,NA,1500000
1/12/2014,NA,1500000
1/13/2014,NA,1500000
1/14/2014,NA,1500000
1/15/2014,NA,1500000
1/16/2014,NA,1500000
1/17/2014,NA,1500000
1/18/2014,NA,1500000
1/19/2014,NA,1500000
1/20/2014,NA,1500000
1/21/2014,NA,1500000
1/22/2014,NA,1500000
1/23/2014,NA,1500000
1/24/2014,NA,1500000
1/25/2014,NA,1500000
1/26/2014,NA,1500000
1/27/2014,NA,1500000
1/28/2014,NA,1500000
1/29/2014,NA,1500000
1/30/2014,NA,1500000
1/31/2014,NA,1500000
2/1/2014,NA,1500000
2/2/2014,NA,1500000
2/3/2014,NA,1500000
2/4/2014,NA,1500000
2/5/2014,NA,1500000
2/6/2014,NA,1500000
2/7/2014,NA,1500000
2/8/2014,NA,1500000
2/9/2014,NA,1500000
2/10/2014,NA,1500000
2/11/2014,NA,1500000
2/12/2014,NA,1500000
2/13/2014,NA,1500000
2/14/2014,NA,1500000
2/15/2014,NA,1500000
2/16/2014,NA,1500000
2/17/2014,NA,1500000
2/18/2014,NA,1500000
2/19/2014,NA,1500000
2/20/2014,NA,1500000
2/21/2014,NA,1500000
2/22/2014,NA,1500000
2/23/2014,NA,1500000
2/24/2014,NA,1500000
2/25/2014,NA,1500000
2/26/2014,NA,1500000
2/27/2014,NA,1500000
2/28/2014,NA,1500000
3/1/2014,NA,1500000
3/2/2014,NA,1500000
3/3/2014,NA,1500000
3/4/2014,NA,1500000
3/5/2014,NA,1500000
3/6/2014,NA,1500000
3/7/2014,NA,1500000
3/8/2014,NA,1500000
3/10/2014,NA,1500000
3/11/2014,NA,1500000
3/12/2014,NA,1500000
3/13/2014,NA,1500000
3/14/2014,NA,1500000
3/15/2014,NA,1500000
3/16/2014,NA,1500000
3/17/2014,NA,1500000
3/18/2014,NA,1500000
3/19/2014,NA,1500000
3/20/2014,NA,1500000
3/21/2014,NA,1500000
3/22/2014,NA,1500000
3/23/2014,NA,1500000
3/24/2014,NA,1500000
3/25/2014,NA,1500000
3/26/2014,NA,1500000
3/27/2014,NA,1500000
3/28/2014,NA,1500000
3/29/2014,NA,1500000
3/30/2014,NA,1500000
3/31/2014,NA,1500000
4/1/2014,NA,1500000
4/2/2014,NA,1500000
4/3/2014,NA,1500000
4/4/2014,NA,1500000
4/5/2014,NA,1500000
4/6/2014,NA,1500000
4/7/2014,NA,1500000
4/8/2014,NA,1500000
4/9/2014,NA,1500000
4/10/2014,NA,1500000
4/11/2014,NA,1500000
4/12/2014,NA,1500000
4/13/2014,NA,1500000
4/14/2014,NA,1500000
4/15/2014,NA,1500000
4/16/2014,NA,1500000
4/17/2014,NA,1500000
4/18/2014,NA,1500000
4/19/2014,NA,1500000
4/20/2014,NA,1500000
4/21/2014,NA,1500000
4/22/2014,NA,1500000
4/23/2014,NA,1500000
4/24/2014,NA,1500000
4/25/2014,NA,1500000
4/26/2014,NA,1500000
4/27/2014,NA,1500000
4/28/2014,NA,1500000
4/29/2014,NA,1500000
4/30/2014,NA,1500000
5/1/2014,NA,1500000
5/2/2014,NA,1500000
5/3/2014,NA,1500000
5/4/2014,NA,1460000
5/5/2014,NA,1460000
5/6/2014,NA,1460000
5/7/2014,NA,1460000
5/8/2014,NA,1460000
5/9/2014,NA,1460000
5/10/2014,NA,1430000
5/11/2014,NA,1430000
5/12/2014,NA,1430000
5/13/2014,NA,1430000
5/14/2014,NA,1430000
5/15/2014,NA,1430000
5/16/2014,NA,1430000
5/17/2014,NA,1430000
5/18/2014,NA,1430000
5/19/2014,NA,1430000
5/20/2014,NA,1430000
5/21/2014,NA,1430000
5/22/2014,NA,1430000
5/23/2014,NA,1430000
5/24/2014,NA,1430000
5/25/2014,NA,1430000
5/26/2014,NA,1430000
5/27/2014,NA,1430000
5/28/2014,NA,1400000
5/29/2014,NA,1400000
5/30/2014,NA,1380000
5/31/2014,NA,1380000
6/1/2014,NA,1350000
