"Reservoir","Site","DateTime","Secchi_m","Flag_DateTime","Flag_Secchi_m"
"BVR",50,2013-08-30 08:00:00,2.3,0,0
"BVR",50,2013-08-30 08:00:00,2.3,0,0
"BVR",50,2013-10-16 08:00:00,4.4,0,0
"BVR",50,2014-04-30 08:00:00,3,0,0
"BVR",50,2014-04-30 08:00:00,2.75,0,0
"BVR",50,2014-04-30 08:00:00,3,0,0
"BVR",50,2014-05-14 08:00:00,3.5,0,0
"BVR",50,2014-05-14 08:00:00,3.5,0,0
"BVR",50,2014-05-29 08:00:00,3.5,0,0
"BVR",50,2014-06-04 08:00:00,4.4,0,0
"BVR",50,2014-06-04 08:00:00,4.4,0,0
"BVR",50,2014-06-18 08:00:00,4.2,0,0
"BVR",50,2014-06-18 08:00:00,4.2,0,0
"BVR",50,2014-06-25 08:00:00,4.7,0,0
"BVR",50,2014-06-25 08:00:00,4.7,0,0
"BVR",50,2014-07-02 08:00:00,3,0,0
"BVR",50,2014-07-02 08:00:00,3,0,0
"BVR",50,2014-07-09 08:00:00,2.5,0,0
"BVR",50,2014-07-09 08:00:00,2.5,0,0
"BVR",50,2014-07-23 08:00:00,2.2,0,0
"BVR",50,2014-07-23 08:00:00,2.5,0,0
"BVR",50,2014-07-30 08:00:00,2.5,0,0
"BVR",50,2014-07-30 08:00:00,2.5,0,0
"BVR",50,2014-08-13 08:00:00,2.6,0,0
"BVR",50,2014-08-13 08:00:00,2.6,0,0
"BVR",50,2014-09-04 08:00:00,3.8,0,0
"BVR",50,2014-09-04 08:00:00,3.8,0,0
"BVR",50,2014-09-25 08:00:00,3.3,0,0
"BVR",50,2014-09-25 08:00:00,3.3,0,0
"BVR",50,2015-05-28 08:00:00,3.9,0,0
"BVR",50,2015-06-04 08:00:00,3.4,0,0
"BVR",50,2015-06-11 08:00:00,3.3,0,0
"BVR",50,2015-06-18 08:00:00,3.2,0,0
"BVR",50,2015-06-25 08:00:00,2.5,0,0
"BVR",50,2015-07-02 08:00:00,2.6,0,0
"BVR",50,2015-07-02 08:00:00,2.6,0,0
"BVR",50,2015-07-09 08:00:00,2.9,0,0
"BVR",50,2015-07-16 08:00:00,2.8,0,0
"BVR",50,2015-07-23 08:00:00,2.7,0,0
"BVR",50,2015-07-30 08:00:00,2.6,0,0
"BVR",50,2015-08-13 08:00:00,2.5,0,0
"BVR",50,2015-08-20 08:00:00,2.5,0,0
"BVR",50,2015-10-23 08:00:00,3,0,0
"BVR",50,2015-10-23 08:00:00,3,0,0
"BVR",50,2016-03-23 08:00:00,1.74,0,0
"BVR",50,2016-04-05 08:00:00,2.21,0,0
"BVR",50,2016-04-06 08:00:00,2.21,0,0
"BVR",50,2016-04-20 08:00:00,2.49,0,0
"BVR",50,2016-04-23 08:00:00,1.74,0,0
"BVR",50,2016-05-04 08:00:00,3.08,0,0
"BVR",50,2016-05-12 08:00:00,4.04,0,0
"BVR",50,2016-05-19 08:00:00,3.25,0,0
"BVR",50,2016-05-26 08:00:00,3.45,0,0
"BVR",50,2016-05-29 08:00:00,2.76,0,0
"BVR",50,2016-05-31 08:00:00,3.02,0,0
"BVR",50,2016-06-02 08:00:00,4.2,0,0
"BVR",50,2016-06-08 08:00:00,3.9,0,0
"BVR",50,2016-06-16 08:00:00,3.3,0,0
"BVR",50,2016-06-23 08:00:00,3.9,0,0
"BVR",50,2016-06-26 08:00:00,2.79,0,0
"BVR",50,2016-06-28 08:00:00,3.5,0,0
"BVR",50,2016-06-30 08:00:00,3.06,0,0
"BVR",50,2016-07-07 08:00:00,3.08,0,0
"BVR",50,2016-07-14 08:00:00,3.1,0,0
"BVR",50,2016-07-21 08:00:00,2.7,0,0
"BVR",50,2016-07-24 08:00:00,2.3,0,0
"BVR",50,2016-07-28 08:00:00,2.47,0,0
"BVR",50,2016-08-04 08:00:00,1.79,0,0
"BVR",50,2016-08-11 08:00:00,1.9,0,0
"BVR",50,2016-08-18 08:00:00,2.65,0,0
"BVR",50,2016-08-23 08:00:00,2.87,0,0
"BVR",50,2016-09-06 08:00:00,2.13,0,0
"BVR",50,2016-09-27 08:00:00,2.21,0,0
"BVR",50,2016-10-11 08:00:00,2.3,0,0
"BVR",50,2016-10-25 08:00:00,2.24,0,0
"BVR",50,2016-11-11 07:00:00,1.35,0,0
"BVR",50,2017-03-17 08:00:00,2.51,0,0
"BVR",50,2017-04-10 06:03:00,3.29,0,0
"BVR",50,2017-05-05 08:17:00,3.15,0,0
"BVR",50,2017-05-10 06:07:00,2.5,0,0
"BVR",50,2017-05-18 06:50:00,3.45,0,0
"BVR",50,2017-05-25 08:39:00,2.14,0,0
"BVR",50,2017-05-30 07:25:00,2.05,0,0
"BVR",50,2017-06-01 06:02:00,2.19,0,0
"BVR",50,2017-06-08 07:55:00,2.18,0,0
"BVR",50,2017-06-15 06:50:00,1.83,0,0
"BVR",50,2017-06-22 06:40:00,1,0,0
"BVR",50,2017-06-29 07:10:00,0.92,0,0
"BVR",50,2017-07-07 08:00:00,0.87,0,0
"BVR",50,2017-07-13 06:35:00,1.26,0,0
"BVR",50,2017-07-20 08:00:00,1.09,0,0
