"time","depth","pH"
2014-05-14,0,7.98
2014-05-14,2,7.91
2014-05-14,4,7.76
2014-05-14,8,6.78
2014-05-14,12,6.26
2014-05-29,0.1,7.66
2014-05-29,1,7.74
2014-05-29,2,7.69
2014-05-29,3,7.65
2014-05-29,4,7.45
2014-05-29,5,7.13
2014-05-29,6,6.82
2014-05-29,7,6.45
2014-05-29,8,6.31
2014-05-29,9,6.21
2014-05-29,10,6.07
2014-05-29,11,5.99
2014-05-29,12,5.93
2014-06-18,0.1,7.57
2014-06-18,1,7.42
2014-06-18,2,7.38
2014-06-18,3,7.35
2014-06-18,4,6.95
2014-06-18,5,6.69
2014-06-18,6,6.55
2014-06-18,7,6.5
2014-06-18,8,6.37
2014-06-18,9,6.35
2014-06-18,10,6.27
2014-06-18,11,6.27
2014-06-18,12,6.65
2014-06-25,0.1,7.66
2014-06-25,1,7.42
2014-06-25,2,7.37
2014-06-25,3,7.33
2014-06-25,4,7.09
2014-06-25,5,6.72
2014-06-25,6,6.58
2014-06-25,7,6.53
2014-06-25,8,6.47
2014-06-25,9,6.35
2014-06-25,10,6.34
2014-06-25,11,6.75
2014-06-25,12,6.86
2014-07-02,0.1,7.58
2014-07-02,1,7.52
2014-07-02,2,7.6
2014-07-02,3,7.49
2014-07-02,4,7.25
2014-07-02,5,6.76
2014-07-02,6,6.64
2014-07-02,7,6.55
2014-07-02,8,6.42
2014-07-02,9,6.33
2014-07-02,10,6.33
2014-07-02,11,6.63
2014-07-09,0.1,7.89
2014-07-09,1,7.75
2014-07-09,2,7.53
2014-07-09,3,7.45
2014-07-09,4,6.99
2014-07-09,5,6.68
2014-07-09,6,6.52
2014-07-09,7,6.45
2014-07-09,8,6.38
2014-07-09,9,6.36
2014-07-09,10,6.43
2014-07-09,11,6.55
2014-07-23,0,7.95
2014-07-23,1,7.58
2014-07-23,2,7.44
2014-07-23,3,7.39
2014-07-23,4,6.6
2014-07-23,5,6.47
2014-07-23,6,6.39
2014-07-23,7,6.39
2014-07-23,8,6.34
2014-09-25,0,6.3
2014-09-25,4,6.35
2014-09-25,8,5.8
2014-09-25,10,5.9
2015-05-28,0.1,7.2
2015-05-28,1,7.28
2015-05-28,2,7.34
2015-05-28,3,7.36
2015-05-28,4,6.43
2015-05-28,5,6.34
2015-05-28,6,6.28
2015-05-28,7,5.96
2015-05-28,8,5.84
2015-05-28,9,5.76
2015-05-28,10,5.76
2015-05-28,11,5.93
2015-06-04,0.1,6.96
2015-06-04,1,7.08
2015-06-04,2,7.17
2015-06-04,3,7.18
2015-06-04,4,7.13
2015-06-04,5,6.89
2015-06-04,6,6.72
2015-06-04,7,6.42
2015-06-04,8,6.07
2015-06-04,9,5.93
2015-06-04,10,5.93
2015-06-04,11,6.08
2015-06-04,12,6.21
2015-06-11,0.1,7.2
2015-06-11,1,7.13
2015-06-11,2,7.13
2015-06-11,3,7.02
2015-06-11,4,6.7
2015-06-11,5,6.1
2015-06-11,6,5.87
2015-06-11,7,5.76
2015-06-11,8,5.68
2015-06-11,9,5.65
2015-06-11,10,5.69
2015-06-11,11,5.85
2015-06-18,0.1,6.9
2015-06-18,1,6.85
2015-06-18,2,6.53
2015-06-18,3,6.44
2015-06-18,4,6.33
2015-06-18,5,6.14
2015-06-18,6,6.08
2015-06-18,7,5.97
2015-06-18,8,5.86
2015-06-18,9,5.87
2015-06-18,10,6.08
2015-06-18,11,6.19
2015-06-18,0.1,6.9
