DateTime,Depth,Secchi_m,extc_coef
2015-07-09 08:00:00,1,2.9,1.705882353
2015-07-16 08:00:00,1,2.8,1.647058824
2015-07-23 08:00:00,1,2.7,1.588235294
2015-07-30 08:00:00,1,2.6,1.529411765
2015-08-13 08:00:00,1,2.5,1.470588235
2015-08-20 08:00:00,1,2.5,1.470588235
2015-10-23 08:00:00,1,3,1.764705882
2016-03-23 08:00:00,1,1.74,1.023529412
2016-04-05 08:00:00,1,2.21,1.3
2016-04-06 08:00:00,1,2.21,1.3
2016-04-20 08:00:00,1,2.49,1.464705882
2016-04-23 08:00:00,1,1.74,1.023529412
2016-05-04 08:00:00,1,3.08,1.811764706
2016-05-12 08:00:00,1,4.04,2.376470588
2016-05-19 08:00:00,1,3.25,1.911764706
2016-05-26 08:00:00,1,3.45,2.029411765
2016-05-29 08:00:00,1,2.76,1.623529412
2016-05-31 08:00:00,1,3.02,1.776470588
2016-06-02 08:00:00,1,4.2,2.470588235
2016-06-08 08:00:00,1,3.9,2.294117647
2016-06-16 08:00:00,1,3.3,1.941176471
2016-06-23 08:00:00,1,3.9,2.294117647
2016-06-26 08:00:00,1,2.79,1.641176471
2016-06-28 08:00:00,1,3.5,2.058823529
2016-06-30 08:00:00,1,3.06,1.8
2016-07-07 08:00:00,1,3.08,1.811764706
2016-07-14 08:00:00,1,3.1,1.823529412
2016-07-21 08:00:00,1,2.7,1.588235294
2016-07-24 08:00:00,1,2.3,1.352941176
2016-07-28 08:00:00,1,2.47,1.452941176
2016-08-04 08:00:00,1,1.79,1.052941176
2016-08-11 08:00:00,1,1.9,1.117647059
2016-08-18 08:00:00,1,2.65,1.558823529
2016-08-23 08:00:00,1,2.87,1.688235294
2016-09-06 08:00:00,1,2.13,1.252941176
2016-09-27 08:00:00,1,2.21,1.3
2016-10-11 08:00:00,1,2.3,1.352941176
2016-10-25 08:00:00,1,2.24,1.317647059
2016-11-11 07:00:00,1,1.35,0.794117647
2017-03-17 08:00:00,1,2.51,1.476470588
2017-04-10 06:03:00,1,3.29,1.935294118
2017-05-05 08:17:00,1,3.15,1.852941176
2017-05-10 06:07:00,1,2.5,1.470588235
2017-05-18 06:50:00,1,3.45,2.029411765
2017-05-25 08:39:00,1,2.14,1.258823529
2017-05-30 07:25:00,1,2.05,1.205882353
2017-06-01 06:02:00,1,2.19,1.288235294
2017-06-08 07:55:00,1,2.18,1.282352941
2017-06-15 06:50:00,1,1.83,1.076470588
2017-06-22 06:40:00,1,1,0.588235294
2017-06-29 07:10:00,1,0.92,0.541176471
2017-07-07 08:00:00,1,0.87,0.511764706
2017-07-13 06:35:00,1,1.26,0.741176471
2017-07-20 08:00:00,1,1.09,0.641176471
2017-07-27 07:05:00,1,0.9,0.529411765
2017-08-03 06:50:00,1,0.96,0.564705882
2017-08-10 06:10:00,1,1.1,0.647058824
