"Reservoir","Site","DateTime","StartDepth_m","EndDepth_m","Rep","CollectionMethod","Taxon","Density_IndPerL","MeanLength_mm","MeanWeight_ug","Biomass_ugL","Flag_MeanLength_mm","Flag_MeanWeight_ug","Flag_Biomass_ugL"
"BVR",50,2014-04-04 12:00:00,8,0.1,1,"Tow","Bosmina",0.06,0.2,0.25,0.01,0,0,0
"BVR",50,2014-04-04 12:00:00,8,0.1,1,"Tow","Chydorus",1.12,0.26,0.57,0.64,0,0,0
"BVR",50,2014-04-04 12:00:00,8,0.1,1,"Tow","Conochilus",0.18,NA,NA,NA,1,1,1
"BVR",50,2014-04-04 12:00:00,8,0.1,1,"Tow","Cyclopoids",0.18,0.56,1.46,0.26,0,0,0
"BVR",50,2014-04-04 12:00:00,8,0.1,1,"Tow","Keratella",2.06,NA,NA,NA,1,1,1
"BVR",50,2014-04-04 12:00:00,8,0.1,1,"Tow","Nauplii",0.88,NA,NA,NA,1,1,1
"BVR",50,2014-04-04 12:00:00,8,0.1,1,"Tow","Polyarthra",0.83,NA,NA,NA,1,1,1
"BVR",50,2014-04-04 12:00:00,8,0.1,1,"Tow","Total rotifers",3.12,NA,NA,NA,1,1,1
"BVR",50,2014-04-04 12:00:00,8,0.1,1,"Tow","Trichocerca",0.06,NA,NA,NA,1,1,1
"BVR",50,2014-04-17 12:00:00,10,0.1,1,"Tow","Bosmina",1.37,0.25,0.49,0.68,0,0,0
"BVR",50,2014-04-17 12:00:00,10,0.1,1,"Tow","Chydorus",2.41,0.24,0.41,0.99,0,0,0
"BVR",50,2014-04-17 12:00:00,10,0.1,1,"Tow","Conochilus",0.09,NA,NA,NA,1,1,1
"BVR",50,2014-04-17 12:00:00,10,0.1,1,"Tow","Cyclopoids",0.75,0.54,1.31,0.99,0,0,0
"BVR",50,2014-04-17 12:00:00,10,0.1,1,"Tow","D. catawba",0.42,0.49,0.93,0.39,0,0,0
"BVR",50,2014-04-17 12:00:00,10,0.1,1,"Tow","Diaptomus",0.85,0.57,0.76,0.65,0,0,0
"BVR",50,2014-04-17 12:00:00,10,0.1,1,"Tow","Keratella",1.93,NA,NA,NA,1,1,1
"BVR",50,2014-04-17 12:00:00,10,0.1,1,"Tow","Nauplii",5,NA,NA,NA,1,1,1
"BVR",50,2014-04-17 12:00:00,10,0.1,1,"Tow","Polyarthra",0.9,NA,NA,NA,1,1,1
"BVR",50,2014-04-17 12:00:00,10,0.1,1,"Tow","Total rotifers",2.92,NA,NA,NA,1,1,1
"BVR",50,2014-04-30 12:00:00,8.5,0.1,1,"Tow","Ascomorpha",1.04,NA,NA,NA,1,1,1
"BVR",50,2014-04-30 12:00:00,8.5,0.1,1,"Tow","Bosmina",2.08,0.26,0.53,1.11,0,0,0
"BVR",50,2014-04-30 12:00:00,8.5,0.1,1,"Tow","Chydorus",1.25,0.31,1.06,1.32,0,0,0
"BVR",50,2014-04-30 12:00:00,8.5,0.1,1,"Tow","Conochilus",4.16,NA,NA,NA,1,1,1
"BVR",50,2014-04-30 12:00:00,8.5,0.1,1,"Tow","Cyclopoids",0.83,0.43,0.77,0.64,0,0,0
"BVR",50,2014-04-30 12:00:00,8.5,0.1,1,"Tow","D. ambigua",0.21,0.48,0.85,0.18,0,0,0
"BVR",50,2014-04-30 12:00:00,8.5,0.1,1,"Tow","D. catawba",0.62,0.68,2.13,1.33,0,0,0
"BVR",50,2014-04-30 12:00:00,8.5,0.1,1,"Tow","Diaptomus",2.08,0.65,1.36,2.83,0,0,0
"BVR",50,2014-04-30 12:00:00,8.5,0.1,1,"Tow","Keratella",1.46,NA,NA,NA,1,1,1
"BVR",50,2014-04-30 12:00:00,8.5,0.1,1,"Tow","Nauplii",8.74,NA,NA,NA,1,1,1
"BVR",50,2014-04-30 12:00:00,8.5,0.1,1,"Tow","Polyarthra",0.42,NA,NA,NA,1,1,1
