Reservoir,Site,DateTime,Depth_m,Temp_C,DO_mgL,DOSat,Cond_uScm,PAR_umolm2s,ORP_mV,pH,Flag_Temp,Flag_DO,Flag_DOSat,Flag_Cond,Flag_PAR,Flag_ORP,Flag_pH,Notes 
FCR,50,2021-02-08 11:15:00,0.1,2.7,13.96,101.4,,,,,0,0,0,0,0,0,0,"No time, taken from SECCHI depth"
FCR,50,2021-02-08 11:15:00,1,2.6,14.09,101.6,,,,,0,0,0,0,0,0,0,"No time, taken from SECCHI depth"
FCR,50,2021-02-08 11:15:00,1.6,2.5,14.14,102.7,,,,,0,0,0,0,0,0,0,"No time, taken from SECCHI depth"
FCR,50,2021-02-08 11:15:00,2,2.5,14.11,101.7,,,,,0,0,0,0,0,0,0,"No time, taken from SECCHI depth"
FCR,50,2021-02-08 11:15:00,3,2.6,13.9,100.8,,,,,0,0,0,0,0,0,0,"No time, taken from SECCHI depth"
FCR,50,2021-02-08 11:15:00,3.8,2.6,13.82,100.3,,,,,0,0,0,0,0,0,0,"No time, taken from SECCHI depth"
FCR,50,2021-02-08 11:15:00,5,2.6,13.69,99.9,,,,,0,0,0,0,0,0,0,"No time, taken from SECCHI depth"
FCR,50,2021-02-08 11:15:00,6.2,2.6,13.76,100.3,,,,,0,0,0,0,0,0,0,"No time, taken from SECCHI depth"
FCR,50,2021-02-08 11:15:00,7,2.6,13.8,99.9,,,,,0,0,0,0,0,0,0,"No time, taken from SECCHI depth"
FCR,50,2021-02-08 11:15:00,8,2.6,13.7,99.1,,,,,0,0,0,0,0,0,0,"No time, taken from SECCHI depth"
FCR,50,2021-02-08 11:15:00,9,2.7,13.53,98.1,,,,,0,0,0,0,0,0,0,"No time, taken from SECCHI depth"
FCR,50,2021-02-26 12:50:00,0.1,5.3,13.13,102.8,,,,,0,0,0,0,0,0,0,
FCR,50,2021-02-26 12:52:00,1.6,5.2,13.12,101.9,,,,,0,0,0,0,0,0,0,
FCR,50,2021-02-26 12:54:00,2.8,5.1,13.09,101.3,,,,,0,0,0,0,0,0,0,
FCR,50,2021-02-26 12:56:00,3.8,5,13.06,100.8,,,,,0,0,0,0,0,0,0,
FCR,50,2021-02-26 12:58:00,5,4.9,13.01,100.1,,,,,0,0,0,0,0,0,0,
FCR,50,2021-02-26 13:00:00,6.2,4.8,12.96,99.6,,,,,0,0,0,0,0,0,0,
FCR,50,2021-02-26 13:02:00,8,4.7,12.8,98.2,,,,,0,0,0,0,0,0,0,
FCR,50,2021-02-26 13:04:00,9,4.5,12.72,96.6,,,,,0,0,0,0,0,0,0,
FCR,100,2021-02-26 14:21:00,0.1,4.9,12.48,96.4,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:46:00,0.1,6.1,12.87,102.1,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:49:00,1,5.8,12.98,102.5,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:50:00,2,5.7,12.88,101.3,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:52:00,3,5.6,12.88,101.6,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:53:00,4,5.6,12.83,101.1,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:53:00,5,5.6,12.83,101.3,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:55:00,6,5.5,12.91,101.4,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:55:00,7,5.5,12.87,101.1,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:56:00,8,5.5,12.82,100.6,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:56:00,9,5.5,12.82,100.4,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:57:00,10,5.5,12.82,100.2,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:57:00,11,5.5,12.79,100.4,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:58:00,12,5.5,11.77,92.8,,,,,0,0,0,0,0,0,0,
BVR,50,2021-03-08 10:59:00,13,5.5,11.09,87.5,,,,,1,0,0,0,0,0,0,
BVR,50,2021-03-08 11:00:00,14,5.5,10.59,82.6,,,,,0,1,0,0,0,0,0,"No temperature recorded, assuming 5.5 "
FCR,100,2021-03-22 13:35:00,0.1,11.1,11.11,100.6,,,,,0,0,0,0,0,0,0,
FCR,200,2021-03-22 13:52:00,0.1,13.5,10.58,100.6,,,,,0,0,0,0,0,0,0,
FCR,100,2021-04-16 15:42:00,0.1,16.2,9.66,98.99,,,,,0,0,0,0,0,0,0,
FCR,50,2021-04-18 10:15:00,0.1,14.7,10.6,104.7,,,,,0,0,0,0,0,0,0,"Time is generalized, taken from calibrated time"
FCR,50,2021-04-18 10:15:00,1,14.4,10.7,104.4,,,,,0,0,0,0,0,0,0,"Time is generalized, taken from calibrated time"
FCR,50,2021-04-18 10:15:00,2,14.2,10.6,103.1,,,,,0,0,0,0,0,0,0,"Time is generalized, taken from calibrated time"
FCR,50,2021-04-18 10:15:00,3,11.4,12.8,117.5,,,,,0,0,0,0,0,0,0,"Time is generalized, taken from calibrated time"
FCR,50,2021-04-18 10:15:00,4,9.7,12.2,106.9,,,,,0,0,0,0,0,0,0,"Time is generalized, taken from calibrated time"
FCR,50,2021-04-18 10:15:00,5,8.5,8.7,73.7,,,,,0,0,0,0,0,0,0,"Time is generalized, taken from calibrated time"
FCR,50,2021-04-18 10:15:00,6,8.1,6.9,58.4,,,,,0,0,0,0,0,0,0,"Time is generalized, taken from calibrated time"
FCR,50,2021-04-18 10:15:00,7,7.8,5.9,49.5,,,,,0,0,0,0,0,0,0,"Time is generalized, taken from calibrated time"
FCR,50,2021-04-18 10:15:00,8,7.6,5.8,48.6,,,,,0,0,0,0,0,0,0,"Time is generalized, taken from calibrated time"
FCR,50,2021-04-18 10:15:00,9,7.5,5,42.1,,,,,0,0,0,0,0,0,0,"Time is generalized, taken from calibrated time"
FCR,45,2021-04-18 10:37:00,0.1,13.8,10.95,106.22,,,,,0,0,0,0,0,0,0,Depth not recorded
FCR,10,2021-04-18 10:53:00,,13.9,11.06,106.7,,,,,0,0,0,0,0,0,0,
FCR,200,2021-04-26 15:33:00,0.1,18.9,9.1,96.5,,,,,0,0,0,0,0,0,0,
BVR,50,2021-05-14 10:30:00,0.1,17.8,9.87,103.2,,,,,0,0,0,0,0,0,0,Time is generalized 
BVR,50,2021-05-14 10:30:00,3,16.8,9.8,100.5,,,,,0,0,0,0,0,0,0,Time is generalized 
BVR,50,2021-05-14 10:30:00,4,16.1,9.91,100.8,,,,,0,0,0,0,0,0,0,Time is generalized 
BVR,50,2021-05-14 10:30:00,5,14.2,9.82,94.8,,,,,0,0,0,0,0,0,0,Time is generalized 
BVR,50,2021-05-14 10:30:00,5.1,13.7,9.54,91.5,,,,,0,0,0,0,0,0,0,Time is generalized 
BVR,50,2021-05-14 10:30:00,5.2,13.5,9.54,91.2,,,,,0,0,0,0,0,0,0,Time is generalized 
