"","time","Q_BVR_m3.d"
"1",2014-01-01,0
"2",2014-01-02,33198.3466384615
"3",2014-01-03,23238.8426469231
"4",2014-01-04,16267.1898528462
"5",2014-01-05,12274.7473984195
"6",2014-01-06,8976.74767889364
"7",2014-01-07,6283.72337522555
"8",2014-01-08,4398.60636265789
"9",2014-01-09,3079.02445386052
"10",2014-01-10,10831.5023899795
"11",2014-01-11,18541.5437840603
"12",2014-01-12,12979.0806488422
"13",2014-01-13,9085.35645418956
"14",2014-01-14,14724.9824317024
"15",2014-01-15,10985.6219803524
"16",2014-01-16,7689.9353862467
"17",2014-01-17,5382.95477037269
"18",2014-01-18,3768.06833926088
"19",2014-01-19,2637.64783748262
"20",2014-01-20,1846.35348623783
"21",2014-01-21,2421.54127039641
"22",2014-01-22,1695.07888927749
"23",2014-01-23,1186.55522249424
"24",2014-01-24,830.58865574597
"25",2014-01-25,581.412059022179
"26",2014-01-26,406.988441315525
"27",2014-01-27,284.891908920868
"28",2014-01-28,1132.39005448192
"29",2014-01-29,792.673038137341
"30",2014-01-30,554.871126696139
"31",2014-01-31,388.409788687297
"32",2014-02-01,271.886852081108
"33",2014-02-02,190.320796456776
"34",2014-02-03,28198.977300572
"35",2014-02-04,20820.4397104004
"36",2014-02-05,14940.8219972803
"37",2014-02-06,10458.5753980962
"38",2014-02-07,7321.00277866734
"39",2014-02-08,5124.70194506714
"40",2014-02-09,3587.291361547
"41",2014-02-10,2511.1039530829
"42",2014-02-11,1757.77276715803
"43",2014-02-12,12133.193870681
"44",2014-02-13,27352.9531888008
"45",2014-02-14,19147.0672321606
"46",2014-02-15,13402.9470625124
"47",2014-02-16,9382.06294375868
"48",2014-02-17,6567.44406063108
"49",2014-02-18,4597.21084244175
"50",2014-02-19,8231.36638205898
"51",2014-02-20,19519.0298620955
"52",2014-02-21,23497.7735368058
"53",2014-02-22,16448.4414757641
"54",2014-02-23,11513.9090330348
"55",2014-02-24,8059.73632312439
"56",2014-02-25,5641.81542618707
"57",2014-02-26,3949.27079833095
"58",2014-02-27,2764.48955883166
"59",2014-02-28,1935.14269118216
"60",2014-03-01,1354.59988382752
"61",2014-03-02,3743.66877524404
"62",2014-03-03,16100.8421702563
"63",2014-03-04,11270.5895191794
"64",2014-03-05,7889.41266342558
"65",2014-03-06,5522.58886439791
"66",2014-03-07,5988.22699889898
"67",2014-03-08,4191.75889922928
"68",2014-03-09,9581.78350033533
"69",2014-03-10,6707.24845023473
"70",2014-03-11,4695.07391516431
"71",2014-03-12,3286.55174061502
"72",2014-03-13,2300.58621843051
"73",2014-03-14,1610.41035290136
"74",2014-03-15,1127.28724703095
"75",2014-03-16,5744.56677725204
"76",2014-03-17,6377.59272797138
"77",2014-03-18,4464.31490957996
"78",2014-03-19,3125.02043670597
"79",2014-03-20,2187.51430569418
"80",2014-03-21,1531.26001398593
"81",2014-03-22,1071.88200979015
"82",2014-03-23,750.317406853104
"83",2014-03-24,525.222184797173
"84",2014-03-25,5095.00426567222
"85",2014-03-26,3566.50298597055
"86",2014-03-27,2496.55209017939
"87",2014-03-28,1747.58646312557
"88",2014-03-29,9119.62209178772
"89",2014-03-30,6383.73546425141
"90",2014-03-31,4468.61482497598
"91",2014-04-01,3128.03037748319
"92",2014-04-02,2189.62126423823
"93",2014-04-03,1532.73488496676
"94",2014-04-04,1072.91441947673
"95",2014-04-05,751.040093633714
"96",2014-04-06,525.7280655436
"97",2014-04-07,17615.342089212
"98",2014-04-08,12330.7394624484
"99",2014-04-09,8631.51762371389
"100",2014-04-10,6042.06233659972
"101",2014-04-11,4229.44363561981
"102",2014-04-12,2960.61054493387
"103",2014-04-13,2072.42738145371
"104",2014-04-14,1450.69916701759
"105",2014-04-15,16163.7592742499
"106",2014-04-16,11314.6314919749
"107",2014-04-17,7920.24204438244
"108",2014-04-18,5544.16943106771
"109",2014-04-19,3880.91860174739
"110",2014-04-20,2716.64302122318
"111",2014-04-21,1901.65011485622
"112",2014-04-22,1331.15508039936
"113",2014-04-23,931.80855627955
"114",2014-04-24,652.265989395685
"115",2014-04-25,2473.18430282646
"116",2014-04-26,1731.22901197852
"117",2014-04-27,1211.86030838496
"118",2014-04-28,7565.57322509227
"119",2014-04-29,22977.8439419954
"120",2014-04-30,16084.4907593968
"121",2014-05-01,11259.1435315777
"122",2014-05-02,7881.40047210442
"123",2014-05-03,5516.98033047309
"124",2014-05-04,3861.88623133117
"125",2014-05-05,2703.32036193182
"126",2014-05-06,1892.32425335227
"127",2014-05-07,1324.62697734659
"128",2014-05-08,927.238884142613
"129",2014-05-09,649.067218899829
"130",2014-05-10,1112.045348891
"131",2014-05-11,778.431744223699
"132",2014-05-12,544.902220956589
"133",2014-05-13,381.431554669612
"134",2014-05-14,267.002088268729
"135",2014-05-15,29850.9530968797
