"","time","Q_BVR_m3pd"
"1",2015-07-07,0
"2",2015-07-08,0
"3",2015-07-09,0
"4",2015-07-10,0
"5",2015-07-11,0
"6",2015-07-12,0
"7",2015-07-13,0
"8",2015-07-14,0
"9",2015-07-15,0
"10",2015-07-16,0
"11",2015-07-17,0
"12",2015-07-18,0
"13",2015-07-19,0
"14",2015-07-20,0
"15",2015-07-21,0
"16",2015-07-22,0
"17",2015-07-23,0
"18",2015-07-24,0
"19",2015-07-25,0
"20",2015-07-26,0
"21",2015-07-27,0
"22",2015-07-28,0
"23",2015-07-29,0
"24",2015-07-30,0
"25",2015-07-31,0
"26",2015-08-01,0
"27",2015-08-02,0
"28",2015-08-03,0
"29",2015-08-04,0
"30",2015-08-05,0
"31",2015-08-06,0
"32",2015-08-07,0
"33",2015-08-08,0
"34",2015-08-09,0
"35",2015-08-10,311.246429310625
"36",2015-08-11,217.872500517437
"37",2015-08-12,152.510750362206
"38",2015-08-13,106.757525253544
"39",2015-08-14,74.730267677481
"40",2015-08-15,52.3111873742367
"41",2015-08-16,36.6178311619657
"42",2015-08-17,25.632481813376
"43",2015-08-18,17.9427372693632
"44",2015-08-19,12.5599160885542
"45",2015-08-20,8.79194126198796
"46",2015-08-21,6.15435888339157
"47",2015-08-22,4.3080512183741
"48",2015-08-23,3.01563585286187
"49",2015-08-24,2.11094509700331
"50",2015-08-25,1.47766156790232
"51",2015-08-26,1.03436309753162
"52",2015-08-27,0.724054168272135
"53",2015-08-28,0.506837917790495
"54",2015-08-29,0.354786542453346
"55",2015-08-30,0.248350579717342
"56",2015-08-31,0.17384540580214
"57",2015-09-01,0.121691784061498
"58",2015-09-02,0.0851842488430485
"59",2015-09-03,0.0596289741901339
"60",2015-09-04,0.0417402819330938
"61",2015-09-05,0.0292181973531656
"62",2015-09-06,0.0204527381472159
"63",2015-09-07,0.0143169167030512
"64",2015-09-08,0.0100218416921358
"65",2015-09-09,0.00701528918449507
"66",2015-09-10,0.00491070242914655
"67",2015-09-11,0.00343749170040258
"68",2015-09-12,0.00240624419028181
"69",2015-09-13,0.00168437093319727
"70",2015-09-14,0.00117905965323809
"71",2015-09-15,0.00082534175726666
"72",2015-09-16,0.000577739230086662
"73",2015-09-17,0.000404417461060663
"74",2015-09-18,0.000283092222742464
"75",2015-09-19,0.000198164555919725
"76",2015-09-20,0.000138715189143808
"77",2015-09-21,734.66626693927
"78",2015-09-22,514.266386857489
"79",2015-09-23,359.986470800243
"80",2015-09-24,251.99052956017
"81",2015-09-25,230.089634705391
"82",2015-09-26,631.348671500155
"83",2015-09-27,1035.85474462074
"84",2015-09-28,725.098321234516
"85",2015-09-29,1440.00110329588
"86",2015-09-30,1008.00077230711
"87",2015-10-01,705.600540614979
"88",2015-10-02,858.973720906312
"89",2015-10-03,751.913104059639
"90",2015-10-04,526.339172841747
"91",2015-10-05,368.437420989223
"92",2015-10-06,257.906194692456
"93",2015-10-07,180.534336284719
"94",2015-10-08,126.374035399303
"95",2015-10-09,88.4618247795125
"96",2015-10-10,61.9232773456587
"97",2015-10-11,43.3462941419611
"98",2015-10-12,30.3424058993728
"99",2015-10-13,21.2396841295609
"100",2015-10-14,14.8677788906927
"101",2015-10-15,10.4074452234849
"102",2015-10-16,7.2852116564394
"103",2015-10-17,5.09964815950758
"104",2015-10-18,3.56975371165531
"105",2015-10-19,2.49882759815871
"106",2015-10-20,1.7491793187111
"107",2015-10-21,1.22442552309777
"108",2015-10-22,0.857097866168439
"109",2015-10-23,0.599968506317907
"110",2015-10-24,0.419977954422535
"111",2015-10-25,0.293984568095775
"112",2015-10-26,0.205789197667042
"113",2015-10-27,479.314722343808
"114",2015-10-28,669.702891804287
"115",2015-10-29,468.792024263001
"116",2015-10-30,328.154416984101
"117",2015-10-31,229.70809188887
"118",2015-11-01,160.795664322209
"119",2015-11-02,112.556965025546
"120",2015-11-03,78.7898755178825
"121",2015-11-04,55.1529128625178
"122",2015-11-05,38.6070390037624
"123",2015-11-06,27.0249273026337
"124",2015-11-07,18.9174491118436
"125",2015-11-08,13.2422143782905
"126",2015-11-09,452.567589997274
"127",2015-11-10,316.797312998092
"128",2015-11-11,221.758119098664
"129",2015-11-12,155.230683369065
"130",2015-11-13,108.661478358346
"131",2015-11-14,76.0630348508419
"132",2015-11-15,53.2441243955893
"133",2015-11-16,37.2708870769125
"134",2015-11-17,26.0896209538388
"135",2015-11-18,18.2627346676871
"136",2015-11-19,333.009294489018
"137",2015-11-20,233.106506142313
"138",2015-11-21,163.174554299619
"139",2015-11-22,114.222188009733
"140",2015-11-23,79.9555316068133
"141",2015-11-24,55.9688721247693
"142",2015-11-25,39.1782104873385
"143",2015-11-26,27.424747341137
"144",2015-11-27,19.1973231387959
"145",2015-11-28,13.4381261971571
"146",2015-11-29,9.40668833800998
"147",2015-11-30,186.281200458803
"148",2015-12-01,541.176452247787
"149",2015-12-02,483.846938054537
"150",2015-12-03,338.692856638176
"151",2015-12-04,237.084999646723
"152",2015-12-05,165.959499752706
"153",2015-12-06,116.171649826894
"154",2015-12-07,81.3201548788261
"155",2015-12-08,56.9241084151783
"156",2015-12-09,39.8468758906248
"157",2015-12-10,27.8928131234374
"158",2015-12-11,19.5249691864061
"159",2015-12-12,13.6674784304843
"160",2015-12-13,9.56723490133901
"161",2015-12-14,6.69706443093731
"162",2015-12-15,4.68794510165612
"163",2015-12-16,3.28156157115928
"164",2015-12-17,263.093922338121
"165",2015-12-18,184.165745636685
"166",2015-12-19,128.916021945679
"167",2015-12-20,90.2412153619756
"168",2015-12-21,63.1688507533829
"169",2015-12-22,44.2181955273681
"170",2015-12-23,270.865787703779
"171",2015-12-24,270.306401553739
"172",2015-12-25,189.214481087617
"173",2015-12-26,132.450136761332
"174",2015-12-27,92.7150957329326
"175",2015-12-28,64.9005670130528
"176",2015-12-29,45.430396909137
"177",2015-12-30,31.8012778363959
"178",2015-12-31,22.2608944854771
"179",2016-01-01,15.582626139834
"180",2016-01-02,10.9078382978838
"181",2016-01-03,7.63548680851865
"182",2016-01-04,5.34484076596306
"183",2016-01-05,3.74138853617414
"184",2016-01-06,2.6189719753219
"185",2016-01-07,1.83328038272533
"186",2016-01-08,1.28329626790773
"187",2016-01-09,188.732421370345
"188",2016-01-10,132.112694959241
"189",2016-01-11,92.4788864714688
"190",2016-01-12,64.7352205300282
"191",2016-01-13,45.3146543710197
"192",2016-01-14,31.7202580597138
"193",2016-01-15,139.523384260694
"194",2016-01-16,97.666368982486
"195",2016-01-17,68.3664582877402
"196",2016-01-18,47.8565208014181
"197",2016-01-19,33.4995645609927
"198",2016-01-20,23.4496951926949
"199",2016-01-21,16.4147866348864
"200",2016-01-22,11.4903506444205
"201",2016-01-23,8.04324545109434
"202",2016-01-24,5.63027181576604
"203",2016-01-25,3.94119027103623
"204",2016-01-26,2.75883318972536
"205",2016-01-27,1.93118323280775
"206",2016-01-28,1.35182826296543
"207",2016-01-29,0.946279784075799
"208",2016-01-30,0.662395848853059
"209",2016-01-31,0.463677094197141
"210",2016-02-01,0.324573965937999
"211",2016-02-02,0.227201776156599
"212",2016-02-03,337.572701980421
"213",2016-02-04,236.300891386294
"214",2016-02-05,165.410623970406
"215",2016-02-06,115.787436779284
"216",2016-02-07,81.051205745499
"217",2016-02-08,56.7358440218493
"218",2016-02-09,39.7150908152945
"219",2016-02-10,27.8005635707061
"220",2016-02-11,19.4603944994943
"221",2016-02-12,13.622276149646
"222",2016-02-13,9.53559330475221
"223",2016-02-14,6.67491531332655
"224",2016-02-15,4.67244071932858
"225",2016-02-16,78.9990530883821
"226",2016-02-17,55.2993371618675
"227",2016-02-18,38.7095360133072
"228",2016-02-19,27.0966752093151
"229",2016-02-20,18.9676726465205
"230",2016-02-21,13.2773708525644
"231",2016-02-22,9.29415959679507
"232",2016-02-23,145.739580452623
"233",2016-02-24,102.017706316836
"234",2016-02-25,71.4123944217853
"235",2016-02-26,49.9886760952497
"236",2016-02-27,34.9920732666748
"237",2016-02-28,24.4944512866724
"238",2016-02-29,17.1461159006707
"239",2016-03-01,12.0022811304695
"240",2016-03-02,8.40159679132862
"241",2016-03-03,5.88111775393003
"242",2016-03-04,4.11678242775102
"243",2016-03-05,2.88174769942572
"244",2016-03-06,2.017223389598
"245",2016-03-07,1.4120563727186
"246",2016-03-08,0.988439460903021
"247",2016-03-09,0.691907622632114
"248",2016-03-10,0.48433533584248
"249",2016-03-11,0.339034735089736
"250",2016-03-12,0.237324314562815
"251",2016-03-13,0.166127020193971
"252",2016-03-14,306.910358253361
"253",2016-03-15,214.837250777353
"254",2016-03-16,150.386075544147
"255",2016-03-17,105.270252880903
"256",2016-03-18,73.689177016632
"257",2016-03-19,51.5824239116424
"258",2016-03-20,36.1076967381497
"259",2016-03-21,25.2753877167048
"260",2016-03-22,17.6927714016933
"261",2016-03-23,12.3849399811853
"262",2016-03-24,8.66945798682973
"263",2016-03-25,6.06862059078081
"264",2016-03-26,4.24803441354657
"265",2016-03-27,2.9736240894826
"266",2016-03-28,2.08153686263782
"267",2016-03-29,1.45707580384647
"268",2016-03-30,1.01995306269253
"269",2016-03-31,0.713967143884772
"270",2016-04-01,0.49977700071934
"271",2016-04-02,0.349843900503538
"272",2016-04-03,0.244890730352477
"273",2016-04-04,0.171423511246734
"274",2016-04-05,0.119996457872714
"275",2016-04-06,0.0839975205108996
"276",2016-04-07,0.0587982643576297
"277",2016-04-08,0.0411587850503408
"278",2016-04-09,0.0288111495352386
"279",2016-04-10,0.020167804674667
"280",2016-04-11,0.0141174632722669
"281",2016-04-12,0.00988222429058682
"282",2016-04-13,0.00691755700341078
"283",2016-04-14,0.00484228990238754
"284",2016-04-15,0.00338960293167128
"285",2016-04-16,0.0023727220521699
"286",2016-04-17,0.00166090543651893
"287",2016-04-18,0.00116263380556325
"288",2016-04-19,0.000813843663894274
"289",2016-04-20,0.000569690564725992
"290",2016-04-21,0.000398783395308194
"291",2016-04-22,165.645262980107
"292",2016-04-23,115.951684086075
"293",2016-04-24,81.1661788602522
"294",2016-04-25,56.8163252021766
"295",2016-04-26,39.7714276415236
"296",2016-04-27,27.8399993490665
"297",2016-04-28,19.4879995443466
"298",2016-04-29,13.6415996810426
"299",2016-04-30,33.4769187988216
"300",2016-05-01,23.4338431591751
"301",2016-05-02,16.4036902114226
"302",2016-05-03,11.4825831479958
"303",2016-05-04,8.03780820359706
"304",2016-05-05,258.256715732966
"305",2016-05-06,180.779701013076
"306",2016-05-07,126.545790709153
"307",2016-05-08,88.5820534964073
"308",2016-05-09,62.0074374474851
"309",2016-05-10,43.4052062132396
"310",2016-05-11,30.3836443492677
"311",2016-05-12,21.2685510444874
"312",2016-05-13,14.8879857311412
"313",2016-05-14,10.4215900117988
"314",2016-05-15,7.29511300825918
"315",2016-05-16,5.10657910578142
"316",2016-05-17,3.574605374047
"317",2016-05-18,2.5022237618329
"318",2016-05-19,1.75155663328303
"319",2016-05-20,1.22608964329812
"320",2016-05-21,0.858262750308684
"321",2016-05-22,0.600783925216079
"322",2016-05-23,0.420548747651255
"323",2016-05-24,0.294384123355879
"324",2016-05-25,0.206068886349115
"325",2016-05-26,0.14424822044438
"326",2016-05-27,0.100973754311066
"327",2016-05-28,0.0706816280177464
"328",2016-05-29,0.0494771396124225
"329",2016-05-30,0.0346339977286958
"330",2016-05-31,0.024243798410087
"331",2016-06-01,0.0169706588870609
"332",2016-06-02,0.0118794612209426
"333",2016-06-03,0.00831562285465985
"334",2016-06-04,0.0058209359982619
"335",2016-06-05,0.00407465519878333
"336",2016-06-06,0.00285225863914833
"337",2016-06-07,0.00199658104740383
"338",2016-06-08,0.00139760673318268
"339",2016-06-09,0.000978324713227877
"340",2016-06-10,0.000684827299259514
"341",2016-06-11,0.00047937910948166
"342",2016-06-12,0.000335565376637162
"343",2016-06-13,0.000234895763646013
"344",2016-06-14,0.000164427034552209
"345",2016-06-15,0.000115098924186546
"346",2016-06-16,8.05692469305825e-05
"347",2016-06-17,5.63984728514078e-05
"348",2016-06-18,3.94789309959855e-05
"349",2016-06-19,2.76352516971898e-05
"350",2016-06-20,1.93446761880329e-05
"351",2016-06-21,1.3541273331623e-05
"352",2016-06-22,9.47889133213611e-06
"353",2016-06-23,6.63522393249528e-06
"354",2016-06-24,4.64465675274669e-06
"355",2016-06-25,3.25125972692269e-06
"356",2016-06-26,2.27588180884588e-06
"357",2016-06-27,1.59311726619212e-06
"358",2016-06-28,1.11518208633448e-06
"359",2016-06-29,7.80627460434137e-07
"360",2016-06-30,5.46439222303896e-07
"361",2016-07-01,3.82507455612727e-07
"362",2016-07-02,2.67755218928909e-07
"363",2016-07-03,1.87428653250236e-07
"364",2016-07-04,1.31200057275165e-07
"365",2016-07-05,9.18400400926158e-08
"366",2016-07-06,6.4288028064831e-08
"367",2016-07-07,4.50016196453817e-08
"368",2016-07-08,3.15011337517672e-08
"369",2016-07-09,2.2050793626237e-08
"370",2016-07-10,1.54355555383659e-08
"371",2016-07-11,1.08048888768562e-08
"372",2016-07-12,293.881564881498
"373",2016-07-13,205.717095417049
"374",2016-07-14,144.001966791934
"375",2016-07-15,100.801376754354
"376",2016-07-16,70.5609637280477
"377",2016-07-17,49.3926746096334
"378",2016-07-18,34.5748722267434
"379",2016-07-19,24.2024105587204
"380",2016-07-20,16.9416873911042
"381",2016-07-21,11.859181173773
"382",2016-07-22,8.30142682164108
"383",2016-07-23,5.81099877514876
"384",2016-07-24,4.06769914260413
"385",2016-07-25,2.84738939982289
"386",2016-07-26,1.99317257987602
"387",2016-07-27,1.39522080591322
"388",2016-07-28,147.279042654136
"389",2016-07-29,103.095329857895
"390",2016-07-30,72.1667309005267
"391",2016-07-31,121.970790941558
"392",2016-08-01,85.3795536590908
"393",2016-08-02,59.7656875613636
"394",2016-08-03,185.132450563556
"395",2016-08-04,164.28900937296
"396",2016-08-05,193.582890021328
"397",2016-08-06,135.50802301493
"398",2016-08-07,94.8556161104507
"399",2016-08-08,136.214956295608
"400",2016-08-09,170.081149029252
"401",2016-08-10,119.056804320476
"402",2016-08-11,83.3397630243333
"403",2016-08-12,58.3378341170333
"404",2016-08-13,40.8364838819233
"405",2016-08-14,28.5855387173463
"406",2016-08-15,20.0098771021424
"407",2016-08-16,14.0069139714997
"408",2016-08-17,9.80483978004979
"409",2016-08-18,6.86338784603486
"410",2016-08-19,4.8043714922244
"411",2016-08-20,3.36306004455708
"412",2016-08-21,2.35414203118996
"413",2016-08-22,1.64789942183297
"414",2016-08-23,1.15352959528308
"415",2016-08-24,0.807470716698155
"416",2016-08-25,0.565229501688708
"417",2016-08-26,0.395660651182096
"418",2016-08-27,0.276962455827467
"419",2016-08-28,0.193873719079227
"420",2016-08-29,0.135711603355459
"421",2016-08-30,0.0949981223488212
"422",2016-08-31,0.0664986856441749
"423",2016-09-01,162.3988202154
"424",2016-09-02,113.67917415078
"425",2016-09-03,79.5754219055461
"426",2016-09-04,55.7027953338823
"427",2016-09-05,38.9919567337176
"428",2016-09-06,27.2943697136023
"429",2016-09-07,19.1060587995216
"430",2016-09-08,13.3742411596651
"431",2016-09-09,9.3619688117656
"432",2016-09-10,6.55337816823592
"433",2016-09-11,4.58736471776514
"434",2016-09-12,3.2111553024356
"435",2016-09-13,2.24780871170492
"436",2016-09-14,1.57346609819344
"437",2016-09-15,1.10142626873541
"438",2016-09-16,0.770998388114788
"439",2016-09-17,0.539698871680351
"440",2016-09-18,0.377789210176246
"441",2016-09-19,1221.56932802847
"442",2016-09-20,855.098529619928
"443",2016-09-21,598.56897073395
"444",2016-09-22,418.998279513765
"445",2016-09-23,293.298795659635
"446",2016-09-24,205.309156961745
"447",2016-09-25,143.716409873221
"448",2016-09-26,262.417685600249
"449",2016-09-27,183.692379920174
"450",2016-09-28,722.193321895338
"451",2016-09-29,1231.41620168422
"452",2016-09-30,1239.02829601293
"453",2016-10-01,867.31980720905
"454",2016-10-02,607.123865046335
"455",2016-10-03,424.986705532435
"456",2016-10-04,297.490693872704
"457",2016-10-05,208.243485710893
"458",2016-10-06,145.770439997625
"459",2016-10-07,1271.91601470504
"460",2016-10-08,1060.99830234261
"461",2016-10-09,742.69881163983
"462",2016-10-10,519.889168147881
"463",2016-10-11,363.922417703517
"464",2016-10-12,254.745692392462
"465",2016-10-13,178.321984674723
"466",2016-10-14,124.825389272306
"467",2016-10-15,87.3777724906143
"468",2016-10-16,61.16444074343
"469",2016-10-17,42.815108520401
"470",2016-10-18,29.9705759642807
"471",2016-10-19,20.9794031749965
"472",2016-10-20,14.6855822224976
"473",2016-10-21,10.2799075557483
"474",2016-10-22,7.1959352890238
"475",2016-10-23,5.03715470231666
"476",2016-10-24,3.52600829162166
"477",2016-10-25,90.2509994827891
"478",2016-10-26,63.1756996379524
"479",2016-10-27,44.2229897465667
"480",2016-10-28,42.3817646826133
"481",2016-10-29,52.2427023654443
"482",2016-10-30,36.569891655811
"483",2016-10-31,25.5989241590677
"484",2016-11-01,17.9192469113474
"485",2016-11-02,12.5434728379432
"486",2016-11-03,8.78043098656023
"487",2016-11-04,6.14630169059216
"488",2016-11-05,4.30241118341451
"489",2016-11-06,3.01168782839016
"490",2016-11-07,2.10818147987311
"491",2016-11-08,10.3914102299848
"492",2016-11-09,7.27398716098934
"493",2016-11-10,5.09179101269254
"494",2016-11-11,222.622301336756
"495",2016-11-12,177.338544229334
"496",2016-11-13,124.136980960534
"497",2016-11-14,86.8958866723738
"498",2016-11-15,60.8271206706617
"499",2016-11-16,42.5789844694632
"500",2016-11-17,29.8052891286242
"501",2016-11-18,20.863702390037
"502",2016-11-19,14.6045916730259
"503",2016-11-20,10.2232141711181
"504",2016-11-21,7.15624991978268
"505",2016-11-22,5.00937494384787
"506",2016-11-23,3.50656246069351
"507",2016-11-24,2.45459372248546
"508",2016-11-25,1.71821560573982
"509",2016-11-26,1.20275092401787
"510",2016-11-27,0.841925646812512
"511",2016-11-28,0.589347952768759
"512",2016-11-29,13.2070181299569
"513",2016-11-30,189.455802728694
"514",2016-12-01,132.619061910086
"515",2016-12-02,92.8333433370599
"516",2016-12-03,64.9833403359419
"517",2016-12-04,71.0732436403741
"518",2016-12-05,49.7512705482619
"519",2016-12-06,34.8258893837833
"520",2016-12-07,24.3781225686483
"521",2016-12-08,17.0646857980538
"522",2016-12-09,11.9452800586377
"523",2016-12-10,8.36169604104638
"524",2016-12-11,5.85318722873246
"525",2016-12-12,4.09723106011272
"526",2016-12-13,32.8519938090823
"527",2016-12-14,104.833279208722
"528",2016-12-15,73.3832954461054
"529",2016-12-16,86.4179536947697
"530",2016-12-17,60.4925675863388
"531",2016-12-18,42.3447973104371
"532",2016-12-19,29.641358117306
"533",2016-12-20,20.7489506821142
