"","time","Q_BVR_m3pd"
"1",2015-07-07,0
"2",2015-07-08,0
"3",2015-07-09,0
"4",2015-07-10,0
"5",2015-07-11,0
"6",2015-07-12,0
"7",2015-07-13,8379.17758158336
"8",2015-07-14,5865.42430710835
"9",2015-07-15,4105.79701497584
"10",2015-07-16,2874.05791048309
"11",2015-07-17,2011.84053733816
"12",2015-07-18,1408.28837613671
"13",2015-07-19,985.8018632957
"14",2015-07-20,690.06130430699
"15",2015-07-21,483.042913014893
"16",2015-07-22,338.130039110425
"17",2015-07-23,236.691027377298
"18",2015-07-24,165.683719164108
"19",2015-07-25,115.978603414876
"20",2015-07-26,81.1850223904131
"21",2015-07-27,56.8295156732892
"22",2015-07-28,7188.59287080469
"23",2015-07-29,5032.01500956328
"24",2015-07-30,3522.4105066943
"25",2015-07-31,2465.68735468601
"26",2015-08-01,1725.98114828021
"27",2015-08-02,1208.18680379614
"28",2015-08-03,845.730762657301
"29",2015-08-04,592.011533860111
"30",2015-08-05,414.408073702078
"31",2015-08-06,870.453499603372
"32",2015-08-07,609.31744972236
"33",2015-08-08,426.522214805652
"34",2015-08-09,298.565550363957
"35",2015-08-10,18404.3007519906
"36",2015-08-11,12883.0105263934
"37",2015-08-12,9018.10736847539
"38",2015-08-13,6312.67515793277
"39",2015-08-14,4418.87261055294
"40",2015-08-15,3093.21082738706
"41",2015-08-16,2165.24757917094
"42",2015-08-17,1515.67330541966
"43",2015-08-18,2900.4798873618
"44",2015-08-19,2030.33592115326
"45",2015-08-20,1421.23514480728
"46",2015-08-21,994.864601365097
"47",2015-08-22,696.405220955567
"48",2015-08-23,487.483654668897
"49",2015-08-24,341.238558268228
"50",2015-08-25,238.86699078776
"51",2015-08-26,167.206893551432
"52",2015-08-27,117.044825486002
"53",2015-08-28,81.9313778402015
"54",2015-08-29,57.3519644881411
"55",2015-08-30,40.1463751416988
"56",2015-08-31,28.1024625991891
"57",2015-09-01,19.6717238194324
"58",2015-09-02,13.7702066736027
"59",2015-09-03,9.63914467152187
"60",2015-09-04,15816.2469775925
"61",2015-09-05,11071.3728843148
"62",2015-09-06,7749.96101902033
"63",2015-09-07,5424.97271331423
"64",2015-09-08,3797.48089931996
"65",2015-09-09,2658.23662952397
"66",2015-09-10,1860.76564066678
"67",2015-09-11,1302.53594846675
"68",2015-09-12,911.775163926723
"69",2015-09-13,638.242614748706
"70",2015-09-14,446.769830324094
"71",2015-09-15,312.738881226866
"72",2015-09-16,218.917216858806
"73",2015-09-17,153.242051801164
"74",2015-09-18,107.269436260815
"75",2015-09-19,75.0886053825705
"76",2015-09-20,52.5620237677994
"77",2015-09-21,32572.7903516883
"78",2015-09-22,29217.3352461818
"79",2015-09-23,20452.1346723273
"80",2015-09-24,14316.4942706291
"81",2015-09-25,12922.2367334675
"82",2015-09-26,28974.1873796466
"83",2015-09-27,49630.3071657526
"84",2015-09-28,36729.7350160269
"85",2015-09-29,67382.5665112188
"86",2015-09-30,47167.7965578532
"87",2015-10-01,33017.4575904972
"88",2015-10-02,41944.6067044008
"89",2015-10-03,46056.6206930805
"90",2015-10-04,32239.6344851564
"91",2015-10-05,22567.7441396095
"92",2015-10-06,15797.4208977266
"93",2015-10-07,11058.1946284086
"94",2015-10-08,7740.73623988605
"95",2015-10-09,9301.55136390478
"96",2015-10-10,7586.15885527943
"97",2015-10-11,5310.3111986956
"98",2015-10-12,3717.21783908692
"99",2015-10-13,2602.05248736084
"100",2015-10-14,1821.43674115259
"101",2015-10-15,1275.00571880681
"102",2015-10-16,892.504003164769
"103",2015-10-17,624.752802215339
"104",2015-10-18,437.326961550737
"105",2015-10-19,306.128873085516
"106",2015-10-20,214.290211159861
"107",2015-10-21,150.003147811903
"108",2015-10-22,105.002203468332
"109",2015-10-23,73.5015424278324
"110",2015-10-24,51.4510796994827
"111",2015-10-25,36.0157557896379
"112",2015-10-26,25.2110290527465
"113",2015-10-27,21491.4916069956
"114",2015-10-28,39208.6481248969
"115",2015-10-29,27446.0536874278
"116",2015-10-30,19212.2375811995
"117",2015-10-31,13448.5663068396
"118",2015-11-01,9413.99641478775
"119",2015-11-02,6880.72470137078
"120",2015-11-03,4816.50729095954
"121",2015-11-04,3371.55510367168
"122",2015-11-05,2360.08857257018
"123",2015-11-06,1652.06200079912
"124",2015-11-07,2621.10298633447
"125",2015-11-08,1834.77209043413
"126",2015-11-09,23365.4545854947
"127",2015-11-10,18929.9982098463
"128",2015-11-11,13250.9987468924
"129",2015-11-12,9275.69912282468
"130",2015-11-13,6492.98938597728
"131",2015-11-14,4545.09257018409
"132",2015-11-15,3181.56479912887
"133",2015-11-16,2227.09535939021
"134",2015-11-17,1558.96675157314
"135",2015-11-18,1543.8811570912
"136",2015-11-19,23828.2296424562
"137",2015-11-20,16679.7607497194
"138",2015-11-21,11675.8325248036
"139",2015-11-22,8173.08276736249
"140",2015-11-23,5721.15793715374
"141",2015-11-24,4004.81055600762
"142",2015-11-25,2803.36738920534
"143",2015-11-26,1962.35717244373
"144",2015-11-27,1373.65002071061
"145",2015-11-28,961.55501449743
"146",2015-11-29,885.81377739814
"147",2015-11-30,11048.9610438125
"148",2015-12-01,27035.1747306688
"149",2015-12-02,26777.9143114681
"150",2015-12-03,18744.5400180277
"151",2015-12-04,13121.1780126194
"152",2015-12-05,9184.82460883357
"153",2015-12-06,6429.3772261835
"154",2015-12-07,5063.59449116358
"155",2015-12-08,3544.51614381451
"156",2015-12-09,2481.16130067016
"157",2015-12-10,1736.81291046911
"158",2015-12-11,1215.76903732838
"159",2015-12-12,851.038326129864
"160",2015-12-13,595.726828290905
"161",2015-12-14,2683.11917943558
"162",2015-12-15,1878.1834256049
"163",2015-12-16,1314.72839792343
"164",2015-12-17,14276.7749303021
"165",2015-12-18,9993.74245121145
"166",2015-12-19,6995.61971584802
"167",2015-12-20,4896.93380109361
"168",2015-12-21,3427.85366076553
"169",2015-12-22,5737.73796809812
"170",2015-12-23,14898.7965776687
"171",2015-12-24,17092.0616043681
"172",2015-12-25,13085.3691230577
"173",2015-12-26,9240.11638614036
"174",2015-12-27,6468.08147029825
"175",2015-12-28,8130.68012814054
"176",2015-12-29,8053.18408969838
"177",2015-12-30,6666.90086278887
"178",2015-12-31,4666.83060395221
"179",2016-01-01,3266.78142276655
"180",2016-01-02,2286.74699593658
"181",2016-01-03,1600.72289715561
"182",2016-01-04,1120.50602800892
"183",2016-01-05,784.354219606247
"184",2016-01-06,549.047953724373
"185",2016-01-07,384.333567607061
"186",2016-01-08,1400.60675922164
"187",2016-01-09,8203.04513451173
"188",2016-01-10,9243.83359415821
"189",2016-01-11,6470.68351591075
"190",2016-01-12,4529.47846113752
"191",2016-01-13,3170.63492279627
"192",2016-01-14,2219.44444595739
"193",2016-01-15,10251.7978412847
"194",2016-01-16,7176.2584888993
"195",2016-01-17,5121.06254786078
"196",2016-01-18,3584.74378350254
"197",2016-01-19,2509.32064845178
"198",2016-01-20,1756.52445391625
"199",2016-01-21,1229.56711774137
"200",2016-01-22,860.69698241896
"201",2016-01-23,602.487887693272
"202",2016-01-24,3084.14133053479
"203",2016-01-25,3879.41837537572
"204",2016-01-26,2715.592862763
"205",2016-01-27,1900.9150039341
"206",2016-01-28,1330.64050275387
"207",2016-01-29,931.448351927711
"208",2016-01-30,652.013846349397
"209",2016-01-31,456.409692444578
"210",2016-02-01,591.049773806679
"211",2016-02-02,652.631244636032
"212",2016-02-03,19773.0416118012
"213",2016-02-04,13841.1291282609
"214",2016-02-05,9688.79038978261
"215",2016-02-06,6782.15327284783
"216",2016-02-07,4747.50729099348
"217",2016-02-08,3586.6078272329
"218",2016-02-09,2510.62547906303
"219",2016-02-10,1757.43783534412
"220",2016-02-11,1230.20648474089
"221",2016-02-12,861.14453931862
"222",2016-02-13,602.801177523034
"223",2016-02-14,421.960824266124
"224",2016-02-15,295.372576986287
"225",2016-02-16,10621.4190736251
"226",2016-02-17,7434.99335153754
"227",2016-02-18,5204.49534607628
"228",2016-02-19,3643.1467422534
"229",2016-02-20,3445.10987692422
"230",2016-02-21,5373.92691384695
"231",2016-02-22,3846.19283969287
"232",2016-02-23,9925.91698778501
"233",2016-02-24,13752.6938914495
"234",2016-02-25,9626.88572401466
"235",2016-02-26,6738.82000681026
"236",2016-02-27,4717.17400476718
"237",2016-02-28,3302.02180333703
"238",2016-02-29,2311.41526233592
"239",2016-03-01,2329.42570157735
"240",2016-03-02,1630.59799110414
"241",2016-03-03,1141.4185937729
"242",2016-03-04,798.99301564103
"243",2016-03-05,559.295110948721
"244",2016-03-06,391.506577664105
"245",2016-03-07,274.054604364873
"246",2016-03-08,191.838223055411
"247",2016-03-09,134.286756138788
"248",2016-03-10,94.0007292971515
"249",2016-03-11,65.8005105080061
"250",2016-03-12,46.0603573556043
"251",2016-03-13,2543.03038497897
"252",2016-03-14,17122.7378813332
"253",2016-03-15,11985.9165169332
"254",2016-03-16,8390.14156185326
"255",2016-03-17,5873.09909329728
"256",2016-03-18,4111.1693653081
"257",2016-03-19,7540.70820878302
"258",2016-03-20,5278.49574614811
"259",2016-03-21,3694.94702230368
"260",2016-03-22,2586.46291561258
"261",2016-03-23,1810.5240409288
"262",2016-03-24,1267.36682865016
"263",2016-03-25,887.156780055113
"264",2016-03-26,621.009746038579
"265",2016-03-27,1917.29225858979
"266",2016-03-28,2261.0341820948
"267",2016-03-29,1582.72392746636
"268",2016-03-30,1107.90674922645
"269",2016-03-31,775.534724458517
"270",2016-04-01,5439.23616289421
"271",2016-04-02,3807.46531402595
"272",2016-04-03,2665.22571981817
"273",2016-04-04,1865.65800387272
"274",2016-04-05,1305.9606027109
"275",2016-04-06,914.172421897631
"276",2016-04-07,1696.81143048863
"277",2016-04-08,1187.76800134204
"278",2016-04-09,831.437600939428
"279",2016-04-10,582.0063206576
"280",2016-04-11,407.40442446032
"281",2016-04-12,285.183097122224
"282",2016-04-13,199.628167985557
"283",2016-04-14,139.73971758989
"284",2016-04-15,97.8178023129228
"285",2016-04-16,68.472461619046
"286",2016-04-17,47.9307231333322
"287",2016-04-18,33.5515061933325
"288",2016-04-19,23.4860543353328
"289",2016-04-20,16.4402380347329
"290",2016-04-21,11.5081666243131
"291",2016-04-22,12846.6901999397
"292",2016-04-23,8992.68313995778
"293",2016-04-24,6294.87819797044
"294",2016-04-25,4406.41473857931
"295",2016-04-26,3084.49031700552
"296",2016-04-27,2449.01580966949
"297",2016-04-28,3415.53251306544
"298",2016-04-29,2390.87275914581
"299",2016-04-30,2920.93401578035
"300",2016-05-01,17754.3712451011
"301",2016-05-02,16582.1598715707
"302",2016-05-03,11607.5119100995
"303",2016-05-04,8125.25833706966
"304",2016-05-05,21043.1607120238
"305",2016-05-06,14730.2124984167
"306",2016-05-07,10311.1487488917
"307",2016-05-08,7217.80412422417
"308",2016-05-09,5052.46288695692
"309",2016-05-10,3536.72402086984
"310",2016-05-11,3099.63697855841
"311",2016-05-12,2169.74588499089
"312",2016-05-13,1518.82211949362
"313",2016-05-14,1063.17548364553
"314",2016-05-15,744.222838551874
"315",2016-05-16,520.955986986312
"316",2016-05-17,364.669190890418
"317",2016-05-18,255.268433623293
"318",2016-05-19,178.687903536305
"319",2016-05-20,125.081532475414
"320",2016-05-21,87.5570727327894
"321",2016-05-22,61.2899509129526
"322",2016-05-23,42.9029656390668
"323",2016-05-24,30.0320759473468
"324",2016-05-25,21.0224531631427
"325",2016-05-26,14.7157172141999
"326",2016-05-27,10.3010020499399
"327",2016-05-28,7.21070143495796
"328",2016-05-29,5.04749100447057
"329",2016-05-30,3.5332437031294
"330",2016-05-31,2.47327059219058
"331",2016-06-01,1.73128941453341
"332",2016-06-02,1.21190259017338
"333",2016-06-03,0.848331813121369
"334",2016-06-04,0.593832269184958
"335",2016-06-05,0.415682588429471
"336",2016-06-06,0.29097781190063
"337",2016-06-07,0.203684468330441
"338",2016-06-08,0.142579127831309
"339",2016-06-09,0.099805389481916
"340",2016-06-10,0.0698637726373412
"341",2016-06-11,0.0489046408461388
"342",2016-06-12,0.0342332485922972
"343",2016-06-13,0.023963274014608
"344",2016-06-14,0.0167742918102256
"345",2016-06-15,0.0117420042671579
"346",2016-06-16,0.00821940298701056
"347",2016-06-17,0.00575358209090739
"348",2016-06-18,0.00402750746363517
"349",2016-06-19,0.00281925522454462
"350",2016-06-20,0.00197347865718123
"351",2016-06-21,0.00138143506002686
"352",2016-06-22,0.000967004542018805
"353",2016-06-23,0.000676903179413164
"354",2016-06-24,0.000473832225589215
"355",2016-06-25,0.00033168255791245
"356",2016-06-26,0.000232177790538715
"357",2016-06-27,0.000162524453377101
"358",2016-06-28,0.00011376711736397
"359",2016-06-29,7.96369821547793e-05
"360",2016-06-30,5.57458875083455e-05
"361",2016-07-01,3.90221212558418e-05
"362",2016-07-02,2.73154848790893e-05
"363",2016-07-03,1.91208394153625e-05
"364",2016-07-04,1.33845875907538e-05
"365",2016-07-05,9.36921131352763e-06
"366",2016-07-06,6.55844791946934e-06
"367",2016-07-07,3180.11928401476
"368",2016-07-08,8639.61657914445
"369",2016-07-09,6047.73160540111
"370",2016-07-10,4233.41212378078
"371",2016-07-11,2963.38848664655
"372",2016-07-12,24814.1919993348
"373",2016-07-13,17369.9343995343
"374",2016-07-14,12158.954079674
"375",2016-07-15,8511.26785577182
"376",2016-07-16,5957.88749904027
"377",2016-07-17,4170.52124932819
"378",2016-07-18,2919.36487452973
"379",2016-07-19,2043.55541217081
"380",2016-07-20,1430.48878851957
"381",2016-07-21,1001.3421519637
"382",2016-07-22,700.939506374589
"383",2016-07-23,490.657654462212
"384",2016-07-24,343.460358123549
"385",2016-07-25,3301.15586221119
"386",2016-07-26,6774.06703952085
"387",2016-07-27,7241.38689553001
"388",2016-07-28,20378.0582606007
"389",2016-07-29,14264.6407824205
"390",2016-07-30,11164.0057297191
"391",2016-07-31,18550.7813333051
"392",2016-08-01,12985.5469333136
"393",2016-08-02,9089.8828533195
"394",2016-08-03,12744.9043078836
"395",2016-08-04,12402.7050155185
"396",2016-08-05,15880.0635108629
"397",2016-08-06,11116.0444576041
"398",2016-08-07,7781.23112032285
"399",2016-08-08,9109.30720529898
"400",2016-08-09,6376.51504370928
"401",2016-08-10,6947.45144822435
"402",2016-08-11,4863.21601375704
"403",2016-08-12,3404.25120962993
"404",2016-08-13,2382.97584674095
"405",2016-08-14,1668.08309271867
"406",2016-08-15,7202.07904472039
"407",2016-08-16,5041.45533130427
"408",2016-08-17,3529.01873191299
"409",2016-08-18,2470.31311233909
"410",2016-08-19,1729.21917863736
"411",2016-08-20,1210.45342504616
"412",2016-08-21,847.317397532309
"413",2016-08-22,593.122178272616
"414",2016-08-23,415.185524790831
"415",2016-08-24,290.629867353582
"416",2016-08-25,203.440907147507
"417",2016-08-26,142.408635003255
"418",2016-08-27,99.6860445022786
"419",2016-08-28,69.780231151595
"420",2016-08-29,48.8461618061165
"421",2016-08-30,34.1923132642816
"422",2016-08-31,2622.53494580949
"423",2016-09-01,14279.3594732799
"424",2016-09-02,9995.55163129594
"425",2016-09-03,6996.88614190716
"426",2016-09-04,4897.82029933501
"427",2016-09-05,3428.47420953451
"428",2016-09-06,2399.93194667416
"429",2016-09-07,1679.95236267191
"430",2016-09-08,1175.96665387034
"431",2016-09-09,823.176657709236
"432",2016-09-10,576.223660396465
"433",2016-09-11,403.356562277525
"434",2016-09-12,282.349593594268
"435",2016-09-13,197.644715515987
"436",2016-09-14,138.351300861191
"437",2016-09-15,96.8459106028339
"438",2016-09-16,67.7921374219837
"439",2016-09-17,47.4544961953886
"440",2016-09-18,33.218147336772
"441",2016-09-19,55597.2103362123
"442",2016-09-20,38918.0472353486
"443",2016-09-21,27242.633064744
"444",2016-09-22,19069.8431453208
"445",2016-09-23,13348.8902017246
"446",2016-09-24,9344.22314120721
"447",2016-09-25,6540.95619884505
"448",2016-09-26,12356.3487792359
"449",2016-09-27,14070.4669616047
"450",2016-09-28,34276.7968731233
"451",2016-09-29,65115.2618111863
"452",2016-09-30,65316.0632678304
"453",2016-10-01,45721.2442874813
"454",2016-10-02,32004.8710012369
"455",2016-10-03,22403.4097008658
"456",2016-10-04,15682.3867906061
"457",2016-10-05,10977.6707534243
"458",2016-10-06,7684.36952739698
"459",2016-10-07,49283.1025931803
"460",2016-10-08,53017.2858152262
"461",2016-10-09,37112.1000706583
"462",2016-10-10,25978.4700494608
"463",2016-10-11,18184.9290346226
"464",2016-10-12,12729.4503242358
"465",2016-10-13,8910.61522696506
"466",2016-10-14,6237.43065887555
"467",2016-10-15,4366.20146121288
"468",2016-10-16,3056.34102284902
"469",2016-10-17,2139.43871599431
"470",2016-10-18,1497.60710119602
"471",2016-10-19,1048.32497083721
"472",2016-10-20,733.827479586049
"473",2016-10-21,1290.39634266415
"474",2016-10-22,903.277439864906
"475",2016-10-23,632.294207905434
"476",2016-10-24,442.605945533804
"477",2016-10-25,309.824161873663
"478",2016-10-26,216.876913311564
"479",2016-10-27,151.813839318095
"480",2016-10-28,106.269687522666
"481",2016-10-29,74.3887812658664
"482",2016-10-30,52.0721468861065
"483",2016-10-31,36.4505028202745
"484",2016-11-01,25.5153519741922
"485",2016-11-02,17.8607463819345
"486",2016-11-03,12.5025224673542
"487",2016-11-04,16.24141381277
"488",2016-11-05,11.368989668939
"489",2016-11-06,7.95829276825729
"490",2016-11-07,5.5708049377801
"491",2016-11-08,3.89956345644607
"492",2016-11-09,2.72969441951225
"493",2016-11-10,1.91078609365858
"494",2016-11-11,1.337550265561
"495",2016-11-12,0.936285185892702
"496",2016-11-13,0.655399630124891
"497",2016-11-14,0.458779741087424
"498",2016-11-15,0.321145818761197
"499",2016-11-16,0.224802073132838
"500",2016-11-17,0.157361451192986
"501",2016-11-18,0.110153015835091
"502",2016-11-19,0.0771071110845634
"503",2016-11-20,0.0539749777591944
"504",2016-11-21,0.0377824844314361
"505",2016-11-22,0.0264477391020052
"506",2016-11-23,0.0185134173714037
"507",2016-11-24,0.0129593921599826
"508",2016-11-25,0.0090715745119878
"509",2016-11-26,0.00635010215839146
"510",2016-11-27,0.00444507151087402
"511",2016-11-28,0.00311155005761181
"512",2016-11-29,9515.61496547593
"513",2016-11-30,17270.8130506647
"514",2016-12-01,12089.5691354653
"515",2016-12-02,8462.69839482569
"516",2016-12-03,5923.88887637799
"517",2016-12-04,7458.62013018803
"518",2016-12-05,6252.34049113162
"519",2016-12-06,28851.2338275421
"520",2016-12-07,20195.8636792795
"521",2016-12-08,14137.1045754956
"522",2016-12-09,9895.97320284695
"523",2016-12-10,6927.18124199287
"524",2016-12-11,4849.02686939501
"525",2016-12-12,5205.90216536936
"526",2016-12-13,3644.13151575855
"527",2016-12-14,2550.89206103099
