"time","FLOW","TEMP","SALT","OXY_oxy","NIT_amm","NIT_nit","PHS_frp","OGM_doc","OGM_docr","OGM_poc","OGM_don","OGM_pon","OGM_dop","OGM_pop","PHS_frp_ads","CAR_dic","SIL_rsi"
2014-01-01,0,3.7876,0,384.0923,1.7221,0.3455,0.0565,5.8039,52.2354,5.8039,7.8882,1.5776,0.251,0.5856,0.0565,59.7698,126.3866
2014-01-02,0,4.2305,0,379.6355,1.7457,0.3729,0.0541,31.5675,284.1073,31.5675,7.7892,1.5578,0.2057,0.4799,0.0541,55.2076,126.3866
2014-01-03,0.0158,1.3205,0,410.6094,1.6958,0.4101,0.0497,9.7924,88.1318,9.7924,7.6813,1.5363,0.4542,1.0599,0.0497,84.735,126.3866
2014-01-04,0.0111,1.0666,0,413.5116,1.6697,0.3863,0.0502,33.4673,301.2053,33.4673,7.9716,1.5943,0.1862,0.4346,0.0502,42.4628,126.3866
2014-01-05,0.3592,3.4719,0,387.3236,1.735,0.377,0.0638,23.893,215.037,23.893,7.8737,1.5747,0.591,1.3791,0.0638,65.6478,126.3866
2014-01-06,0.28,3.1818,0,390.3331,1.6621,0.362,0.0563,8.5026,76.5237,8.5026,7.9918,1.5984,-0.0507,-0.1184,0.0563,65.0636,126.3866
2014-01-07,0.2045,0.2532,0,423.0377,1.65,0.3832,0.0472,9.4177,84.759,9.4177,7.8461,1.5692,0.4955,1.1562,0.0472,72.0799,126.3866
2014-01-08,0.1431,0.2804,0,422.7134,1.6441,0.3409,0.0239,12.2103,109.8928,12.2103,8.0293,1.6059,0.1321,0.3082,0.0239,39.3628,126.3866
2014-01-09,0.1002,1.2204,0,411.7493,1.8214,0.3756,0.0635,15.1225,136.1027,15.1225,7.774,1.5548,0.2065,0.4818,0.0635,97.8938,126.3866
2014-01-10,0.0758,2.7441,0,394.9489,1.6342,0.3951,0.0385,20.8227,187.4043,20.8227,7.8668,1.5734,0.3524,0.8222,0.0385,94.545,126.3866
2014-01-11,0.2109,4.6405,0,375.5873,1.6764,0.3659,0.0601,14.1391,127.2522,14.1391,7.8733,1.5747,0.1249,0.2914,0.0601,41.1025,126.3866
2014-01-12,0.2641,4.4777,0,377.1861,1.6668,0.3708,0.0298,17.1933,154.74,17.1933,7.9783,1.5957,0.6155,1.4362,0.0298,55.6644,126.3866
2014-01-13,0.1848,4.4509,0,377.45,1.6976,0.3501,0.0367,37.8432,340.5885,37.8432,7.8868,1.5774,0.3524,0.8222,0.0367,51.8639,126.3866
2014-01-14,0.1412,5.3429,0,368.8206,1.7221,0.319,0.046,8.3236,74.9123,8.3236,7.9033,1.5807,0.5408,1.262,0.046,42.0951,126.3866
2014-01-15,0.1047,4.3178,0,378.7674,1.6884,0.3799,0.0555,19.7115,177.4032,19.7115,7.8182,1.5636,0.2232,0.5207,0.0555,70.8771,126.3866
2014-01-16,0.0733,2.8152,0,394.1924,1.6247,0.3815,0.0484,17.1596,154.4365,17.1596,8.0971,1.6194,0.6346,1.4807,0.0484,53.2894,126.3866
2014-01-17,0.0513,3.0428,0,391.7886,1.7933,0.3488,0.0498,24.5776,221.1986,24.5776,7.8681,1.5736,0.4024,0.9389,0.0498,105.9016,126.3866
