"time","FLOW","TEMP","SALT","OXY_oxy","NIT_amm","NIT_nit","PHS_frp","OGM_doc","OGM_docr","OGM_poc","OGM_don","OGM_donr","OGM_pon","OGM_dop","OGM_dopr","OGM_pop","CAR_dic","CAR_ch4","SIL_rsi"
2014-01-01,0,3.7876,0,384.0923,1.6332,0.3574,0.0507,14.6783,132.105,14.6783,0.796,7.1641,1.592,-0.0143,-0.1286,-0.3333,64.0128,0.7118,126.3866
2014-01-02,33198.3466,4.2305,0,379.6355,1.7073,0.3495,0.0547,31.6327,284.694,31.6327,0.7914,7.1224,1.5828,0.0235,0.2116,0.5486,61.8176,0.7118,126.3866
2014-01-03,23238.8426,1.3205,0,410.6094,1.7458,0.3615,0.0373,30.2935,272.6417,30.2935,0.7887,7.098,1.5773,0.0406,0.3656,0.9478,100.9635,0.7118,126.3866
2014-01-04,16267.1899,1.0666,0,413.5116,1.6691,0.3314,0.0559,8.8788,79.909,8.8788,0.808,7.272,1.616,0.0631,0.5682,1.4732,86.3518,0.7118,126.3866
2014-01-05,12274.7474,3.4719,0,387.3236,1.7354,0.3447,0.038,19.5693,176.1238,19.5693,0.787,7.0831,1.574,-0.0248,-0.2232,-0.5786,62.7457,0.7118,126.3866
2014-01-06,8976.7477,3.1818,0,390.3331,1.7009,0.3424,0.0556,15.0237,135.2136,15.0237,0.7888,7.0991,1.5776,0.0012,0.0111,0.0289,75.6136,0.7118,126.3866
2014-01-07,6283.7234,0.2532,0,423.0377,1.7197,0.3702,0.0274,23.5814,212.2322,23.5814,0.7815,7.0332,1.5629,0.0528,0.4751,1.2317,117.1093,0.7118,126.3866
2014-01-08,4398.6064,0.2804,0,422.7134,1.6432,0.3528,0.0594,13.4776,121.298,13.4776,0.7971,7.1742,1.5943,0.0275,0.2471,0.6406,53.5981,0.7118,126.3866
2014-01-09,3079.0245,1.2204,0,411.7493,1.6635,0.3733,0.0291,15.9173,143.2559,15.9173,0.7915,7.1232,1.5829,-0.0054,-0.0488,-0.1266,68.5787,0.7118,126.3866
2014-01-10,10831.5024,2.7441,0,394.9489,1.7162,0.3464,0.0492,24.1592,217.4324,24.1592,0.7908,7.1169,1.5815,0.0218,0.1964,0.5091,83.1574,0.7118,126.3866
2014-01-11,18541.5438,4.6405,0,375.5873,1.685,0.3698,0.0473,21.4129,192.7158,21.4129,0.7931,7.1376,1.5861,-0.0042,-0.0379,-0.0982,53.1094,0.7118,126.3866
2014-01-12,12979.0806,4.4777,0,377.1861,1.6513,0.3351,0.0561,8.8185,79.3661,8.8185,0.8021,7.2189,1.6042,0.0071,0.0639,0.1656,80.636,0.7118,126.3866
2014-01-13,9085.3565,4.4509,0,377.45,1.6373,0.3292,0.0417,16.4763,148.2864,16.4763,0.8014,7.2125,1.6028,-0.0198,-0.1784,-0.4625,50.6218,0.7118,126.3866
2014-01-14,14724.9824,5.3429,0,368.8206,1.6645,0.3578,0.052,18.9489,170.5404,18.9489,0.7918,7.1259,1.5835,0.0347,0.3123,0.8096,71.8995,0.7118,126.3866
2014-01-15,10985.622,4.3178,0,378.7674,1.643,0.3389,0.0537,7.2087,64.8785,7.2087,0.8027,7.2245,1.6055,0.0466,0.4192,1.0868,88.3709,0.7118,126.3866
2014-01-16,7689.9354,2.8152,0,394.1924,1.6731,0.3545,0.058,18.8185,169.3664,18.8185,0.8065,7.2581,1.6129,-0.0257,-0.2311,-0.5991,54.9512,0.7118,126.3866
2014-01-17,5382.9548,3.0428,0,391.7886,1.6865,0.358,0.0531,-0.9417,-8.4752,-0.9417,0.7936,7.1425,1.5872,0.0617,0.5549,1.4386,74.2667,0.7118,126.3866
2014-01-18,3768.0683,1.7304,0,405.9956,1.742,0.3717,0.0422,8.0462,72.416,8.0462,0.7874,7.0863,1.5747,0.0634,0.5708,1.4798,80.9776,0.7118,126.3866
2014-01-19,2637.6478,2.3806,0,398.8514,1.714,0.3871,0.039,4.1177,37.059,4.1177,0.7939,7.1449,1.5878,0.0701,0.6312,1.6364,59.3515,0.7118,126.3866
2014-01-20,1846.3535,3.2336,0,389.7921,1.7168,0.3581,0.0343,26.6253,239.6276,26.6253,0.7969,7.172,1.5938,0.0111,0.1001,0.2595,71.1582,0.7118,126.3866
2014-01-21,2421.5413,2.8855,0,393.4472,1.6253,0.3533,0.0619,19.4916,175.4243,19.4916,0.7988,7.1888,1.5975,0.0204,0.1834,0.4755,84.7629,0.7118,126.3866
2014-01-22,1695.0789,0.421,0,421.0429,1.7219,0.3287,0.0491,9.6244,86.6196,9.6244,0.7963,7.167,1.5927,0.0219,0.1971,0.511,74.4458,0.7118,126.3866
2014-01-23,1186.5552,0.3916,0,421.3922,1.7555,0.349,0.034,26.195,235.7552,26.195,0.7914,7.1225,1.5828,-0.0032,-0.0289,-0.075,109.1217,0.7118,126.3866
