"time","FLOW","TEMP","SALT","OXY_oxy","NIT_amm","NIT_nit","PHS_frp","OGM_doc","OGM_docr","OGM_poc","OGM_don","OGM_donr","OGM_pon","OGM_dop","OGM_dopr","OGM_pop","CAR_dic","CAR_ch4","SIL_rsi"
2015-07-07,0,22.4046,0,252.4419,1.6757,0.3772,0.0422,17.7249,159.5245,17.7249,0.807,7.2627,1.6139,0.0491,0.4419,1.1457,54.1766,0.7118,126.3866
2015-07-08,0,23.0615,0,249.2833,1.8133,0.3607,0.0339,19.1854,172.6687,19.1854,0.7865,7.0787,1.573,0.0546,0.4913,1.2739,38.8545,0.7118,126.3866
2015-07-09,0,23.2183,0,248.5392,1.7557,0.3689,0.0442,14.7159,132.4431,14.7159,0.7844,7.0597,1.5688,-0.0012,-0.0112,-0.0289,61.564,0.7118,126.3866
2015-07-10,0,23.542,0,247.0162,1.6628,0.3637,0.0515,11.7645,105.8803,11.7645,0.7935,7.1418,1.5871,0.0589,0.53,1.3741,78.8313,0.7118,126.3866
2015-07-11,0,23.2144,0,248.5579,1.7874,0.3737,0.0355,19.9843,179.8587,19.9843,0.7872,7.0852,1.5745,-0.0011,-0.0096,-0.0248,29.2246,0.7118,126.3866
2015-07-12,0,23.1182,0,249.0135,1.7713,0.3505,0.0478,20.2812,182.5312,20.2812,0.7905,7.1143,1.5809,0.0626,0.5635,1.4609,80.7727,0.7118,126.3866
2015-07-13,0.097,22.7506,0,250.7692,1.6971,0.3506,0.039,11.696,105.2642,11.696,0.8026,7.2235,1.6052,0.0508,0.4576,1.1863,92.0517,0.7118,126.3866
2015-07-14,0.0679,23.6211,0,246.6462,1.7203,0.3415,0.0589,18.8432,169.5888,18.8432,0.8,7.2,1.6,0.0472,0.4245,1.1006,51.9697,0.7118,126.3866
2015-07-15,0.0475,23.5171,0,247.1328,1.6503,0.3464,0.0635,21.7528,195.7753,21.7528,0.7958,7.1623,1.5916,0.0248,0.2236,0.5797,56.9357,0.7118,126.3866
2015-07-16,0.0333,23.35,0,247.9176,1.6887,0.3815,0.0341,19.6809,177.1284,19.6809,0.791,7.1189,1.582,0.0214,0.1928,0.4999,55.9371,0.7118,126.3866
