"time","FLOW","TEMP","SALT","OXY_oxy","NIT_amm","NIT_nit","PHS_frp","OGM_doc","OGM_docr","OGM_poc","OGM_don","OGM_donr","OGM_pon","OGM_dop","OGM_dopr","OGM_pop","CAR_dic","CAR_ch4","SIL_rsi"
2015-07-07,0,22.4046,0,252.4419,1.8611,0.417,0.042,14.5687,120.1919,12.1406,0.9608,7.927,1.6014,0.0647,0.5339,1.2585,60.7505,0.7118,126.3866
2015-07-08,0,23.0615,0,249.2833,1.8074,0.3965,0.0542,0,0,0,0.9676,7.9822,1.6126,0.0256,0.2105,0.4961,75.155,0.7118,126.3866
2015-07-09,0,23.2183,0,248.5392,1.9609,0.3736,0.0541,28.5047,235.1635,23.7539,0.9517,7.8517,1.5862,0.0662,0.5466,1.2883,50.0757,0.7118,126.3866
2015-07-10,0,23.542,0,247.0162,1.852,0.3953,0.056,4.4824,36.9799,3.7353,0.9524,7.8572,1.5873,0.0359,0.2958,0.6971,68.7616,0.7118,126.3866
2015-07-11,0,23.2144,0,248.5579,2.0093,0.4458,0.0783,17.3753,143.3462,14.4794,0.9233,7.6168,1.5388,0.0724,0.5968,1.4064,12.3813,0.7118,126.3866
2015-07-12,0,23.1182,0,249.0135,1.9032,0.3832,0.0635,12.3595,101.9657,10.2996,0.9479,7.8198,1.5798,0.0451,0.3718,0.8763,84.6914,0.7118,126.3866
2015-07-13,0.097,22.7506,0,250.7692,1.9052,0.4104,0.0394,21.0788,173.9008,17.5657,0.9493,7.8323,1.5823,0.0232,0.1908,0.4497,57.1974,0.7118,126.3866
2015-07-14,0.0679,23.6211,0,246.6462,1.8493,0.3886,0.0469,2.4314,20.0594,2.0262,0.9625,7.9409,1.6042,0.0554,0.4569,1.0771,44.8332,0.7118,126.3866
2015-07-15,0.0475,23.5171,0,247.1328,1.8696,0.3895,0.0538,22.5965,186.4211,18.8304,0.957,7.8951,1.595,0.0498,0.411,0.9686,69.7869,0.7118,126.3866
2015-07-16,0.0333,23.35,0,247.9176,1.8396,0.3786,0.0739,17.3692,143.296,14.4743,0.9605,7.9235,1.6007,0.035,0.2895,0.6824,84.2211,0.7118,126.3866
2015-07-17,0.0233,23.2582,0,248.3505,1.7946,0.4154,0.0614,19.0394,157.0752,15.8662,0.9538,7.8687,1.5896,0.0298,0.2459,0.5794,53.507,0.7118,126.3866
2015-07-18,0.0163,23.9791,0,244.9852,1.8593,0.41,0.0539,1.7293,14.2671,1.4411,0.944,7.788,1.5733,0.0515,0.4245,1.0005,43.6542,0.7118,126.3866
2015-07-19,0.0114,24.7124,0,241.6422,1.8674,0.3898,0.0517,13.8386,114.1689,11.5322,0.9548,7.8774,1.5914,0.0649,0.5358,1.2628,55.8473,0.7118,126.3866
2015-07-20,0.008,25.0561,0,240.1022,1.8521,0.4023,0.04,11.6916,96.4559,9.743,0.9583,7.9066,1.5973,0.03,0.2479,0.5843,61.6247,0.7118,126.3866
2015-07-21,0.0056,24.6969,0,241.7121,1.8048,0.3957,0.0408,34.1328,281.596,28.444,0.9481,7.8222,1.5802,0.025,0.2058,0.485,9.3697,0.7118,126.3866
2015-07-22,0.0039,23.7322,0,246.1288,1.936,0.4197,0.0614,18.4202,151.9665,15.3502,0.9456,7.8011,1.576,-0.0013,-0.011,-0.026,42.6741,0.7118,126.3866
2015-07-23,0.0027,22.9261,0,249.9282,1.8627,0.3925,0.039,8.2883,68.3783,6.9069,0.9533,7.8649,1.5889,0.0397,0.3279,0.7729,50.0137,0.7118,126.3866
2015-07-24,0.0019,23.1127,0,249.0397,1.8279,0.3915,0.045,29.7308,245.2798,24.7757,0.9566,7.8927,1.5945,0.0264,0.218,0.5139,2.7514,0.7118,126.3866
2015-07-25,0.0013,23.25,0,248.3894,1.7396,0.384,0.0236,17.9028,147.698,14.919,0.9748,8.0416,1.6246,0.02,0.1652,0.3895,43.5927,0.7118,126.3866
2015-07-26,9e-04,23.4593,0,247.4039,1.8456,0.3975,0.0562,27.2645,224.932,22.7204,0.9427,7.7772,1.5711,0.0725,0.5981,1.4096,30.0408,0.7118,126.3866
2015-07-27,7e-04,23.6284,0,246.6122,1.9097,0.374,0.0729,5.3448,44.0946,4.454,0.9468,7.8113,1.578,0.0388,0.3196,0.7532,65.953,0.7118,126.3866
2015-07-28,0.0832,23.9235,0,245.2416,1.808,0.3908,0.0691,19.2316,158.6604,16.0263,0.9708,8.0088,1.6179,0.0408,0.3368,0.7939,85.62,0.7118,126.3866
2015-07-29,0.0582,23.6784,0,246.379,1.8332,0.3605,0.0447,18.1655,149.8654,15.1379,0.975,8.0436,1.625,0.0374,0.3092,0.7287,51.4526,0.7118,126.3866
2015-07-30,0.0408,24.2302,0,243.8313,1.9387,0.3711,0.0487,1.6948,13.9822,1.4123,0.9478,7.8187,1.5795,0.0332,0.2744,0.6469,98.2563,0.7118,126.3866
2015-07-31,0.0285,23.0994,0,249.1031,1.9052,0.3959,0.0517,0,0,0,0.9502,7.8393,1.5837,0.021,0.1729,0.4075,90.1106,0.7118,126.3866
2015-08-01,0.02,22.438,0,252.2794,1.9223,0.3913,0.0668,34.8004,287.1033,29.0003,0.9518,7.8531,1.5865,0.0475,0.3923,0.9245,40.6607,0.7118,126.3866
2015-08-02,0.014,21.7066,0,255.8762,1.8435,0.4265,0.062,20.783,171.4604,17.3192,0.9682,7.9871,1.6136,0.0412,0.3398,0.8008,89.9555,0.7118,126.3866
2015-08-03,0.0098,21.5334,0,256.7408,1.8682,0.3747,0.046,17.2337,142.1775,14.3614,0.9556,7.8834,1.5926,0.03,0.2471,0.5823,53.9558,0.7118,126.3866
2015-08-04,0.0069,22.6306,0,251.347,1.8658,0.436,0.0558,27.9659,230.7181,23.3049,0.9512,7.8474,1.5853,0.0673,0.5549,1.3079,84.4482,0.7118,126.3866
2015-08-05,0.0048,22.9047,0,250.0308,1.9762,0.3995,0.0358,12.0308,99.2544,10.0257,0.9449,7.7956,1.5749,0.0619,0.5113,1.205,53.4373,0.7118,126.3866
2015-08-06,0.0101,22.3745,0,252.5883,1.8041,0.3795,0.0353,13.051,107.6701,10.8758,0.9516,7.851,1.5861,0.028,0.2302,0.5427,62.8085,0.7118,126.3866
2015-08-07,0.0071,21.3371,0,257.7277,1.7805,0.4066,0.054,24.5761,202.7534,20.4801,0.9641,7.9538,1.6068,0.0412,0.3394,0.7998,103.8741,0.7118,126.3866
2015-08-08,0.0049,21.1741,0,258.5521,1.8097,0.3937,0.0368,24.0628,198.5177,20.0523,0.9594,7.9153,1.599,0.0658,0.5425,1.2785,72.9208,0.7118,126.3866
2015-08-09,0.0035,21.4941,0,256.9382,1.957,0.377,0.0683,12.7295,105.0187,10.6079,0.9468,7.8112,1.578,0.0571,0.4715,1.1112,63.1979,0.7118,126.3866
