time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_ch4,SIL_rsi
2015-07-07,0,22.4046,0,252.4419,1.6864,0.3689,0.0292,6.6398,59.7582,6.6398,0.7925,7.1323,1.585,0.0608,0.5468,1.4177,75.5693,0.7118,126.3866
2015-07-08,0,23.0615,0,249.2833,1.7256,0.3455,0.0442,12.0641,108.5766,12.0641,0.8023,7.2205,1.6046,0.0421,0.3791,0.9828,59.8099,0.7118,126.3866
2015-07-09,0,23.2183,0,248.5392,1.7506,0.3681,0.0531,32.7684,294.9155,32.7684,0.7917,7.125,1.5833,0.0526,0.4736,1.2279,47.4664,0.7118,126.3866
2015-07-10,0,23.542,0,247.0162,1.71,0.3696,0.045,8.447,76.0231,8.447,0.7954,7.1588,1.5908,0.0088,0.0789,0.2045,67.82,0.7118,126.3866
2015-07-11,0,23.2144,0,248.5579,1.6537,0.3671,0.0387,11.076,99.6842,11.076,0.7983,7.1845,1.5966,0.0565,0.5081,1.3174,78.1058,0.7118,126.3866
2015-07-12,0,23.1182,0,249.0135,1.6742,0.339,0.0688,19.9726,179.7538,19.9726,0.8008,7.2071,1.6016,0.0357,0.3214,0.8331,69.8703,0.7118,126.3866
2015-07-13,0.097,22.7506,0,250.7692,1.6669,0.396,0.0517,13.7041,123.3371,13.7041,0.7918,7.1258,1.5835,0.0181,0.1627,0.4218,68.2434,0.7118,126.3866
2015-07-14,0.0679,23.6211,0,246.6462,1.7389,0.3476,0.0487,15.6073,140.4656,15.6073,0.7877,7.0892,1.5754,0.0364,0.3274,0.8488,58.3041,0.7118,126.3866
2015-07-15,0.0475,23.5171,0,247.1328,1.8289,0.3612,0.054,20.9212,188.2908,20.9212,0.7796,7.0167,1.5593,0.0306,0.275,0.7129,44.855,0.7118,126.3866
2015-07-16,0.0333,23.35,0,247.9176,1.7033,0.3583,0.0536,15.9684,143.7157,15.9684,0.7967,7.1707,1.5935,0.022,0.1978,0.5128,76.3211,0.7118,126.3866
2015-07-17,0.0233,23.2582,0,248.3505,1.7935,0.3121,0.0328,15.1646,136.4818,15.1646,0.7875,7.0874,1.575,0.0378,0.3398,0.8809,88.5688,0.7118,126.3866
2015-07-18,0.0163,23.9791,0,244.9852,1.7757,0.3113,0.0471,16.6455,149.8094,16.6455,0.7888,7.099,1.5776,0.0032,0.0284,0.0738,77.0868,0.7118,126.3866
2015-07-19,0.0114,24.7124,0,241.6422,1.7532,0.3573,0.0481,11.9412,107.471,11.9412,0.7899,7.109,1.5798,0.0069,0.0622,0.1612,42.4302,0.7118,126.3866
2015-07-20,0.008,25.0561,0,240.1022,1.6633,0.3428,0.0478,9.7764,87.9876,9.7764,0.7933,7.1398,1.5866,0.0395,0.3553,0.9212,49.6898,0.7118,126.3866
2015-07-21,0.0056,24.6969,0,241.7121,1.7231,0.3798,0.0452,22.8434,205.5902,22.8434,0.7852,7.0668,1.5704,0.0204,0.1834,0.4755,67.2524,0.7118,126.3866
2015-07-22,0.0039,23.7322,0,246.1288,1.6479,0.3972,0.0541,15.1383,136.2447,15.1383,0.7906,7.1157,1.5813,-0.0016,-0.0146,-0.0379,64.2202,0.7118,126.3866
2015-07-23,0.0027,22.9261,0,249.9282,1.6946,0.3353,0.0473,8.5186,76.6678,8.5186,0.8007,7.2065,1.6014,0.0212,0.1911,0.4954,78.7593,0.7118,126.3866
2015-07-24,0.0019,23.1127,0,249.0397,1.6261,0.3685,0.0371,17.16,154.44,17.16,0.8126,7.313,1.6251,0.0353,0.3176,0.8233,47.9401,0.7118,126.3866
2015-07-25,0.0013,23.25,0,248.3894,1.7332,0.3746,0.042,22.6492,203.8424,22.6492,0.8005,7.2045,1.601,0.0065,0.0588,0.1523,86.1208,0.7118,126.3866
2015-07-26,9.00E-04,23.4593,0,247.4039,1.6996,0.3738,0.0461,19.7771,177.9935,19.7771,0.7983,7.1848,1.5966,0.0197,0.1776,0.4603,75.829,0.7118,126.3866
2015-07-27,7.00E-04,23.6284,0,246.6122,1.7164,0.3768,0.0646,12.9316,116.384,12.9316,0.7936,7.1426,1.5872,0.0286,0.2576,0.6678,78.9795,0.7118,126.3866
2015-07-28,0.0832,23.9235,0,245.2416,1.7773,0.3594,0.0478,2.1718,19.5458,2.1718,0.7847,7.0621,1.5694,0.0552,0.497,1.2885,56.779,0.7118,126.3866
2015-07-29,0.0582,23.6784,0,246.379,1.7516,0.342,0.0619,21.0392,189.3531,21.0392,0.7927,7.1345,1.5854,0.0268,0.2416,0.6263,59.4493,0.7118,126.3866
2015-07-30,0.0408,24.2302,0,243.8313,1.8106,0.3701,0.0404,9.7787,88.0087,9.7787,0.7945,7.1508,1.5891,0.0415,0.3735,0.9682,73.3865,0.7118,126.3866
2015-07-31,0.0285,23.0994,0,249.1031,1.6402,0.3725,0.0309,9.6597,86.9373,9.6597,0.7902,7.1115,1.5803,0.0512,0.461,1.1951,75.1619,0.7118,126.3866
2015-08-01,0.02,22.438,0,252.2794,1.756,0.3829,0.0324,23.2452,209.2066,23.2452,0.7872,7.0849,1.5744,0.0382,0.344,0.8919,92.0423,0.7118,126.3866
2015-08-02,0.014,21.7066,0,255.8762,1.7777,0.3644,0.0461,12.9788,116.8093,12.9788,0.7879,7.0912,1.5758,0.019,0.1711,0.4435,72.359,0.7118,126.3866
2015-08-03,0.0098,21.5334,0,256.7408,1.6577,0.358,0.044,10.7293,96.5638,10.7293,0.7962,7.166,1.5925,0.0233,0.2101,0.5446,65.978,0.7118,126.3866
2015-08-04,0.0069,22.6306,0,251.347,1.6923,0.3605,0.0419,14.7955,133.1597,14.7955,0.7912,7.1208,1.5824,-0.0013,-0.0113,-0.0293,56.2513,0.7118,126.3866
2015-08-05,0.0048,22.9047,0,250.0308,1.6972,0.3275,0.0614,21.3651,192.2861,21.3651,0.793,7.1371,1.586,0.0135,0.1219,0.3161,54.1847,0.7118,126.3866
2015-08-06,0.0101,22.3745,0,252.5883,1.6853,0.3615,0.0415,10.6462,95.816,10.6462,0.7923,7.131,1.5847,-0.0012,-0.0112,-0.0291,56.3866,0.7118,126.3866
2015-08-07,0.0071,21.3371,0,257.7277,1.821,0.3404,0.0521,25.8647,232.7822,25.8647,0.7867,7.0804,1.5734,0.0345,0.3109,0.8059,74.2553,0.7118,126.3866
