"time","FLOW","TEMP","SALT","OXY_oxy","NIT_amm","NIT_nit","PHS_frp","OGM_doc","OGM_docr","OGM_poc","OGM_don","OGM_donr","OGM_pon","OGM_dop","OGM_dopr","OGM_pop","CAR_dic","CAR_ch4","SIL_rsi"
2015-07-07,0,22.4046,0,252.4419,1.6566,0.3561,0.0498,22.0496,198.4463,22.0496,0.796,7.1643,1.5921,0.0262,0.2358,0.6113,66.6707,0.7118,126.3866
2015-07-08,0,23.0615,0,249.2833,1.7907,0.3386,0.0472,21.6822,195.1398,21.6822,0.7825,7.0427,1.565,0.064,0.5756,1.4923,60.717,0.7118,126.3866
2015-07-09,0,23.2183,0,248.5392,1.709,0.3601,0.0529,7.0523,63.4707,7.0523,0.7849,7.0642,1.5698,0.0435,0.3912,1.0143,59.7896,0.7118,126.3866
2015-07-10,0,23.542,0,247.0162,1.7761,0.3772,0.0491,20.1775,181.5977,20.1775,0.7886,7.0977,1.5773,0.007,0.0634,0.1643,58.018,0.7118,126.3866
2015-07-11,0,23.2144,0,248.5579,1.7596,0.359,0.0545,30.0661,270.5947,30.0661,0.7859,7.0732,1.5718,0.0287,0.2583,0.6697,42.7135,0.7118,126.3866
2015-07-12,0,23.1182,0,249.0135,1.6674,0.382,0.0554,10.4533,94.0796,10.4533,0.7948,7.1535,1.5897,0.0152,0.1367,0.3543,44.663,0.7118,126.3866
2015-07-13,0.097,22.7506,0,250.7692,1.6404,0.3666,0.0433,28.6825,258.1426,28.6825,0.7953,7.1577,1.5906,0.054,0.4858,1.2594,70.1046,0.7118,126.3866
2015-07-14,0.0679,23.6211,0,246.6462,1.6183,0.3447,0.031,16.3688,147.3193,16.3688,0.791,7.1188,1.582,0.0557,0.5011,1.2992,45.6323,0.7118,126.3866
2015-07-15,0.0475,23.5171,0,247.1328,1.6981,0.367,0.0522,18.2991,164.6922,18.2991,0.7923,7.1308,1.5846,0.0406,0.3655,0.9476,33.1752,0.7118,126.3866
2015-07-16,0.0333,23.35,0,247.9176,1.7077,0.362,0.051,11.7895,106.1054,11.7895,0.7955,7.1597,1.591,-0.0015,-0.0138,-0.0357,83.6914,0.7118,126.3866
2015-07-17,0.0233,23.2582,0,248.3505,1.7116,0.3474,0.0353,20.9213,188.292,20.9213,0.7931,7.1376,1.5861,0.0493,0.4441,1.1515,29.5335,0.7118,126.3866
2015-07-18,0.0163,23.9791,0,244.9852,1.6432,0.3376,0.0347,20.7217,186.4953,20.7217,0.7897,7.1069,1.5793,0.0105,0.0947,0.2456,27.497,0.7118,126.3866
2015-07-19,0.0114,24.7124,0,241.6422,1.7595,0.3678,0.0363,21.961,197.6492,21.961,0.7841,7.0567,1.5682,0.0486,0.437,1.1331,49.8793,0.7118,126.3866
2015-07-20,0.008,25.0561,0,240.1022,1.6747,0.3395,0.0328,23.5047,211.5427,23.5047,0.7984,7.186,1.5969,0.0395,0.3554,0.9214,59.9989,0.7118,126.3866
2015-07-21,0.0056,24.6969,0,241.7121,1.6623,0.3635,0.0483,15.3132,137.819,15.3132,0.796,7.1638,1.592,0.0253,0.2277,0.5902,84.3222,0.7118,126.3866
2015-07-22,0.0039,23.7322,0,246.1288,1.7798,0.3777,0.0424,15.8364,142.5278,15.8364,0.7819,7.0367,1.5637,0.0239,0.2147,0.5566,62.0151,0.7118,126.3866
2015-07-23,0.0027,22.9261,0,249.9282,1.8171,0.3734,0.0611,15.6769,141.0924,15.6769,0.7891,7.102,1.5782,0.0375,0.3372,0.8743,67.459,0.7118,126.3866
2015-07-24,0.0019,23.1127,0,249.0397,1.7293,0.3578,0.0618,20.9244,188.3199,20.9244,0.7854,7.0684,1.5708,0.0191,0.1721,0.4461,74.3436,0.7118,126.3866
2015-07-25,0.0013,23.25,0,248.3894,1.6332,0.3431,0.025,21.0585,189.5265,21.0585,0.7978,7.1799,1.5955,-7e-04,-0.0067,-0.0175,80.6848,0.7118,126.3866
2015-07-26,9e-04,23.4593,0,247.4039,1.6535,0.3297,0.035,2.0633,18.5698,2.0633,0.7928,7.1355,1.5857,0.0483,0.4348,1.1273,58.1999,0.7118,126.3866
2015-07-27,7e-04,23.6284,0,246.6122,1.7275,0.3368,0.048,23.5284,211.7552,23.5284,0.7944,7.1495,1.5888,0.0552,0.4964,1.287,64.2303,0.7118,126.3866
2015-07-28,0.0832,23.9235,0,245.2416,1.7445,0.3647,0.0394,34.7513,312.7617,34.7513,0.7957,7.1613,1.5914,0.0206,0.1856,0.4811,90.1443,0.7118,126.3866
2015-07-29,0.0582,23.6784,0,246.379,1.6949,0.3313,0.0452,11.3495,102.1455,11.3495,0.7812,7.031,1.5625,0.0317,0.2852,0.7395,71.5705,0.7118,126.3866
2015-07-30,0.0408,24.2302,0,243.8313,1.7095,0.3599,0.0508,7.66,68.9397,7.66,0.802,7.2183,1.6041,0.0401,0.3607,0.935,60.7972,0.7118,126.3866
2015-07-31,0.0285,23.0994,0,249.1031,1.6578,0.3526,0.0484,29.9996,269.9961,29.9996,0.7958,7.1619,1.5915,0.0431,0.3879,1.0056,55.5213,0.7118,126.3866
2015-08-01,0.02,22.438,0,252.2794,1.6468,0.3518,0.0534,12.0703,108.6328,12.0703,0.7908,7.1169,1.5815,0.0654,0.5888,1.5265,64.6357,0.7118,126.3866
2015-08-02,0.014,21.7066,0,255.8762,1.6799,0.3755,0.054,23.3348,210.013,23.3348,0.7902,7.1116,1.5803,0.0097,0.087,0.2255,56.7537,0.7118,126.3866
2015-08-03,0.0098,21.5334,0,256.7408,1.7496,0.3339,0.0615,4.5999,41.3988,4.5999,0.7915,7.1234,1.583,-0.0012,-0.0109,-0.0282,53.9186,0.7118,126.3866
2015-08-04,0.0069,22.6306,0,251.347,1.6339,0.3175,0.0451,9.7516,87.7641,9.7516,0.8006,7.2058,1.6013,0.0261,0.2351,0.6096,63.6151,0.7118,126.3866
2015-08-05,0.0048,22.9047,0,250.0308,1.6605,0.3689,0.0386,2.8208,25.387,2.8208,0.7937,7.1435,1.5874,-0.0012,-0.0104,-0.027,84.1643,0.7118,126.3866
2015-08-06,0.0101,22.3745,0,252.5883,1.6925,0.3908,0.0493,14.6301,131.6711,14.6301,0.7892,7.1027,1.5784,0.01,0.0904,0.2344,65.2885,0.7118,126.3866
2015-08-07,0.0071,21.3371,0,257.7277,1.708,0.3539,0.0401,8.9623,80.6607,8.9623,0.7901,7.1106,1.5801,0.0182,0.1638,0.4245,6.2521,0.7118,126.3866
2015-08-08,0.0049,21.1741,0,258.5521,1.6957,0.3849,0.0598,13.45,121.05,13.45,0.7944,7.1494,1.5888,-0.0018,-0.0161,-0.0418,36.8405,0.7118,126.3866
