time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_ch4,SIL_rsi
2015-07-07,0,24.3969,0,252.4419,1.4226,0.6157,0.0631,5.9151,53.2361,5.9151,1.2297,11.0674,2.4594,0.0094,0.0842,0.2183,77.9682,0.7118,126.3866
2015-07-08,0,25.38225,0,249.2833,1.104,0.4451,0.0518,29.2038,262.8343,29.2038,0.927,8.3432,1.854,0.0021,0.0193,0.0501,61.053,0.7118,126.3866
2015-07-09,0,25.61745,0,248.5392,1.0816,0.7122,0.0542,12.9189,116.2698,12.9189,0.6018,5.4164,1.2036,0.0061,0.0548,0.1422,57.181,0.7118,126.3866
2015-07-10,0,26.103,0,247.0162,1.3402,0.1099,0.0584,7.0414,63.3724,7.0414,0.7132,6.4192,1.4265,0.0263,0.2364,0.6128,83.2148,0.7118,126.3866
2015-07-11,0,25.6116,0,248.5579,2.6188,0.7883,0.0668,21.5213,193.6916,21.5213,0.2761,2.4846,0.5521,0.0576,0.5188,1.3451,86.7462,0.7118,126.3866
2015-07-12,0,25.4673,0,249.0135,1.5698,0,0.0683,23.3052,209.7465,23.3052,0.459,4.131,0.918,0.0603,0.5431,1.4081,64.0836,0.7118,126.3866
2015-07-13,0.097,24.9159,0,250.7692,1.9514,0.2545,0.0137,5.0401,45.3607,5.0401,1.0042,9.0377,2.0084,0.0904,0.8133,2.1087,81.1917,0.7118,126.3866
2015-07-14,0.0679,26.22165,0,246.6462,1.9155,0.2529,0,0,0,0,1.2575,11.3171,2.5149,0.0795,0.7159,1.856,47.6845,0.7118,126.3866
2015-07-15,0.0475,26.06565,0,247.1328,1.7898,0.4483,0.1272,12.8846,115.9616,12.8846,0.2702,2.4318,0.5404,0.0068,0.0611,0.1585,51.7375,0.7118,126.3866
2015-07-16,0.0333,25.815,0,247.9176,0.5517,0.1278,0.0193,1.4854,13.3684,1.4854,0.7583,6.8243,1.5165,0.0486,0.4373,1.1337,62.5454,0.7118,126.3866
2015-07-17,0.0233,25.6773,0,248.3505,2.1159,0.309,0.092,8.5503,76.9524,8.5503,0.7777,6.9992,1.5554,0.0356,0.3206,0.8313,56.9123,0.7118,126.3866
2015-07-18,0.0163,26.75865,0,244.9852,1.9588,0.0706,0.0539,22.5939,203.3449,22.5939,0.3626,3.2638,0.7253,0.0459,0.413,1.0706,101.6986,0.7118,126.3866
2015-07-19,0.0114,27.8586,0,241.6422,0.6414,0.0466,0.0051,10.967,98.7029,10.967,0.9601,8.6406,1.9201,0.0335,0.3015,0.7817,63.7329,0.7118,126.3866
2015-07-20,0.008,28.37415,0,240.1022,2.5063,0.2956,0,20.27,182.43,20.27,0.4948,4.453,0.9896,0.0156,0.14,0.3629,72.1293,0.7118,126.3866
2015-07-21,0.0056,27.83535,0,241.7121,1.3639,0.6923,0.0871,18.5467,166.9206,18.5467,0.4842,4.3578,0.9684,0.0232,0.209,0.542,76.3329,0.7118,126.3866
2015-07-22,0.0039,26.3883,0,246.1288,0.9622,0.4319,0.0253,23.7118,213.4065,23.7118,1.0465,9.4188,2.0931,0.0018,0.0163,0.0423,34.8364,0.7118,126.3866
2015-07-23,0.0027,25.17915,0,249.9282,2.0841,0.3956,0.1103,23.5324,211.7918,23.5324,1.1604,10.4439,2.3209,0.0413,0.3715,0.963,79.0804,0.7118,126.3866
2015-07-24,0.0019,25.45905,0,249.0397,3.1002,0.0325,0.0769,26.3971,237.5735,26.3971,0.8451,7.6058,1.6902,0.0105,0.0947,0.2456,77.035,0.7118,126.3866
2015-07-25,0.0013,25.665,0,248.3894,0.383,0.0863,0,1.6828,15.1448,1.6828,0.3351,3.0162,0.6703,0.0218,0.1961,0.5084,53.4352,0.7118,126.3866
2015-07-26,9.00E-04,25.97895,0,247.4039,2.5729,0,0.0476,0,0,0,0.7902,7.1122,1.5805,0.0178,0.16,0.4149,48.4887,0.7118,126.3866
2015-07-27,7.00E-04,26.2326,0,246.6122,1.1813,0,0.0447,39.2489,353.2399,39.2489,0.7277,6.5496,1.4555,0.0382,0.344,0.8918,88.6913,0.7118,126.3866
2015-07-28,0.0832,26.67525,0,245.2416,1.8427,0.1357,0.0527,7.7904,70.1134,7.7904,0.324,2.9164,0.6481,0.026,0.2343,0.6074,77.7509,0.7118,126.3866
2015-07-29,0.0582,26.3076,0,246.379,1.7248,0.9974,0.0507,29.8206,268.3853,29.8206,1.0583,9.5251,2.1167,0.0109,0.0977,0.2532,65.7882,0.7118,126.3866
2015-07-30,0.0408,27.1353,0,243.8313,1.2208,0,0.0197,17.4299,156.8691,17.4299,0.8114,7.3022,1.6227,0.047,0.4231,1.097,48.9531,0.7118,126.3866
2015-07-31,0.0285,25.4391,0,249.1031,3.1428,0.1747,0.018,10.6954,96.2589,10.6954,0.748,6.7323,1.4961,0.025,0.2249,0.5832,52.4276,0.7118,126.3866
2015-08-01,0.02,24.447,0,252.2794,1.804,0,0.1499,11.5871,104.2837,11.5871,1.1057,9.951,2.2113,0.015,0.1348,0.3495,44.2223,0.7118,126.3866
2015-08-02,0.014,23.3499,0,255.8762,0.7028,0.5893,0.0684,5.1521,46.3693,5.1521,0.3863,3.477,0.7727,0.028,0.2522,0.6539,69.7259,0.7118,126.3866
2015-08-03,0.0098,23.0901,0,256.7408,2.2616,0.0855,0.0082,9.8726,88.8534,9.8726,0.9618,8.6565,1.9237,0.0356,0.3202,0.8302,67.2461,0.7118,126.3866
2015-08-04,0.0069,24.7359,0,251.347,2.1247,0,0.0561,29.8073,268.2659,29.8073,1.0512,9.4606,2.1023,0.0152,0.1365,0.3538,72.5533,0.7118,126.3866
2015-08-05,0.0048,25.14705,0,250.0308,1.5077,0.2732,0.0631,28.443,255.9869,28.443,0.8406,7.5658,1.6813,0.014,0.1264,0.3276,68.6854,0.7118,126.3866
2015-08-06,0.0101,24.35175,0,252.5883,0.6127,0,0.0118,9.5704,86.1336,9.5704,0.6417,5.7752,1.2834,0.0229,0.2062,0.5347,52.8205,0.7118,126.3866
2015-08-07,0.0071,22.79565,0,257.7277,2.9541,0.8059,0.0744,27.0959,243.8632,27.0959,0.7209,6.4879,1.4418,0.0074,0.067,0.1738,84.4247,0.7118,126.3866
2015-08-08,0.0049,22.55115,0,258.5521,1.1756,0.3695,0.0245,35.8821,322.9388,35.8821,0.3894,3.5044,0.7787,0.0542,0.4881,1.2654,53.4188,0.7118,126.3866
2015-08-09,0.0035,23.03115,0,256.9382,0.3143,0.3224,0.0236,20.5037,184.5329,20.5037,1.1205,10.0847,2.241,0.0685,0.6162,1.5976,51.3633,0.7118,126.3866
2015-08-10,0.213,23.46045,0,255.5095,2.5622,0.494,0.0167,9.6829,87.1465,9.6829,1.4456,13.0107,2.8913,0.0033,0.0297,0.077,48.3862,0.7118,126.3866
2015-08-11,0.1491,24.04365,0,253.5915,2.4618,0.3721,0,18.6632,167.9691,18.6632,1.1796,10.6165,2.3592,0.0368,0.3309,0.8579,39.6633,0.7118,126.3866
2015-08-12,0.1044,23.7489,0,254.5576,1.7286,0.3795,0.0323,13.0349,117.3143,13.0349,1.114,10.0259,2.228,0.0192,0.1731,0.4489,78.1726,0.7118,126.3866
2015-08-13,0.0731,22.73895,0,257.9185,0.764,0.3378,0.0794,13.8716,124.8445,13.8716,0.816,7.3443,1.6321,0.0303,0.2725,0.7064,47.9682,0.7118,126.3866
2015-08-14,0.0511,22.9215,0,257.3049,0.0527,0.2816,0.0758,25.754,231.786,25.754,0.8998,8.0978,1.7995,0.0581,0.5233,1.3567,59.8797,0.7118,126.3866
