"time","FLOW","TEMP","SALT","OXY_oxy","NIT_amm","NIT_nit","PHS_frp","OGM_doc","OGM_docr","OGM_poc","OGM_don","OGM_donr","OGM_pon","OGM_dop","OGM_dopr","OGM_pop","CAR_dic","CAR_ch4","SIL_rsi"
2015-07-07 12:00:00,0,24.7899,0,251.1737,0.2715,0.1642,0.0309,44.6426,449.0519,26.2603,0.6738,6.0643,1.3476,0.0239,0.2154,0.5584,79.3234,0.7118,82.1513
2015-07-08 12:00:00,0,25.2264,0,249.778,0.128,0.117,0.0534,17.2807,173.8231,10.1651,1.5495,13.9457,3.099,0.0733,0.6594,1.7097,39.4086,0.7118,82.1513
2015-07-09 12:00:00,0,25.8726,0,247.7367,0.6016,0.0978,0.0867,31.4181,316.0296,18.4813,0.3283,2.9547,0.6566,0.0272,0.2448,0.6348,73.0602,0.7118,82.1513
2015-07-10 12:00:00,0,25.9557,0,247.4767,0.1619,0.1201,0.0312,30.2019,303.7951,17.7658,0.6059,5.4532,1.2118,0.0376,0.338,0.8764,95.754,0.7118,82.1513
2015-07-11 12:00:00,0.2023,25.7013,0,248.2753,0.1809,0.1341,0.0232,1.2163,12.2349,0.7155,0.6633,5.9696,1.3266,0.033,0.2967,0.7692,55.6448,0.7118,82.1513
2015-07-12 12:00:00,0.1567,25.2429,0,249.7253,0.3246,0.0931,0.038,15.7166,158.0907,9.2451,0.2178,1.9606,0.4357,0.02,0.1797,0.4658,82.3957,0.7118,82.1513
2015-07-13 12:00:00,2.2759,25.0965,0,250.1917,0.4065,0.013,0.0218,13.704,137.8461,8.0612,0.3804,3.4234,0.7608,0.046,0.4136,1.0724,35.1105,0.7118,82.1513
2015-07-14 12:00:00,2.9763,26.3955,0,246.1065,0.2404,0.1055,0.04,48.9565,492.4448,28.7979,0.9905,8.9145,1.981,-0.0012,-0.0108,-0.028,73.4778,0.7118,82.1513
2015-07-15 12:00:00,2.1968,25.92705,0,247.5663,0.7908,0.0127,0.087,30.5037,306.831,17.9433,0.5954,5.3588,1.1908,0.04,0.3604,0.9343,57.5441,0.7118,82.1513
2015-07-16 12:00:00,1.5378,25.7874,0,248.0045,1.0887,0.007,0.0717,13.0932,131.7019,7.7019,1.565,14.0847,3.1299,0.0318,0.2862,0.7419,62.5662,0.7118,82.1513
2015-07-17 12:00:00,1.0764,25.85295,0,247.7985,0.3552,0.1096,0.078,2.1557,21.6836,1.268,1.0342,9.3078,2.0684,0.0087,0.0779,0.202,55.7317,0.7118,82.1513
2015-07-18 12:00:00,1.2869,26.91525,0,244.504,0.416,0.1695,0.0331,32.0331,322.2153,18.843,1.1389,10.2501,2.2778,-0.001,-0.0089,-0.0232,56.1738,0.7118,82.1513
2015-07-19 12:00:00,0.9008,28.10835,0,240.8943,0.7026,0.0405,0.0899,56.9985,573.338,33.5285,0.9848,8.8635,1.9697,0.068,0.6117,1.586,76.4902,0.7118,82.1513
2015-07-20 12:00:00,0.6306,28.3233,0,240.2536,0,0.1391,0.053,36.1907,364.0363,21.2887,1.2926,11.6333,2.5852,0.0522,0.4698,1.2181,69.6517,0.7118,82.1513
2015-07-21 12:00:00,0.4653,27.58545,0,242.4648,0.6092,0.029,0.0566,0,0,0,1.4553,13.0974,2.9105,0.0575,0.5172,1.3408,83.329,0.7118,82.1513
2015-07-22 12:00:00,0.3257,26.0787,0,247.0918,1.0759,0.1859,0.094,47.8025,480.8371,28.1191,0.6523,5.8709,1.3047,0.0539,0.485,1.2573,57.7819,0.7118,82.1513
2015-07-23 12:00:00,0.228,25.10475,0,250.1658,1.0717,0.1064,0.0549,24.4246,245.6823,14.3674,0.3614,3.2529,0.7229,0.0455,0.4093,1.0612,12.0521,0.7118,82.1513
2015-07-24 12:00:00,0.1596,25.55715,0,248.7295,0.8734,0.1075,0.0278,47.0617,473.3858,27.6834,0.2469,2.2221,0.4938,0.0028,0.025,0.0648,39.8111,0.7118,82.1513
2015-07-25 12:00:00,0.1117,25.7148,0,248.2325,0.8137,0.1693,0.1152,49.2343,495.2392,28.9614,0.8295,7.4652,1.6589,0.0247,0.2226,0.5772,58.0511,0.7118,82.1513
2015-07-26 12:00:00,0.0782,26.08815,0,247.0626,0.1676,0.0252,0.0411,19.2593,193.7264,11.329,1.1816,10.6343,2.3632,-0.0012,-0.0111,-0.0288,48.0062,0.7118,82.1513
2015-07-27 12:00:00,0.0547,26.2971,0,246.412,1.005,0.1114,0,12.2727,123.449,7.2192,1.2122,10.9102,2.4245,0.0259,0.2334,0.6051,44.3209,0.7118,82.1513
2015-07-28 12:00:00,2.4157,26.31585,0,246.3538,0.8816,0.1373,0.023,16.267,163.6274,9.5689,1.5253,13.7275,3.0506,-7e-04,-0.0062,-0.0161,67.9109,0.7118,82.1513
2015-07-29 12:00:00,1.7004,26.71035,0,245.1338,0.5701,0.0733,0.045,40.0213,402.5668,23.5419,0.9808,8.8271,1.9616,0.0154,0.1382,0.3582,38.0668,0.7118,82.1513
2015-07-30 12:00:00,1.1903,27.03165,0,244.1477,0.7552,0.1648,0.043,62.6958,630.6459,36.8799,1.0262,9.2358,2.0524,0.0232,0.2086,0.5408,54.2214,0.7118,82.1513
2015-07-31 12:00:00,0.8332,25.00245,0,250.4922,0.826,0.0076,0.0298,38.7888,390.1695,22.8169,0.7708,6.9368,1.5415,0.0028,0.0253,0.0656,57.0579,0.7118,82.1513
2015-08-01 12:00:00,0.5832,24.41265,0,252.3907,0.1044,0.0258,0.1126,28.8012,289.7059,16.9419,1.8045,16.2405,3.609,0.0374,0.3363,0.8719,65.0361,0.7118,82.1513
2015-08-02 12:00:00,0.4083,23.0277,0,256.9497,1.0618,0.1214,0.1099,25.4135,255.6303,14.9491,0.8643,7.7783,1.7285,0.0311,0.2796,0.7248,22.4886,0.7118,82.1513
2015-08-03 12:00:00,0.2858,23.40795,0,255.6833,0.7536,0.0661,0,35.4415,356.5002,20.848,0.5857,5.2709,1.1713,0.0373,0.336,0.8712,57.5844,0.7118,82.1513
2015-08-04 12:00:00,0.2,24.96645,0,250.6076,0.5285,0.0367,0,38.959,391.8821,22.9171,0.6562,5.9055,1.3123,0.0176,0.158,0.4097,58.2436,0.7118,82.1513
2015-08-05 12:00:00,0.14,25.1295,0,250.0866,0.1725,0.0737,0.0163,30.664,308.4438,18.0376,0.0059,0.053,0.0118,0.0622,0.5601,1.4521,50.7889,0.7118,82.1513
2015-08-06 12:00:00,0.137,23.96055,0,253.8629,0.178,0.1117,0.0192,42.4852,427.3508,24.9913,0.905,8.1451,1.81,0.0476,0.4287,1.1114,71.1624,0.7118,82.1513
