time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_ch4,SIL_rsi
2015-07-07,0,24.7899,0,251.1737,0.8049,0,0.0321,2.3533,21.18,2.3533,0.6413,5.7719,1.2826,0.0047,0.0426,0.1105,44.4745,0.7118,126.3866
2015-07-08,0,25.2264,0,249.778,1.0417,0,0.0379,26.9491,242.5417,26.9491,0.998,8.9823,1.9961,0.0278,0.2498,0.6476,54.413,0.7118,126.3866
2015-07-09,0,25.8726,0,247.7367,0.3419,0.4963,0.0121,0,0,0,0.5899,5.309,1.1798,0.0664,0.5972,1.5483,72.8917,0.7118,126.3866
2015-07-10,0,25.9557,0,247.4767,0.3802,0.3293,0.0016,17.0977,153.8792,17.0977,0.6999,6.2992,1.3998,0.0458,0.4118,1.0676,66.3196,0.7118,126.3866
2015-07-11,0.200277,25.7013,0,248.2753,1.2576,0.0843,0.1033,13.3397,120.0575,13.3397,0.9066,8.159,1.8131,0.0193,0.1735,0.4499,70.2316,0.7118,126.3866
2015-07-12,0.155133,25.2429,0,249.7253,1.423,0.4293,0.0271,12.5247,112.7227,12.5247,0.5694,5.1248,1.1388,0.0094,0.0849,0.22,71.2656,0.7118,126.3866
2015-07-13,2.253141,25.0965,0,250.1917,0,0,0,0.0799,0.7188,0.0799,0.3617,3.255,0.7233,0,0,0,45.6718,0.7118,126.3866
2015-07-14,2.946537,26.3955,0,246.1065,3.3317,0.6067,0.0218,14.6775,132.0976,14.6775,0.2176,1.9588,0.4353,0.0335,0.3019,0.7828,82.8107,0.7118,126.3866
2015-07-15,2.174832,25.92705,0,247.5663,2.1366,0.2095,0,21.6733,195.0593,21.6733,0.5854,5.2688,1.1709,0,0,0,73.5878,0.7118,126.3866
2015-07-16,1.522422,25.7874,0,248.0045,3.4186,0.8884,0,31.068,279.6116,31.068,0.9433,8.4895,1.8866,0.0045,0.0403,0.1044,33.9179,0.7118,126.3866
2015-07-17,1.065636,25.85295,0,247.7985,1.3008,0.4519,0,9.7969,88.1724,9.7969,1.1583,10.4247,2.3166,0.0387,0.3483,0.903,44.9531,0.7118,126.3866
2015-07-18,1.274031,26.91525,0,244.504,0.681,0,0.0958,19.9591,179.6315,19.9591,0.3535,3.1812,0.7069,0.0954,0.8589,2.2269,53.534,0.7118,126.3866
2015-07-19,0.891792,28.10835,0,240.8943,0.9996,0.1495,0.0668,7.128,64.1517,7.128,0.6041,5.4366,1.2081,0.0151,0.1361,0.3529,50.5631,0.7118,126.3866
2015-07-20,0.624294,28.3233,0,240.2536,2.1155,0.432,0.0259,32.9919,296.9271,32.9919,0.9487,8.5382,1.8974,-8.00E-04,-0.007,-0.0181,44.1385,0.7118,126.3866
2015-07-21,0.460647,27.58545,0,242.4648,0,0.2425,0.0073,16.9623,152.6607,16.9623,0.2809,2.5282,0.5618,0.0425,0.3828,0.9925,58.285,0.7118,126.3866
2015-07-22,0.322443,26.0787,0,247.0918,0.8665,0.6644,0,17.7765,159.9883,17.7765,1.1041,9.9369,2.2082,0.0255,0.2295,0.595,57.5983,0.7118,126.3866
2015-07-23,0.22572,25.10475,0,250.1658,1.0948,0.0968,0.1145,21.3641,192.2769,21.3641,0.746,6.7138,1.4919,0.0111,0.0996,0.2581,58.9936,0.7118,126.3866
2015-07-24,0.158004,25.55715,0,248.7295,2.9288,0.4504,0.0803,34.7958,313.162,34.7958,0.5456,4.9103,1.0912,0.0439,0.3951,1.0242,60.2298,0.7118,126.3866
2015-07-25,0.110583,25.7148,0,248.2325,3.4357,0.4521,0.0892,5.1218,46.0964,5.1218,0.464,4.1762,0.9281,0.0346,0.3111,0.8065,65.0525,0.7118,126.3866
2015-07-26,0.077418,26.08815,0,247.0626,2.392,0.5451,0,15.7632,141.8689,15.7632,1.0812,9.7312,2.1625,0.033,0.2968,0.7695,45.5534,0.7118,126.3866
2015-07-27,0.054153,26.2971,0,246.412,2.328,0.1328,0.0146,10.7604,96.8433,10.7604,0.5635,5.0713,1.127,0.0013,0.0121,0.0315,84.7836,0.7118,126.3866
