"time","FLOW"
2014-01-01,0
2014-01-02,33198.3466
2014-01-03,23238.8426
2014-01-04,16267.1899
2014-01-05,12274.7474
2014-01-06,8976.2847
2014-01-07,6283.7234
2014-01-08,4398.6064
2014-01-09,3079.0245
2014-01-10,10831.5024
2014-01-11,18541.5438
2014-01-12,12979.0806
2014-01-13,9085.3565
2014-01-14,14724.9824
2014-01-15,10985.622
2014-01-16,7689.9354
2014-01-17,5382.9548
2014-01-18,3768.0683
2014-01-19,2637.6478
2014-01-20,1846.3535
2014-01-21,2421.5413
2014-01-22,1695.0789
2014-01-23,1186.5552
2014-01-24,830.5887
2014-01-25,581.4121
2014-01-26,406.9884
2014-01-27,284.8919
2014-01-28,1132.3901
2014-01-29,792.673
2014-01-30,554.8711
2014-01-31,388.4098
2014-02-01,271.8869
2014-02-02,190.3208
2014-02-03,28198.9773
2014-02-04,20820.4397
2014-02-05,14940.822
2014-02-06,10458.5754
2014-02-07,7321.0028
2014-02-08,5124.7019
2014-02-09,3587.2914
2014-02-10,2511.104
2014-02-11,1757.7728
2014-02-12,12133.1939
2014-02-13,27352.9532
2014-02-14,19147.0672
2014-02-15,13402.9471
2014-02-16,9382.0629
2014-02-17,6567.4441
2014-02-18,4597.2108
2014-02-19,8231.3664
2014-02-20,19519.0299
2014-02-21,23497.7735
2014-02-22,16448.4415
2014-02-23,11513.909
2014-02-24,8059.7363
2014-02-25,5641.8154
2014-02-26,3949.2708
2014-02-27,2764.4896
2014-02-28,1935.1427
2014-03-01,1354.5999
2014-03-02,3743.6688
2014-03-03,16100.8422
2014-03-04,11270.5895
2014-03-05,7889.4127
2014-03-06,5522.5889
2014-03-07,5988.227
2014-03-08,4191.7589
2014-03-10,9581.7835
2014-03-11,6707.2485
2014-03-12,4695.0739
2014-03-13,3286.5517
2014-03-14,2300.5862
2014-03-15,1610.4104
2014-03-16,1127.2872
2014-03-17,5744.5668
2014-03-18,6377.5927
2014-03-19,4464.3149
2014-03-20,3125.0204
2014-03-21,2187.5143
2014-03-22,1531.26
2014-03-23,1071.882
2014-03-24,750.3174
2014-03-25,525.2222
2014-03-26,5095.0043
2014-03-27,3566.503
2014-03-28,2496.5521
2014-03-29,1747.5865
2014-03-30,9119.6221
2014-03-31,6383.7355
2014-04-01,4468.6148
2014-04-02,3128.0304
2014-04-03,2189.6213
2014-04-04,1532.7349
2014-04-05,1072.9144
2014-04-06,751.0401
2014-04-07,525.7281
2014-04-08,17615.3421
2014-04-09,12330.7395
2014-04-10,8631.5176
2014-04-11,6042.0623
2014-04-12,4229.4436
2014-04-13,2960.6105
2014-04-14,2072.4274
2014-04-15,1450.6992
2014-04-16,16163.7593
2014-04-17,11314.6315
2014-04-18,7920.242
2014-04-19,5544.1694
2014-04-20,3880.9186
2014-04-21,2716.643
2014-04-22,1901.6501
2014-04-23,1331.1551
2014-04-24,931.8086
2014-04-25,652.266
2014-04-26,2473.1843
2014-04-27,1731.229
2014-04-28,1211.8603
2014-04-29,7565.5732
2014-04-30,22977.8439
2014-05-01,16084.4908
2014-05-02,11259.1435
2014-05-03,7881.4005
2014-05-04,5517.4433
2014-05-05,3861.8862
2014-05-06,2703.3204
2014-05-07,1892.3243
2014-05-08,1324.627
2014-05-09,927.2389
2014-05-10,649.4144
2014-05-11,1112.0453
2014-05-12,778.4317
2014-05-13,544.9022
2014-05-14,381.4316
2014-05-15,267.0021
2014-05-16,29850.9531
2014-05-17,20895.6672
2014-05-18,14626.967
2014-05-19,10238.8769
2014-05-20,7167.2138
2014-05-21,5017.0497
2014-05-22,3511.9348
2014-05-23,2458.3543
2014-05-24,1720.848
2014-05-25,1204.5936
2014-05-26,843.2155
2014-05-27,590.2509
2014-05-28,413.5228
2014-05-29,289.2229
2014-05-30,1803.7242
2014-05-31,1262.4449
2014-06-01,884.0587
2014-06-02,618.598
2014-06-03,433.0186
2014-06-04,303.113
2014-06-05,8723.7991
2014-06-06,6106.6594
2014-06-07,4274.6616
2014-06-08,2992.6103
2014-06-09,2094.5842
2014-06-10,1466.2089
2014-06-11,1026.3462
2014-06-12,9868.2965
2014-06-13,13139.8434
2014-06-14,9197.8904
2014-06-15,6438.5233
2014-06-16,4507.3135
2014-06-17,3154.8764
2014-06-18,2208.4135
2014-06-19,1545.8894
2014-06-20,1082.4698
2014-06-21,4488.2245
2014-06-22,3141.7571
2014-06-23,3865.9192
2014-06-24,2705.9004
2014-06-25,1894.1303
2014-06-26,1326.2384
2014-06-27,928.1238
2014-06-28,649.6867
2014-06-29,454.7807
