"time","FLOW"
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,0
2015-07-11,0
2015-07-12,0
2015-07-13,0.097
2015-07-14,0.0679
2015-07-15,-0.265
2015-07-16,0.0333
2015-07-17,0.0233
2015-07-18,0.0163
2015-07-19,0.0114
2015-07-20,0.008
2015-07-21,0.0056
2015-07-22,0.0039
2015-07-23,0.0027
2015-07-24,0.0019
2015-07-25,0.3138
2015-07-26,9e-04
2015-07-27,7e-04
2015-07-28,0.0832
2015-07-29,0.0582
2015-07-30,0.0408
2015-07-31,0.0285
2015-08-01,0.02
2015-08-02,0.014
2015-08-03,0.0098
2015-08-04,0.0069
2015-08-05,0.0048
2015-08-06,0.0101
2015-08-07,0.0071
2015-08-08,0.0049
2015-08-09,0.0035
2015-08-10,0.213
2015-08-11,0.1491
2015-08-12,0.1044
2015-08-13,0.0731
2015-08-14,0.0511
2015-08-15,0.0358
2015-08-16,0.3376
2015-08-17,0.0175
2015-08-18,0.0336
2015-08-19,0.0235
2015-08-20,0.0164
2015-08-21,0.0115
2015-08-22,0.0081
2015-08-23,0.0056
2015-08-24,0.0039
2015-08-25,0.0028
2015-08-26,0.0019
2015-08-27,0.0014
2015-08-28,9e-04
2015-08-29,7e-04
2015-08-30,5e-04
2015-08-31,3e-04
2015-09-01,2e-04
2015-09-02,2e-04
2015-09-03,1e-04
2015-09-04,0.1831
2015-09-05,0.1281
2015-09-06,0.0897
2015-09-07,0.0628
2015-09-08,0.044
2015-09-09,0.0308
2015-09-10,0.0215
2015-09-11,0.0151
2015-09-12,0.0106
2015-09-13,0.0074
2015-09-14,0.0052
2015-09-15,0.0036
2015-09-16,0.0025
2015-09-17,-0.3107
2015-09-18,0.0012
2015-09-19,9e-04
2015-09-20,6e-04
2015-09-21,0.377
2015-09-22,0.3382
2015-09-23,0.2367
2015-09-24,0.1657
2015-09-25,0.1496
2015-09-26,0.3353
2015-09-27,0.5744
2015-09-28,0.4251
2015-09-29,0.4674
2015-09-30,0.5459
2015-10-01,0.0812
2015-10-02,0.1382
2015-10-03,0.5331
2015-10-04,0.0259
2015-10-05,0.2612
