time,FLOW
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,0
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,0
2015-07-15,-0.3125
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0.3125
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0
2015-08-09,0
2015-08-10,0.0036
2015-08-11,0.0025
2015-08-12,0.0018
2015-08-13,0.0012
2015-08-14,9.00E-04
2015-08-15,6.00E-04
2015-08-16,0.3129
2015-08-17,3.00E-04
2015-08-18,2.00E-04
2015-08-19,1.00E-04
2015-08-20,1.00E-04
2015-08-21,1.00E-04
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,0
2015-09-17,-0.3125
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0.0085
2015-09-22,0.006
2015-09-23,0.0042
2015-09-24,0.0029
2015-09-25,0.0027
2015-09-26,0.0073
2015-09-27,0.012
2015-09-28,0.0084
2015-09-29,-0.2958
2015-09-30,0.0117
2015-10-01,-0.2928
2015-10-02,-0.3373
2015-10-03,0.0087
2015-10-04,-0.3411
2015-10-05,0.0043
2015-10-06,0.003
2015-10-07,0.0021
2015-10-08,0.0015
2015-10-09,0.001
2015-10-10,7.00E-04
2015-10-11,0.3477
2015-10-12,4.00E-04
2015-10-13,2.00E-04
2015-10-14,2.00E-04
2015-10-15,0.3473
2015-10-16,1.00E-04
