time,FLOW
2014-01-01,0
2014-01-02,0
2014-01-03,0.0158
2014-01-04,0.0111
2014-01-05,0.3592
2014-01-06,-0.1829
2014-01-07,0.2045
2014-01-08,0.1431
2014-01-09,0.1002
2014-01-10,0.0758
2014-01-11,0.2109
2014-01-12,0.2641
2014-01-13,0.1848
2014-01-14,0.1412
2014-01-15,0.1047
2014-01-16,0.0733
2014-01-17,0.0513
2014-01-18,0.0359
2014-01-19,0.0251
2014-01-20,0.0176
2014-01-21,0.0123
2014-01-22,0.0244
2014-01-23,0.0171
2014-01-24,0.012
2014-01-25,0.0084
2014-01-26,0.0059
2014-01-27,0.0041
2014-01-28,0.0029
2014-01-29,0.0093
2014-01-30,0.0065
2014-01-31,0.0045
2014-02-01,0.0032
2014-02-02,0.0022
2014-02-03,0.2923
2014-02-04,0.2748
2014-02-05,0.2184
2014-02-06,0.1529
2014-02-07,0.107
2014-02-08,0.0749
2014-02-09,0.0524
2014-02-10,0.0367
2014-02-11,0.0257
2014-02-12,0.018
2014-02-13,0.2724
2014-02-14,0.31
2014-02-15,0.2182
2014-02-16,0.1528
2014-02-17,0.1069
2014-02-18,0.0749
2014-02-19,0.0524
2014-02-20,0.0724
2014-02-21,0.1611
2014-02-22,0.3084
2014-02-23,0.2159
2014-02-24,0.1511
2014-02-25,0.1058
2014-02-26,0.074
2014-02-27,0.0518
2014-02-28,0.0363
2014-03-01,0.0254
2014-03-02,0.0178
2014-03-03,0.1723
2014-03-04,0.1586
2014-03-05,0.111
2014-03-06,0.0777
2014-03-07,0.0672
2014-03-08,0.0471
2014-03-10,0.0379
2014-03-11,0.0265
2014-03-12,0.0186
2014-03-13,0.013
2014-03-14,0.0091
2014-03-15,0.0064
2014-03-16,0.0045
2014-03-17,0.0031
2014-03-18,0.1005
2014-03-19,0.0704
2014-03-20,0.0509
2014-03-21,0.0356
2014-03-22,0.0249
2014-03-23,0.0175
2014-03-24,0.0122
2014-03-25,0.0086
2014-03-26,0.006
2014-03-27,0.0554
2014-03-28,0.0388
2014-03-29,0.0271
2014-03-30,0.019
2014-03-31,0.1106
2014-04-01,0.0774
2014-04-02,0.0542
2014-04-03,0.038
2014-04-04,0.0266
2014-04-05,0.0186
2014-04-06,0.013
2014-04-07,0.0091
2014-04-08,0.1123
2014-04-09,0.1473
2014-04-10,0.1031
2014-04-11,0.0722
2014-04-12,0.0505
2014-04-13,0.0354
2014-04-14,0.0248
2014-04-15,0.0173
2014-04-16,0.1564
2014-04-17,0.111
2014-04-18,0.0777
2014-04-19,0.0544
2014-04-20,0.0381
2014-04-21,0.0267
2014-04-22,0.0187
2014-04-23,0.0131
2014-04-24,0.0091
2014-04-25,0.0064
2014-04-26,0.0045
2014-04-27,0.0252
2014-04-28,0.0177
2014-04-29,0.0124
2014-04-30,0.2533
2014-05-01,0.242
2014-05-02,0.1694
2014-05-03,0.1186
2014-05-04,0.546
2014-05-05,0.0581
2014-05-06,0.0407
2014-05-07,0.0285
2014-05-08,0.0199
2014-05-09,0.0139
2014-05-10,0.357
2014-05-11,0.0226
2014-05-12,0.0158
2014-05-13,0.0111
2014-05-14,0.0078
2014-05-15,0.0054
2014-05-16,0.0038
2014-05-17,0.3593
2014-05-18,0.2515
2014-05-19,0.176
2014-05-20,0.1232
2014-05-21,0.0863
2014-05-22,0.0604
2014-05-23,0.0423
2014-05-24,0.0296
2014-05-25,0.0207
2014-05-26,0.0145
2014-05-27,0.0101
2014-05-28,0.3543
2014-05-29,0.005
2014-05-30,0.235
2014-05-31,0.0216
2014-06-01,0.3623
2014-06-02,0.0106
2014-06-03,0.0074
2014-06-04,0.0052
2014-06-05,0.0036
2014-06-06,0.1366
2014-06-07,0.0956
2014-06-08,0.4142
2014-06-09,0.0469
2014-06-10,0.0535
2014-06-11,0.0375
2014-06-12,-0.321
2014-06-13,0.1156
2014-06-14,0.1136
2014-06-15,0.0795
2014-06-16,0.4029
2014-06-17,0.039
2014-06-18,0.0273
2014-06-19,0.0191
2014-06-20,0.3606
2014-06-21,0.0094
2014-06-22,0.0961
2014-06-23,0.4145
2014-06-24,0.0866
2014-06-25,0.0606
2014-06-26,0.3897
2014-06-27,0.0297
2014-06-28,0.0208
2014-06-29,0.0146
2014-06-30,0.3574
2014-07-01,0.0071
2014-07-02,0.005
2014-07-03,0.0035
2014-07-04,0.0024
2014-07-05,0.1187
2014-07-06,0.3146
2014-07-07,0.0582
2014-07-08,0.0407
2014-07-09,0.0285
2014-07-10,0.02
2014-07-11,0.4173
2014-07-12,0.0668
2014-07-13,0.0467
2014-07-14,0.0327
2014-07-15,0.0229
2014-07-16,0.3664
2014-07-17,0.0378
2014-07-18,0.0265
2014-07-19,0.0185
2014-07-20,0.3602
2014-07-21,0.0091
2014-07-22,0.0064
2014-07-23,0.0044
2014-07-24,0.0031
2014-07-25,0.0022
2014-07-26,0.4745
2014-07-27,0.2472
2014-07-28,0.173
2014-07-29,0.1211
2014-07-30,0.0848
2014-07-31,0.0594
2014-08-01,0.3888
2014-08-02,0.0291
2014-08-03,0.082
2014-08-04,0.4046
2014-08-05,0.0402
2014-08-06,0.0281
2014-08-07,0.0197
