time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain
2015-07-07 17:00:00,586.6,379.9516769,28.29,62.28,1.767,0
2015-07-07 18:00:00,336.3,394.6751972,27.45,66.33,0.737,0
2015-07-07 19:00:00,120.4,401.4658131,25.01,82.3,0.58,0
2015-07-07 20:00:00,39.85,397.3267848,25.45,71.47,0.901,0
2015-07-07 21:00:00,0,393.5637035,23.68,75.23,0.683,0
2015-07-07 22:00:00,0,379.4620848,22.68,89.5,0.713,0
2015-07-07 23:00:00,0,375.537132,21.59,91.7,1.075,0
2015-07-08 00:00:00,0,379.7476537,21.06,93.5,0.72,0
2015-07-08 01:00:00,0,374.1372917,20.93,93.4,0.695,0
2015-07-08 02:00:00,0,387.6245534,20.57,95.1,1.033,0
2015-07-08 03:00:00,0,379.5916262,20.35,96.1,1.435,0
2015-07-08 04:00:00,0,393.0682599,21.24,89.7,1.023,0
2015-07-08 05:00:00,0,401.6885703,22.63,73.99,1.232,0
2015-07-08 06:00:00,0,402.0744244,24.25,68.78,2.603,0
2015-07-08 07:00:00,22.59,414.8510374,23.45,74.2,3.718,0
2015-07-08 08:00:00,41.18,416.8187223,23.05,78.84,3.534,0
2015-07-08 09:00:00,135.8,413.7989186,22.21,84.3,1.788,0
2015-07-08 10:00:00,137.6,422.6572613,22.64,85.5,1.096,0
2015-07-08 11:00:00,129.8,415.6733621,22.52,88.9,0.53,0
2015-07-08 12:00:00,365.7,414.0494095,23.14,89.7,0.943,0
2015-07-08 13:00:00,324.7,417.8787741,25.5,73.38,1.587,0
2015-07-08 14:00:00,235.5,418.2093465,25.21,76.77,1.494,0
2015-07-08 15:00:00,229,416.864751,24.86,76.54,0.854,0
2015-07-08 16:00:00,323.8,423.6657108,25.83,72.89,1.921,0
2015-07-08 17:00:00,179.2,419.1049013,24.9,77.5,1.7,0
2015-07-08 18:00:00,164.9,411.7951909,24.69,77.75,1.517,0
2015-07-08 19:00:00,35.31,422.1713016,24.35,77.62,1.334,0
2015-07-08 20:00:00,10.26,419.0443737,24.01,79.43,3.073,0
2015-07-08 21:00:00,0,416.2885968,23.48,81,2.309,0
2015-07-08 22:00:00,0,422.8123319,22.84,86.1,1.618,0.0508
2015-07-08 23:00:00,0,420.3195605,22.78,90.4,0.703,0
2015-07-09 00:00:00,0,414.3859193,22.81,87,2.204,0
2015-07-09 01:00:00,0,411.9664128,23.17,80.1,2.685,0
2015-07-09 02:00:00,0,380.7572613,22.64,80.2,1.656,0
2015-07-09 03:00:00,0,378.0977452,23.26,76.45,3.757,0
2015-07-09 04:00:00,0,377.6377452,23.26,81.1,3.618,0
2015-07-09 05:00:00,0,378.7174062,22.97,83.2,2.731,0
2015-07-09 06:00:00,0,372.7820537,22.19,86.5,3.532,0
2015-07-09 07:00:00,30.99,373.0518913,22.93,84.5,2.564,0
2015-07-09 08:00:00,66.76,372.2626944,23.43,82.3,3.344,0
2015-07-09 09:00:00,454.2,367.6054496,24.66,76.97,1.89,0
2015-07-09 10:00:00,652.2,378.3059815,26.24,71.09,2.041,0
2015-07-09 11:00:00,809,382.4448626,27.32,65.8,1.64,0
2015-07-09 12:00:00,950,389.8406645,28.77,55.76,1.184,0
2015-07-09 13:00:00,973,387.1767001,29.51,49.6,2.593,0
2015-07-09 14:00:00,984,394.1524379,31.35,45.98,1.737,0
2015-07-09 15:00:00,942,392.9730359,31.15,47.22,1.976,0
2015-07-09 16:00:00,720.6,393.817458,31.11,44.89,2.126,0
2015-07-09 17:00:00,424.6,411.4370096,30.57,44.1,2.728,0
2015-07-09 18:00:00,322.8,426.2703589,29.31,46.79,1.96,0
2015-07-09 19:00:00,83.6,395.199865,27.88,65.21,1.499,0
2015-07-09 20:00:00,58.95,429.6685924,28.03,57.16,1.203,0
2015-07-09 21:00:00,0,392.3932959,26.71,61.78,1.634,0
2015-07-09 22:00:00,0,415.3365042,26.65,54.79,2.691,0
2015-07-09 23:00:00,0,390.804496,25.81,61.21,1.986,0
2015-07-10 00:00:00,0,390.1209151,25.55,64.17,2.173,0
2015-07-10 01:00:00,0,388.0861888,25.04,69.87,1.572,0
2015-07-10 02:00:00,0,389.0192369,24.43,71.38,0.964,0
