"time","FLOW","TEMP","SALT","OXY_oxy","NIT_amm","NIT_nit","PHS_frp","OGM_doc","OGM_poc","OGM_don","OGM_pon","OGM_dop","OGM_pop","PHS_frp_ads","CAR_dic","CAR_ch4","SIL_rsi"
2015-07-07,0,22.4046,0,254.917,1.6972,0.3627,0.0482,302.5893,30.2589,7.9649,1.593,0.183,0.4269,0.0482,83.4554,0.7118,126.3866
2015-07-08,0,23.0615,0,251.7304,1.668,0.3156,0.0478,169.5154,16.9515,8.0158,1.6032,0.4578,1.0681,0.0478,78.328,0.7118,126.3866
2015-07-09,0,23.2183,0,250.9797,1.6618,0.3712,0.0316,317.6611,31.7661,7.9107,1.5821,-0.0095,-0.0221,0.0316,41.4217,0.7118,126.3866
2015-07-10,0,23.542,0,249.4433,1.6968,0.3713,0.0363,184.0653,18.4065,7.9075,1.5815,0.4426,1.0328,0.0363,81.8104,0.7118,126.3866
2015-07-11,0,23.2144,0,250.9986,1.6751,0.3694,0.0403,272.1177,27.2118,7.9609,1.5922,0.0729,0.17,0.0403,74.1965,0.7118,126.3866
2015-07-12,0,23.1182,0,251.4583,1.7485,0.363,0.02,158.8767,15.8877,7.9358,1.5872,0.0276,0.0643,0.02,76.7914,0.7118,126.3866
2015-07-13,0.097,22.7506,0,253.2295,1.6635,0.3501,0.0428,79.9927,7.9993,7.9893,1.5979,0.449,1.0476,0.0428,67.3806,0.7118,126.3866
2015-07-14,0.0679,23.6211,0,249.07,1.7217,0.3534,0.0459,161.5405,16.154,7.9745,1.5949,0.2298,0.5363,0.0459,65.9645,0.7118,126.3866
2015-07-15,0.0475,23.5171,0,249.5609,1.674,0.3738,0.0521,288.5902,28.859,7.9173,1.5835,0.2295,0.5355,0.0521,72.3755,0.7118,126.3866
2015-07-16,0.0333,23.35,0,250.3527,1.6181,0.351,0.0376,66.5778,6.6578,8.0979,1.6196,0.1417,0.3306,0.0376,31.3355,0.7118,126.3866
2015-07-17,0.0233,23.2582,0,250.7894,1.6546,0.3756,0.0522,114.8108,11.4811,8.0498,1.61,0.2806,0.6547,0.0522,61.4016,0.7118,126.3866
2015-07-18,0.0163,23.9791,0,247.3944,1.8258,0.3617,0.0477,143.7929,14.3793,7.7621,1.5524,0.3594,0.8386,0.0477,72.043,0.7118,126.3866
2015-07-19,0.0114,24.7124,0,244.022,1.7613,0.3832,0.0412,267.5265,26.7527,7.8454,1.5691,-0.0124,-0.0288,0.0412,82.641,0.7118,126.3866
2015-07-20,0.008,25.0561,0,242.4685,1.7792,0.3508,0.0463,296.0918,29.6092,7.8134,1.5627,0.3365,0.7852,0.0463,83.2602,0.7118,126.3866
2015-07-21,0.0056,24.6969,0,244.0925,1.7269,0.3472,0.0488,137.1197,13.712,7.8195,1.5639,0.2878,0.6715,0.0488,92.9002,0.7118,126.3866
2015-07-22,0.0039,23.7322,0,248.5481,1.5599,0.3709,0.0583,139.9674,13.9967,8.124,1.6248,0.1668,0.3891,0.0583,44.6492,0.7118,126.3866
2015-07-23,0.0027,22.9261,0,252.3811,1.792,0.3662,0.0685,296.4121,29.6412,7.8653,1.5731,0.1701,0.3969,0.0685,67.2536,0.7118,126.3866
2015-07-24,0.0019,23.1127,0,251.4847,1.7593,0.3526,0.0598,170.3954,17.0395,7.8992,1.5798,0.1051,0.2453,0.0598,37.978,0.7118,126.3866
2015-07-25,0.0013,23.25,0,250.8287,1.7395,0.3718,0.0476,100.6837,10.0684,7.8755,1.5751,0.4792,1.1181,0.0476,62.3617,0.7118,126.3866
2015-07-26,9e-04,23.4593,0,249.8344,1.6505,0.336,0.0665,191.2089,19.1209,7.8897,1.5779,0.3495,0.8156,0.0665,54.3563,0.7118,126.3866
2015-07-27,7e-04,23.6284,0,249.0357,1.665,0.3826,0.0363,191.2904,19.129,7.9487,1.5897,0.5785,1.3499,0.0363,61.6321,0.7118,126.3866
2015-07-28,0.0832,23.9235,0,247.653,1.745,0.372,0.0595,257.281,25.7281,7.951,1.5902,0.1279,0.2985,0.0595,81.0398,0.7118,126.3866
