"time","FLOW","TEMP","SALT","OXY_oxy","NIT_amm","NIT_nit","PHS_frp","OGM_doc","OGM_poc","OGM_don","OGM_pon","OGM_dop","OGM_pop","PHS_frp_ads","CAR_dic","CAR_ch4","SIL_rsi"
2015-07-07,0,22.4046,0,254.917,1.6864,0.3689,0.0292,66.398,6.6398,7.9248,1.585,0.6076,1.4177,0.0292,75.5693,0.7118,126.3866
2015-07-08,0,23.0615,0,251.7304,1.7256,0.3455,0.0442,120.6406,12.0641,8.0228,1.6046,0.4212,0.9828,0.0442,59.8099,0.7118,126.3866
2015-07-09,0,23.2183,0,250.9797,1.7506,0.3681,0.0531,327.6839,32.7684,7.9167,1.5833,0.5262,1.2279,0.0531,47.4664,0.7118,126.3866
2015-07-10,0,23.542,0,249.4433,1.71,0.3696,0.045,84.4701,8.447,7.9542,1.5908,0.0876,0.2045,0.045,67.82,0.7118,126.3866
2015-07-11,0,23.2144,0,250.9986,1.6537,0.3671,0.0387,110.7602,11.076,7.9828,1.5966,0.5646,1.3174,0.0387,78.1058,0.7118,126.3866
2015-07-12,0,23.1182,0,251.4583,1.6742,0.339,0.0688,199.7265,19.9726,8.0079,1.6016,0.3571,0.8331,0.0688,69.8703,0.7118,126.3866
2015-07-13,0.097,22.7506,0,253.2295,1.6669,0.396,0.0517,137.0412,13.7041,7.9176,1.5835,0.1808,0.4218,0.0517,68.2434,0.7118,126.3866
2015-07-14,0.0679,23.6211,0,249.07,1.7389,0.3476,0.0487,156.0729,15.6073,7.8769,1.5754,0.3638,0.8488,0.0487,58.3041,0.7118,126.3866
2015-07-15,0.0475,23.5171,0,249.5609,1.8289,0.3612,0.054,209.212,20.9212,7.7963,1.5593,0.3055,0.7129,0.054,44.855,0.7118,126.3866
2015-07-16,0.0333,23.35,0,250.3527,1.7033,0.3583,0.0536,159.6842,15.9684,7.9674,1.5935,0.2198,0.5128,0.0536,76.3211,0.7118,126.3866
2015-07-17,0.0233,23.2582,0,250.7894,1.7935,0.3121,0.0328,151.6464,15.1646,7.8749,1.575,0.3775,0.8809,0.0328,88.5688,0.7118,126.3866
