Reservoir,Site,DateTime,WaterLevel_ft,Flag_WaterLevel,notes
FCR,50,2/8/19 14:28,0.2,0,
FCR,50,1/21/19 13:46,0.4,0,
FCR,50,3/18/19 10:56,0.2,0,
FCR,50,4/1/19 10:00,0.2,0,
BVR,50,4/8/19 12:25,-5.8,0,
BVR,50,4/29/19 13:40,-5.4,0,
FCR,50,4/29/19 10:45,0.1,0,
FCR,50,5/6/19 11:31,0.1,0,
FCR,100,5/6/19 13:59,10.6,0,
FCR,50,5/13/19 12:45,0,0,
FCR,100,5/13/19 12:45,0.16,0,
BVR,50,5/16/19 12:22,-6,0,
FCR,50,5/20/19 10:51,0,0,
FCR,100,5/20/19 10:51,10,0,
BVR,50,5/23/2019,-6,0,
FCR,50,5/27/19 11:37,0,0,
FCR,50,5/30/19 10:49,-0.1,0,
BVR,50,5/30/2019,-6.2,0,
FCR,50,6/3/2019,-0.1,0,
FCR,100,6/3/2019,8,0,
FCR,50,6/6/2019,-0.1,0,
BVR,50,6/6/2019,-6.2,0,
FCR,50,6/10/2019,0,0,
FCR,50,6/13/19 1:54,0,0,
BVR,50,6/13/19 11:44,-5.9,0,
FCR,50,6/13/19 12:00,-0.05,0,
FCR,100,6/13/19 13:25,18.5,0,weir water level in cm
FCR,50,6/20/19 15:00,-0.05,0,
FCR,50,6/24/2019,-0.15,0,
FCR,50,6/27/2019,-0.1,0,
FCR,50,7/1/2019,-0.2,0,
FCR,100,7/1/2019,0.12,0,
BVR,50,6/27/2019,-6.2,0,
BVR,50,7/3/19 10:41,-6.2,0,
FCR,50,7/3/2019,0,0,
FCR,50,7/8/2019,-0.2,0,
BVR,50,7/18/2019,-6.5,0,
FCR,50,7/15/2019,-0.3,0,
FCR,50,7/18/2019,-0.2,0,
FCR,50,7/25/2019,5.5,0,
BVR,50,7/25/2019,-6.5,0,
FCR,50,7/27/2019,-0.1,0,
FCR,50,7/22/2019,-0.2,0,
FCR,50,7/29/2019,-0.2,0,
FCR,50,8/1/2019,-0.2,0,
FCR,50,8/5/2019,NA,1,
FCR,50,8/8/2019,-0.03,0,
FCR,50,8/12/2019,-0.15,0,
FCR,50,8/14/2019,-0.2,0,
FCR,50,8/19/2019,-0.2,0,
FCR,50,8/22/2019,-0.2,0,
FCR,50,8/28/2019,-0.2,0,
FCR,100,8/28/2019,10,0,weir water level in cm
FCR,50,9/2/2019,-0.2,0,
FCR,50,9/11/2019,-0.2,0,
FCR,50,9/20/2019,-0.2,0,
FCR,50,10/4/2019,-0.2,0,
FCR,100,10/4/2019,8,0,weir water level in cm
FCR,50,10/11/2019,NA,1,
FCR,50,10/16/2019,-0.2,0,
FCR,50,10/23/2019,NA,1,
FCR,50,10/28/2019,0.1,0,
BVR,50,10/28/2019,NA,1,
FCR,50,10/30/2019,0,0,
FCR,50,11/4/2019,0,0,
FCR,50,11/4/2019,9,0,weir water level in cm
FCR,50,11/8/2019,-0.05,0,
BVR,50,10/18/2019,-8.8,0,
BVR,50,8/14/2019,-6.4,0,
BVR,50,8/22/2019,NA,1,Abandoned for lightening hazard
BVR,50,9/4/2019,-6.8,0,
BVR,50,10/18/2019,-8.8,0,
BVR,50,9/20/2019,-7.53,0,
BVR,50,8/1/2019,-6.5,0,
BVR,50,8/8/2019,-6.1,0,
BVR,50,10/4/2019,-8.2,0,
FCR,50,10/25/2019,-0.05,0,
BVR,50,11/15/2019,-8.75,0,
