DateTime,Rch4ox,Kch4ox,Fsed_ch4,Ksed_ch4,RMSE
2023-03-22 23:24:22,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:24:04,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:23:47,1e-04,1e-04,80,0.1,112.798730496334
2023-03-22 23:23:29,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:23:11,1e-04,1e-04,80,0.1,112.798730496334
2023-03-22 23:22:54,5,5,80,0.1,112.933736774253
2023-03-22 23:22:37,1e-04,1e-04,1,3,118.211027426485
2023-03-22 23:22:19,5,5,80,3,242.129872110102
2023-03-22 23:22:02,5,5,1,3,195.409511836399
2023-03-22 23:21:43,1e-04,1e-04,1,3,118.211027426485
2023-03-22 23:21:25,1e-04,1e-04,1,3,118.211027426485
2023-03-22 23:21:07,1e-04,1e-04,1,3,118.211027426485
2023-03-22 23:20:49,5,5,80,0.1,112.933736774253
2023-03-22 23:20:31,5,5,80,0.1,112.933736774253
2023-03-22 23:20:11,1e-04,1e-04,1,0.1,118.894655466584
2023-03-22 23:19:54,1e-04,1e-04,1,0.1,118.894655466584
2023-03-22 23:19:37,5,5,80,3,242.129872110102
2023-03-22 23:19:19,5,5,80,3,242.129872110102
2023-03-22 23:19:02,5,5,1,0.1,119.252014341998
2023-03-22 23:18:44,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:18:25,5,5,1,3,195.409511836399
2023-03-22 23:18:08,5,5,1,3,195.409511836399
2023-03-22 23:17:50,1e-04,1e-04,80,0.1,112.798730496334
2023-03-22 23:17:33,5,5,1,3,195.409511836399
2023-03-22 23:17:16,1e-04,1e-04,80,0.1,112.798730496334
2023-03-22 23:16:58,1e-04,1e-04,1,3,118.211027426485
2023-03-22 23:16:39,5,5,1,3,195.409511836399
2023-03-22 23:16:22,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:16:04,1e-04,1e-04,80,0.1,112.798730496334
2023-03-22 23:15:46,5,5,80,3,242.129872110102
2023-03-22 23:15:28,5,5,1,0.1,119.252014341998
2023-03-22 23:15:10,5,5,80,3,242.129872110102
2023-03-22 23:14:53,5,5,80,0.1,112.933736774253
2023-03-22 23:14:35,5,1e-04,1,3,234.112946263391
2023-03-22 23:14:17,5,5,80,3,242.129872110102
2023-03-22 23:13:59,1e-04,1e-04,1,3,118.211027426485
2023-03-22 23:13:42,1e-04,1e-04,1,0.1,118.894655466584
2023-03-22 23:13:24,1e-04,1e-04,1,3,118.211027426485
2023-03-22 23:13:07,5,5,80,3,242.129872110102
2023-03-22 23:12:49,5,5,80,3,242.129872110102
2023-03-22 23:12:31,5,5,1,0.1,119.252014341998
2023-03-22 23:12:13,1e-04,1e-04,80,0.1,112.798730496334
2023-03-22 23:11:56,5,5,1,3,195.409511836399
2023-03-22 23:11:38,5,5,1,0.1,119.252014341998
2023-03-22 23:11:21,5,5,80,0.1,112.933736774253
2023-03-22 23:11:04,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:10:46,5,5,1,3,195.409511836399
2023-03-22 23:10:29,1e-04,1e-04,1,3,118.211027426485
2023-03-22 23:10:11,1e-04,1e-04,80,0.1,112.798730496334
2023-03-22 23:09:54,5,5,1,0.1,119.252014341998
2023-03-22 23:09:36,5,5,80,3,242.129872110102
2023-03-22 23:09:19,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:09:01,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:08:44,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:08:26,1e-04,1e-04,1,3,118.211027426485
2023-03-22 23:08:09,1e-04,1e-04,1,0.1,118.894655466584
2023-03-22 23:07:52,1e-04,1e-04,80,0.1,112.798730496334
2023-03-22 23:07:34,5,5,80,0.1,112.933736774253
2023-03-22 23:07:16,1e-04,1e-04,1,3,118.211027426485
2023-03-22 23:06:59,5,5,80,3,242.129872110102
2023-03-22 23:06:42,1e-04,1e-04,80,0.1,112.798730496334
2023-03-22 23:06:25,5,5,1,0.1,119.252014341998
2023-03-22 23:06:07,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:05:49,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:05:32,5,5,1,0.1,119.252014341998
2023-03-22 23:05:14,5,5,1,3,195.409511836399
2023-03-22 23:04:56,1e-04,1e-04,1,0.1,118.894655466584
2023-03-22 23:04:38,1e-04,1e-04,1,0.1,118.894655466584
2023-03-22 23:04:21,5,5,80,0.1,112.933736774253
2023-03-22 23:04:03,1e-04,1e-04,1,0.1,118.894655466584
2023-03-22 23:03:46,5,5,1,3,195.409511836399
2023-03-22 23:03:28,5,5,1,0.1,119.252014341998
2023-03-22 23:03:10,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:02:53,1e-04,1e-04,80,0.1,112.798730496334
2023-03-22 23:02:35,1e-04,1e-04,1,3,118.211027426485
2023-03-22 23:02:17,5,5,80,3,242.129872110102
2023-03-22 23:02:00,5,5,1,0.1,119.252014341998
2023-03-22 23:01:42,5,5,80,0.1,112.933736774253
2023-03-22 23:01:24,1e-04,1e-04,80,0.1,112.798730496334
2023-03-22 23:01:07,5,5,1,0.1,119.252014341998
2023-03-22 23:00:49,1e-04,1e-04,80,3,89.3215285761531
2023-03-22 23:00:32,5,5,1,0.1,119.252014341998
2023-03-22 23:00:14,1e-04,1e-04,1,3,118.211027426485
