Date,BVR_WaterLevel_m
2009-09-01,13
2009-10-08,13
2009-11-23,13
2009-12-29,13
2010-01-28,13
2010-02-27,13
2010-03-17,13
2010-04-22,13
2010-05-14,13
2010-06-12,13
2010-07-20,12.6
2010-08-10,12.3
2010-09-28,10.5
2010-10-29,10.2
2010-11-22,10
2010-12-16,10
2011-01-22,10.3
2011-02-16,10.6
2011-03-25,11.5
2011-04-22,12.8
2011-05-20,13
2011-05-26,13
2011-06-07,13
2011-06-16,12.9
2011-06-24,12.9
2011-07-01,12.8
2011-07-14,12.8
2011-07-25,12.7
2011-08-01,12.6
2011-08-10,12.4
2011-08-23,12.2
2011-08-31,12.1
2011-09-08,12.4
2011-09-26,12.1
2011-10-04,11.7
2011-10-13,11.7
2011-10-20,11.4
2011-10-27,11.1
2011-11-28,11.5
2011-12-08,11.7
2011-12-15,12.2
2011-12-29,12.4
2012-01-12,12.6
2012-01-30,12.8
2012-02-24,13.1
2012-03-02,13.1
2012-03-09,13.1
2012-03-16,13.1
2012-03-23,13.1
2012-03-30,13.1
2012-04-17,13.1
2012-05-04,13.1
2012-05-11,13.1
2012-05-19,13.1
2012-05-24,13.1
2012-06-01,13
2012-06-08,12.9
2012-06-19,12.9
2012-06-28,12.8
2012-07-12,12.6
2012-07-24,12.5
2012-08-01,12.5
2012-08-14,12.2
2012-08-28,12.1
2012-09-10,11.8
2012-09-20,11.8
2012-09-27,11.7
2012-10-04,11.5
2012-10-12,11.5
2012-10-26,11.5
2012-11-02,11.6
2012-11-09,11.6
2012-11-15,11.6
2012-11-30,11.6
2012-12-20,11.7
2013-01-17,12.1
2013-01-31,12.5
2013-02-12,12.7
2013-03-11,13
2013-04-22,12.9
2013-05-10,13.1
2013-05-31,13.1
2013-06-14,13.1
2013-06-27,13.1
2013-07-18,13.1
2013-08-16,13.1
2013-08-22,13.1
2013-08-30,13.1
2013-09-10,13
2013-09-20,13
2013-10-03,13
2013-10-10,13
2013-10-24,13
2013-11-01,12.9
2013-11-07,12.9
2013-11-14,12.9
2013-12-05,12.9
2013-12-19,13
2014-01-02,13
2014-01-09,13.1
2014-01-17,13.1
2014-02-12,13.1
2014-02-25,13.1
2014-03-10,13.1
2014-03-20,13.1
2014-03-28,13.1
2014-04-11,13.1
2014-04-22,13.1
2014-04-28,13.1
2014-04-30,13.1
2014-05-01,13.1
2014-05-05,13
2014-05-06,13
2014-05-08,13
2014-05-12,12.9
2014-05-14,12.9
2014-05-16,12.9
2014-05-19,12.9
2014-05-22,12.9
2014-05-27,12.9
2014-05-30,12.7
2014-06-02,12.6
2014-06-05,12.6
2014-06-09,12.5
2014-06-11,12.5
2014-06-13,12.6
2014-06-18,12.5
2014-06-24,12.3
2014-06-27,12.2
2014-07-08,12
2014-07-14,11.9
2014-07-17,11.8
2014-07-22,11.7
2014-07-29,11.6
2014-08-06,11.4
2014-08-11,11.4
2014-08-15,11.4
2014-08-21,11.3
2014-08-28,11.3
2014-09-05,11.3
2014-09-15,11.2
2014-09-25,11.2
2014-10-01,11.2
2014-10-09,11.2
2014-10-16,11.2
2014-11-05,11.2
2014-11-12,11.1
2014-11-21,11.1
2014-12-05,11.2
2014-12-18,11.1
2015-01-08,11.1
2015-01-22,11.1
2015-02-12,11.1
2015-03-09,11.3
2015-03-18,11.2
2015-03-27,11.2
2015-04-03,11.1
2015-04-20,11.4
2015-05-01,11.2
2015-05-15,11.2
2015-05-26,11.3
2015-05-27,11.3
2015-06-11,11.1
2015-06-18,11.2
2015-06-23,11.1
2015-07-03,11.3
2015-07-07,11.2
2015-07-21,11.3
2015-07-29,11.2
2015-08-11,11.2
2015-08-20,11.1
2015-08-27,11.1
2015-09-03,11.1
2015-09-11,11.1
2015-09-22,11.2
