Reservoir,Site,DateTime,WaterLevel_ft,Flag_WaterLevel,notes
FCR,50,02/08/21 11:15,-1.8,0,
FCR,50,02/26/21 12:20,0.1,0,
FCR,50,03/22/21 11:40,picture,1,no written number
BVR,50,04/05/21 11:00,-5.8,0,
FCR,50,04/16/21 13:25,0.1,0,
FCR,50,04/26/21 12:00,0.15,1,"time not recorded, weir taken at 15:17"
BVR,50,05/03/21 10:45,-6.1,0,
FCR,50,05/06/21 12:00,0.13,1,time not recorded
BVR,50,05/14/21 11:26,-6.15,0,
FCR,50,05/24/21 12:28,0,0,
BVR,50,05/31/21 10:18,-6.3,0,
FCR,50,05/31/21 12:00,0.2,0,
FCR,50,06/07/21 11:54,0.1,0,
FCR,50,06/15/21 12:01,0.2,0,
BVR,50,06/15/21 17:26,-6,0,
FCR,50,06/21/21 11:09,0.1,0,
BVR,50,06/28/21 11:27,-6.3,0,
FCR,50,06/28/21 12:00,0.1,1,time not recorded
FCR,50,07/07/21 16:07,0,0,Perfect full pond
BVR,50,07/08/21 11:20,-5.7,0,
FCR,50,07/12/21 17:11,0,0,
BVR,50,07/12/21 14:28,-7,0,
FCR,50,07/21/21 14:06,0,0,
BVR,50,07/26/21 10:30,-7.1,0,
FCR,50,07/26/21 14:20,0,0,
FCR,50,08/02/21 11:41,-0.08,0,
BVR,50,08/09/21 10:40,-7.5,0,
FCR,50,08/09/21 14:37,-0.1,0,
CCR,50,08/19/21 12:18,1166.6,0,
FCR,50,08/20/21 12:00,0.1,1,time not recorded
BVR,50,08/23/21 10:05,-7.25,0,
FCR,50,08/23/21 13:58,0,0,
FCR,50,08/31/21 12:00,-0.1,0,
BVR,50,09/06/21 10:35,-7.6,0,
FCR,50,09/06/21 14:02,0,0,
FCR,50,09/14/21 14:05,-0.16,0,
BVR,50,09/21/21 10:55,-8.4,0,
FCR,50,09/21/21 15:54,-0.2,0,
FCR,50,09/27/21 13:35,0,0,
FCR,50,10/04/21 14:35,0,0,
FCR,50,10/11/21 13:32,0,0,
BVR,50,10/12/21 12:00,-7.1,0,
FCR,50,10/18/21 12:38,0,0,
FCR,50,10/25/21 13:22,0,0,
BVR,50,10/26/21 12:09,-8.2,0,
FCR,50,11/03/21 11:44,0.25,0,
FCR,50,11/08/21 12:12,0.3,0,
BVR,50,11/09/21 11:39,-8.6,0,
BVR,50,11/22/21 10:09,-9,0,
FCR,50,11/22/21 14:18,0.45,0,
BVR,50,12/06/21 10:27,-9.5,0,
FCR,50,12/06/21 13:00,0.48,0,
BVR,50,03/08/21 11:20,-5.8,1,written in weir column 
