"Reservoir","Site","Date","WaterLevel_m"
"BVR",50,2020-01-01,10.2
"BVR",50,2020-01-02,10.2
"BVR",50,2020-01-03,10.2
"BVR",50,2020-01-04,10.2
"BVR",50,2020-01-05,10.2
"BVR",50,2020-01-06,10.2
"BVR",50,2020-01-07,10.3
"BVR",50,2020-01-08,10.3
"BVR",50,2020-01-09,10.3
"BVR",50,2020-01-10,10.3
"BVR",50,2020-01-11,10.3
"BVR",50,2020-01-12,10.3
"BVR",50,2020-01-13,10.3
"BVR",50,2020-01-14,10.3
"BVR",50,2020-01-15,10.3
"BVR",50,2020-01-16,10.3
"BVR",50,2020-01-17,10.3
"BVR",50,2020-01-18,10.3
"BVR",50,2020-01-19,10.3
"BVR",50,2020-01-20,10.3
"BVR",50,2020-01-21,10.3
"BVR",50,2020-01-22,10.3
"BVR",50,2020-01-23,10.3
"BVR",50,2020-01-24,10.2
"BVR",50,2020-01-25,10.2
"BVR",50,2020-01-26,10.2
"BVR",50,2020-01-27,10.2
"BVR",50,2020-01-28,10.2
"BVR",50,2020-01-29,10.2
"BVR",50,2020-01-30,10.2
"BVR",50,2020-01-31,10.3
"BVR",50,2020-02-01,10.3
"BVR",50,2020-02-02,10.3
"BVR",50,2020-02-03,10.3
"BVR",50,2020-02-04,10.3
"BVR",50,2020-02-05,10.3
"BVR",50,2020-02-06,10.7
"BVR",50,2020-02-07,10.7
"BVR",50,2020-02-08,10.7
"BVR",50,2020-02-09,10.7
"BVR",50,2020-02-10,10.7
"BVR",50,2020-02-11,10.7
"BVR",50,2020-02-12,10.7
"BVR",50,2020-02-13,10.7
"BVR",50,2020-02-14,10.7
"BVR",50,2020-02-15,10.7
"BVR",50,2020-02-16,10.7
"BVR",50,2020-02-17,10.7
"BVR",50,2020-02-18,10.7
"BVR",50,2020-02-19,10.7
"BVR",50,2020-02-20,10.7
"BVR",50,2020-02-21,10.7
"BVR",50,2020-02-22,10.6
"BVR",50,2020-02-23,10.6
"BVR",50,2020-02-24,10.6
"BVR",50,2020-02-25,10.6
"BVR",50,2020-02-26,10.6
"BVR",50,2020-02-27,10.6
"BVR",50,2020-02-28,10.6
"BVR",50,2020-02-29,10.8
"BVR",50,2020-03-01,10.8
"BVR",50,2020-03-02,10.8
"BVR",50,2020-03-03,10.8
"BVR",50,2020-03-04,10.8
"BVR",50,2020-03-05,10.8
"BVR",50,2020-03-06,10.7
"BVR",50,2020-03-07,10.7
"BVR",50,2020-03-08,10.7
"BVR",50,2020-03-09,10.7
"BVR",50,2020-03-10,10.80544
"BVR",50,2020-03-11,10.80544
"BVR",50,2020-03-12,10.80544
"BVR",50,2020-03-13,10.80544
"BVR",50,2020-03-14,10.80544
"BVR",50,2020-03-15,10.80544
"BVR",50,2020-03-16,10.80544
"BVR",50,2020-03-17,10.9
"BVR",50,2020-03-18,10.7
"BVR",50,2020-03-19,10.7
"BVR",50,2020-03-20,10.7
"BVR",50,2020-03-21,10.7
"BVR",50,2020-03-22,10.7
"BVR",50,2020-03-23,10.7
"BVR",50,2020-03-24,10.7
