time,FLOW
2015-07-07,1.00E-04
2015-07-08,1.00E-04
2015-07-09,1.00E-04
2015-07-10,1.00E-04
2015-07-11,0.2023
2015-07-12,0.1567
2015-07-13,2.2759
2015-07-14,2.9763
2015-07-15,2.1968
2015-07-16,1.5378
2015-07-17,1.0764
2015-07-18,1.2869
2015-07-19,0.9008
2015-07-20,0.6306
2015-07-21,0.4963
2015-07-22,0.3568
2015-07-23,0.259
2015-07-24,0.1907
2015-07-25,0.1428
2015-07-26,0.1093
2015-07-27,0.0858
2015-07-28,2.4467
2015-07-29,1.7004
2015-07-30,1.1903
2015-07-31,0.8332
2015-08-01,0.5832
2015-08-02,0.4083
2015-08-03,0.2858
2015-08-04,0.2
2015-08-05,0.14
2015-08-06,0.137
2015-08-07,0.4759
2015-08-08,0.3331
2015-08-09,0.2332
2015-08-10,0.2508
2015-08-11,6.0729
2015-08-12,4.2593
2015-08-13,2.9898
2015-08-14,2.1012
2015-08-15,1.4791
2015-08-16,1.0437
2015-08-17,0.7388
2015-08-18,1.2364
2015-08-19,0.9384
2015-08-20,0.6517
2015-08-21,0.4562
2015-08-22,0.3193
2015-08-23,0.2235
2015-08-24,0.1565
2015-08-25,0.1095
2015-08-26,0.0767
2015-08-27,0.0537
2015-08-28,0.0376
2015-08-29,0.0263
2015-08-30,0.0184
2015-08-31,0.0129
2015-09-01,0.009
2015-09-02,0.0063
2015-09-03,0.0044
2015-09-04,4.6937
2015-09-05,3.2856
2015-09-06,2.2999
2015-09-07,1.6099
2015-09-08,1.1269
2015-09-09,0.7889
2015-09-10,0.5854
2015-09-11,0.3872
2015-09-12,0.4044
2015-09-13,0.2763
2015-09-14,0.1866
2015-09-15,0.1239
2015-09-16,0.0799
2015-09-17,0.0492
2015-09-18,0.0276
2015-09-19,0.0126
2015-09-20,0.002
2015-09-21,7.6664
2015-09-22,8.9261
2015-09-23,6.2482
2015-09-24,4.3738
2015-09-25,3.5843
2015-09-26,8.272
2015-09-27,14.2879
2015-09-28,10.481
2015-09-29,19.0482
2015-09-30,13.2778
2015-10-01,9.2385
2015-10-02,10.9787
2015-10-03,13.3181
2015-10-04,9.7239
2015-10-05,6.8648
2015-10-06,4.8053
2015-10-07,3.3637
2015-10-08,2.3546
2015-10-09,2.8064
2015-10-10,2.9837
2015-10-11,2.1099
2015-10-12,1.4983
2015-10-13,1.0701
2015-10-14,0.7704
2015-10-15,0.5606
2015-10-16,0.3841
2015-10-17,0.2813
2015-10-18,0.2093
2015-10-19,0.159
2015-10-20,0.1237
2015-10-21,0.099
2015-10-22,0.0048
2015-10-23,1.00E-04
2015-10-24,1.00E-04
2015-10-25,1.00E-04
2015-10-26,1.00E-04
2015-10-27,3.7161
2015-10-28,11.8986
2015-10-29,8.3953
2015-10-30,5.8891
2015-10-31,4.1348
2015-11-01,2.9068
2015-11-02,2.1896
2015-11-03,1.5452
2015-11-04,1.094
2015-11-05,0.7783
2015-11-06,0.5572
2015-11-07,1.0179
2015-11-08,0.725
2015-11-09,5.6094
2015-11-10,6.014
2015-11-11,4.1991
2015-11-12,2.9287
2015-11-13,2.0395
2015-11-14,1.417
2015-11-15,0.9812
2015-11-16,0.6762
2015-11-17,0.4982
2015-11-18,0.3926
2015-11-19,6.9932
2015-11-20,4.8952
2015-11-21,3.4267
2015-11-22,2.3987
2015-11-23,1.6791
2015-11-24,1.1753
2015-11-25,0.8227
2015-11-26,0.5759
2015-11-27,0.4031
2015-11-28,0.2822
2015-11-29,0.2896
2015-11-30,3.1276
2015-12-01,7.617
2015-12-02,7.777
2015-12-03,5.4439
2015-12-04,3.8107
2015-12-05,2.6675
2015-12-06,1.8673
2015-12-07,1.5901
2015-12-08,1.1131
2015-12-09,0.7791
2015-12-10,0.5454
2015-12-11,0.4315
2015-12-12,0.317
2015-12-13,0.2368
2015-12-14,0.944
2015-12-15,0.6757
2015-12-16,0.3968
2015-12-17,4.0572
2015-12-18,2.8276
2015-12-19,1.9669
2015-12-20,1.3644
2015-12-21,0.9866
2015-12-22,1.7718
2015-12-23,4.3114
2015-12-24,5.0311
2015-12-25,3.9027
2015-12-26,2.8259
2015-12-27,2.0648
2015-12-28,2.0157
2015-12-29,2.7978
2015-12-30,2.3414
2015-12-31,1.639
2016-01-01,1.1473
2016-01-02,0.8031
2016-01-03,0.5622
2016-01-04,0.3935
2016-01-05,0.2755
2016-01-06,0.1928
2016-01-07,0.1541
2016-01-08,0.351
2016-01-09,0.5917
2016-01-10,3.5808
2016-01-11,2.5123
2016-01-12,1.7643
2016-01-13,1.2408
2016-01-14,0.8743
2016-01-15,2.7266
2016-01-16,2.342
2016-01-17,1.7388
2016-01-18,1.2229
2016-01-19,0.8618
2016-01-20,0.5733
2016-01-21,0.3963
2016-01-22,0.2725
2016-01-23,0.1857
2016-01-24,0.9847
2016-01-25,1.3028
2016-01-26,0.907
2016-01-27,0.6299
2016-01-28,0.436
2016-01-29,0.3002
2016-01-30,0.2052
2016-01-31,0.1386
2016-02-01,0.5285
2016-02-02,0.6765
2016-02-03,6.6605
